model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b,1,fwd,attention,0.000000000,0.002347244,0.002347244,700.0000
mixtral8x7b,1,fwd,gate,0.002347244,0.002502226,0.000154982,280.0000
mixtral8x7b,1,fwd,alltoall_1,0.002502226,0.352504763,0.350002537,84.0000
mixtral8x7b,1,fwd,experts,0.352504763,0.361105793,0.008601030,700.0000
mixtral8x7b,1,fwd,alltoall_2,0.361105793,0.711108330,0.350002537,84.0000
mixtral8x7b,1,fwd,addnorm,0.711108330,0.711149751,0.000041421,140.0000
mixtral8x7b,1,bwd,addnorm,0.711149751,0.711230819,0.000081068,140.0000
mixtral8x7b,1,bwd,alltoall_2,0.711230819,1.061233356,0.350002537,84.0000
mixtral8x7b,1,bwd,experts,1.061233356,1.071550206,0.010316851,700.0000
mixtral8x7b,1,bwd,alltoall_1,1.071550206,1.421552743,0.350002537,84.0000
mixtral8x7b,1,bwd,gate,1.421552743,1.421800826,0.000248082,280.0000
mixtral8x7b,1,bwd,attention,1.421800826,1.426495684,0.004694858,700.0000
mixtral8x7b,2,fwd,attention,1.426495684,1.428842928,0.002347244,700.0000
mixtral8x7b,2,fwd,gate,1.428842928,1.428997910,0.000154982,280.0000
mixtral8x7b,2,fwd,alltoall_1,1.428997910,1.779000447,0.350002537,84.0000
mixtral8x7b,2,fwd,experts,1.779000447,1.787601477,0.008601030,700.0000
mixtral8x7b,2,fwd,alltoall_2,1.787601477,2.137604014,0.350002537,84.0000
mixtral8x7b,2,fwd,addnorm,2.137604014,2.137645435,0.000041421,140.0000
mixtral8x7b,2,bwd,addnorm,2.137645435,2.137726503,0.000081068,140.0000
mixtral8x7b,2,bwd,alltoall_2,2.137726503,2.487729040,0.350002537,84.0000
mixtral8x7b,2,bwd,experts,2.487729040,2.498045891,0.010316851,700.0000
mixtral8x7b,2,bwd,alltoall_1,2.498045891,2.848048428,0.350002537,84.0000
mixtral8x7b,2,bwd,gate,2.848048428,2.848296510,0.000248082,280.0000
mixtral8x7b,2,bwd,attention,2.848296510,2.852991368,0.004694858,700.0000
mixtral8x7b,3,fwd,attention,2.852991368,2.855338612,0.002347244,700.0000
mixtral8x7b,3,fwd,gate,2.855338612,2.855493594,0.000154982,280.0000
mixtral8x7b,3,fwd,alltoall_1,2.855493594,3.205496131,0.350002537,84.0000
mixtral8x7b,3,fwd,experts,3.205496131,3.214097161,0.008601030,700.0000
mixtral8x7b,3,fwd,alltoall_2,3.214097161,3.564099698,0.350002537,84.0000
mixtral8x7b,3,fwd,addnorm,3.564099698,3.564141119,0.000041421,140.0000
mixtral8x7b,3,bwd,addnorm,3.564141119,3.564222187,0.000081068,140.0000
mixtral8x7b,3,bwd,alltoall_2,3.564222187,3.914224724,0.350002537,84.0000
mixtral8x7b,3,bwd,experts,3.914224724,3.924541575,0.010316851,700.0000
mixtral8x7b,3,bwd,alltoall_1,3.924541575,4.274544112,0.350002537,84.0000
