model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b,1,fwd,attention,0.000000000,0.146893039,0.146893039,700.0000
mixtral8x7b,1,fwd,gate,0.146893039,0.147960546,0.001067507,280.0000
mixtral8x7b,1,fwd,alltoall_1,0.147960546,0.497963083,0.350002537,84.0000
mixtral8x7b,1,fwd,experts,0.497963083,0.768995582,0.271032498,700.0000
mixtral8x7b,1,fwd,alltoall_2,0.768995582,1.118998119,0.350002537,84.0000
mixtral8x7b,1,fwd,addnorm,1.118998119,1.120189583,0.001191464,140.0000
mixtral8x7b,1,bwd,addnorm,1.120189583,1.122563239,0.002373656,140.0000
mixtral8x7b,1,bwd,alltoall_2,1.122563239,1.472565776,0.350002537,84.0000
mixtral8x7b,1,bwd,experts,1.472565776,1.784992182,0.312426405,700.0000
mixtral8x7b,1,bwd,alltoall_1,1.784992182,2.134994719,0.350002537,84.0000
mixtral8x7b,1,bwd,gate,2.134994719,2.136537794,0.001543075,280.0000
mixtral8x7b,1,bwd,attention,2.136537794,2.286686797,0.150149004,700.0000
mixtral8x7b,2,fwd,attention,2.286686797,2.433579836,0.146893039,700.0000
mixtral8x7b,2,fwd,gate,2.433579836,2.434647344,0.001067507,280.0000
mixtral8x7b,2,fwd,alltoall_1,2.434647344,2.784649881,0.350002537,84.0000
mixtral8x7b,2,fwd,experts,2.784649881,3.055682379,0.271032498,700.0000
mixtral8x7b,2,fwd,alltoall_2,3.055682379,3.405684916,0.350002537,84.0000
mixtral8x7b,2,fwd,addnorm,3.405684916,3.406876380,0.001191464,140.0000
mixtral8x7b,2,bwd,addnorm,3.406876380,3.409250037,0.002373656,140.0000
mixtral8x7b,2,bwd,alltoall_2,3.409250037,3.759252574,0.350002537,84.0000
mixtral8x7b,2,bwd,experts,3.759252574,4.071678979,0.312426405,700.0000
mixtral8x7b,2,bwd,alltoall_1,4.071678979,4.421681516,0.350002537,84.0000
mixtral8x7b,2,bwd,gate,4.421681516,4.423224591,0.001543075,280.0000
mixtral8x7b,2,bwd,attention,4.423224591,4.573373595,0.150149004,700.0000
mixtral8x7b,3,fwd,attention,4.573373595,4.720266634,0.146893039,700.0000
mixtral8x7b,3,fwd,gate,4.720266634,4.721334141,0.001067507,280.0000
mixtral8x7b,3,fwd,alltoall_1,4.721334141,5.071336678,0.350002537,84.0000
mixtral8x7b,3,fwd,experts,5.071336678,5.342369176,0.271032498,700.0000
mixtral8x7b,3,fwd,alltoall_2,5.342369176,5.692371713,0.350002537,84.0000
mixtral8x7b,3,fwd,addnorm,5.692371713,5.693563178,0.001191464,140.0000
mixtral8x7b,3,bwd,addnorm,5.693563178,5.695936834,0.002373656,140.0000
mixtral8x7b,3,bwd,alltoall_2,5.695936834,6.045939371,0.350002537,84.0000
mixtral8x7b,3,bwd,experts,6.045939371,6.358365776,0.312426405,700.0000
mixtral8x7b,3,bwd,alltoall_1,6.358365776,6.708368313,0.350002537,84.0000
mixtral8x7b,3,bwd,gate,6.708368313,6.709911389,0.001543075,280.0000
mixtral8x7b,3,bwd,attention,6.709911389,6.860060392,0.150149004,700.0000
mixtral8x7b,4,fwd,attention,6.860060392,7.006953431,0.146893039,700.0000
mixtral8x7b,4,fwd,gate,7.006953431,7.008020938,0.001067507,280.0000
mixtral8x7b,4,fwd,alltoall_1,7.008020938,7.358023475,0.350002537,84.0000
mixtral8x7b,4,fwd,experts,7.358023475,7.629055974,0.271032498,700.0000
mixtral8x7b,4,fwd,alltoall_2,7.629055974,7.979058511,0.350002537,84.0000
mixtral8x7b,4,fwd,addnorm,7.979058511,7.980249975,0.001191464,140.0000
mixtral8x7b,4,bwd,addnorm,7.980249975,7.982623632,0.002373656,140.0000
mixtral8x7b,4,bwd,alltoall_2,7.982623632,8.332626169,0.350002537,84.0000
mixtral8x7b,4,bwd,experts,8.332626169,8.645052574,0.312426405,700.0000
mixtral8x7b,4,bwd,alltoall_1,8.645052574,8.995055111,0.350002537,84.0000
mixtral8x7b,4,bwd,gate,8.995055111,8.996598186,0.001543075,280.0000
mixtral8x7b,4,bwd,attention,8.996598186,9.146747190,0.150149004,700.0000
mixtral8x7b,5,fwd,attention,9.146747190,9.293640229,0.146893039,700.0000
mixtral8x7b,5,fwd,gate,9.293640229,9.294707736,0.001067507,280.0000
