model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b,1,fwd,attention,0.000000000,0.012452068,0.012452068,700.0000
mixtral8x7b,1,fwd,gate,0.012452068,0.012905492,0.000453423,280.0000
mixtral8x7b,1,fwd,alltoall_1,0.012905492,0.362908029,0.350002537,84.0000
mixtral8x7b,1,fwd,experts,0.362908029,0.396873762,0.033965734,700.0000
mixtral8x7b,1,fwd,alltoall_2,0.396873762,0.746876299,0.350002537,84.0000
mixtral8x7b,1,fwd,addnorm,0.746876299,0.747025486,0.000149187,140.0000
mixtral8x7b,1,bwd,addnorm,0.747025486,0.747322434,0.000296947,140.0000
mixtral8x7b,1,bwd,alltoall_2,0.747322434,1.097324971,0.350002537,84.0000
mixtral8x7b,1,bwd,experts,1.097324971,1.136500678,0.039175707,700.0000
mixtral8x7b,1,bwd,alltoall_1,1.136500678,1.486503215,0.350002537,84.0000
mixtral8x7b,1,bwd,gate,1.486503215,1.487351425,0.000848210,280.0000
mixtral8x7b,1,bwd,attention,1.487351425,1.512260122,0.024908696,700.0000
mixtral8x7b,2,fwd,attention,1.512260122,1.524712190,0.012452068,700.0000
mixtral8x7b,2,fwd,gate,1.524712190,1.525165613,0.000453423,280.0000
mixtral8x7b,2,fwd,alltoall_1,1.525165613,1.875168150,0.350002537,84.0000
mixtral8x7b,2,fwd,experts,1.875168150,1.909133884,0.033965734,700.0000
mixtral8x7b,2,fwd,alltoall_2,1.909133884,2.259136421,0.350002537,84.0000
mixtral8x7b,2,fwd,addnorm,2.259136421,2.259285608,0.000149187,140.0000
mixtral8x7b,2,bwd,addnorm,2.259285608,2.259582555,0.000296947,140.0000
mixtral8x7b,2,bwd,alltoall_2,2.259582555,2.609585092,0.350002537,84.0000
mixtral8x7b,2,bwd,experts,2.609585092,2.648760799,0.039175707,700.0000
mixtral8x7b,2,bwd,alltoall_1,2.648760799,2.998763336,0.350002537,84.0000
mixtral8x7b,2,bwd,gate,2.998763336,2.999611547,0.000848210,280.0000
mixtral8x7b,2,bwd,attention,2.999611547,3.024520243,0.024908696,700.0000
mixtral8x7b,3,fwd,attention,3.024520243,3.036972312,0.012452068,700.0000
mixtral8x7b,3,fwd,gate,3.036972312,3.037425735,0.000453423,280.0000
mixtral8x7b,3,fwd,alltoall_1,3.037425735,3.387428272,0.350002537,84.0000
mixtral8x7b,3,fwd,experts,3.387428272,3.421394005,0.033965734,700.0000
mixtral8x7b,3,fwd,alltoall_2,3.421394005,3.771396542,0.350002537,84.0000
mixtral8x7b,3,fwd,addnorm,3.771396542,3.771545730,0.000149187,140.0000
mixtral8x7b,3,bwd,addnorm,3.771545730,3.771842677,0.000296947,140.0000
mixtral8x7b,3,bwd,alltoall_2,3.771842677,4.121845214,0.350002537,84.0000
mixtral8x7b,3,bwd,experts,4.121845214,4.161020921,0.039175707,700.0000
mixtral8x7b,3,bwd,alltoall_1,4.161020921,4.511023458,0.350002537,84.0000
mixtral8x7b,3,bwd,gate,4.511023458,4.511871668,0.000848210,280.0000
mixtral8x7b,3,bwd,attention,4.511871668,4.536780365,0.024908696,700.0000
mixtral8x7b,4,fwd,attention,4.536780365,4.549232433,0.012452068,700.0000
mixtral8x7b,4,fwd,gate,4.549232433,4.549685856,0.000453423,280.0000
mixtral8x7b,4,fwd,alltoall_1,4.549685856,4.899688393,0.350002537,84.0000
mixtral8x7b,4,fwd,experts,4.899688393,4.933654127,0.033965734,700.0000
mixtral8x7b,4,fwd,alltoall_2,4.933654127,5.283656664,0.350002537,84.0000
mixtral8x7b,4,fwd,addnorm,5.283656664,5.283805851,0.000149187,140.0000
mixtral8x7b,4,bwd,addnorm,5.283805851,5.284102799,0.000296947,140.0000
mixtral8x7b,4,bwd,alltoall_2,5.284102799,5.634105336,0.350002537,84.0000
mixtral8x7b,4,bwd,experts,5.634105336,5.673281043,0.039175707,700.0000
mixtral8x7b,4,bwd,alltoall_1,5.673281043,6.023283580,0.350002537,84.0000
mixtral8x7b,4,bwd,gate,6.023283580,6.024131790,0.000848210,280.0000
mixtral8x7b,4,bwd,attention,6.024131790,6.049040486,0.024908696,700.0000
mixtral8x7b,5,fwd,attention,6.049040486,6.061492555,0.012452068,700.0000
mixtral8x7b,5,fwd,gate,6.061492555,6.061945978,0.000453423,280.0000
mixtral8x7b,5,fwd,alltoall_1,6.061945978,6.411948515,0.350002537,84.0000
mixtral8x7b,5,fwd,experts,6.411948515,6.445914249,0.033965734,700.0000
mixtral8x7b,5,fwd,alltoall_2,6.445914249,6.795916786,0.350002537,84.0000
mixtral8x7b,5,fwd,addnorm,6.795916786,6.796065973,0.000149187,140.0000
mixtral8x7b,5,bwd,addnorm,6.796065973,6.796362920,0.000296947,140.0000
mixtral8x7b,5,bwd,alltoall_2,6.796362920,7.146365457,0.350002537,84.0000
mixtral8x7b,5,bwd,experts,7.146365457,7.185541164,0.039175707,700.0000
mixtral8x7b,5,bwd,alltoall_1,7.185541164,7.535543701,0.350002537,84.0000
mixtral8x7b,5,bwd,gate,7.535543701,7.536391912,0.000848210,280.0000
mixtral8x7b,5,bwd,attention,7.536391912,7.561300608,0.024908696,700.0000
mixtral8x7b,6,fwd,attention,7.561300608,7.573752676,0.012452068,700.0000
mixtral8x7b,6,fwd,gate,7.573752676,7.574206100,0.000453423,280.0000
mixtral8x7b,6,fwd,alltoall_1,7.574206100,7.924208637,0.350002537,84.0000
mixtral8x7b,6,fwd,experts,7.924208637,7.958174370,0.033965734,700.0000
mixtral8x7b,6,fwd,alltoall_2,7.958174370,8.308176907,0.350002537,84.0000
mixtral8x7b,6,fwd,addnorm,8.308176907,8.308326094,0.000149187,140.0000
