model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b-coldest,1,fwd,attention,0.000000000,0.012452068,0.012452068,700.0000
mixtral8x7b-coldest,1,fwd,gate,0.012452068,0.012905492,0.000453423,280.0000
mixtral8x7b-coldest,1,fwd,alltoall_1,0.012905492,0.362908029,0.350002537,84.0000
mixtral8x7b-coldest,1,fwd,experts,0.362908029,0.376776057,0.013868028,700.0000
mixtral8x7b-coldest,1,fwd,alltoall_2,0.376776057,0.726778594,0.350002537,84.0000
mixtral8x7b-coldest,1,fwd,addnorm,0.726778594,0.726927781,0.000149187,140.0000
mixtral8x7b-coldest,1,bwd,addnorm,0.726927781,0.727224728,0.000296947,140.0000
mixtral8x7b-coldest,1,bwd,alltoall_2,0.727224728,1.077227265,0.350002537,84.0000
mixtral8x7b-coldest,1,bwd,experts,1.077227265,1.093222498,0.015995233,700.0000
mixtral8x7b-coldest,1,bwd,alltoall_1,1.093222498,1.443225035,0.350002537,84.0000
mixtral8x7b-coldest,1,bwd,gate,1.443225035,1.444073245,0.000848210,280.0000
mixtral8x7b-coldest,1,bwd,attention,1.444073245,1.468981942,0.024908696,700.0000
mixtral8x7b-coldest,2,fwd,attention,1.468981942,1.481434010,0.012452068,700.0000
mixtral8x7b-coldest,2,fwd,gate,1.481434010,1.481887434,0.000453423,280.0000
mixtral8x7b-coldest,2,fwd,alltoall_1,1.481887434,1.831889971,0.350002537,84.0000
mixtral8x7b-coldest,2,fwd,experts,1.831889971,1.845757999,0.013868028,700.0000
mixtral8x7b-coldest,2,fwd,alltoall_2,1.845757999,2.195760536,0.350002537,84.0000
mixtral8x7b-coldest,2,fwd,addnorm,2.195760536,2.195909723,0.000149187,140.0000
mixtral8x7b-coldest,2,bwd,addnorm,2.195909723,2.196206670,0.000296947,140.0000
mixtral8x7b-coldest,2,bwd,alltoall_2,2.196206670,2.546209207,0.350002537,84.0000
mixtral8x7b-coldest,2,bwd,experts,2.546209207,2.562204440,0.015995233,700.0000
mixtral8x7b-coldest,2,bwd,alltoall_1,2.562204440,2.912206977,0.350002537,84.0000
mixtral8x7b-coldest,2,bwd,gate,2.912206977,2.913055187,0.000848210,280.0000
mixtral8x7b-coldest,2,bwd,attention,2.913055187,2.937963884,0.024908696,700.0000
mixtral8x7b-coldest,3,fwd,attention,2.937963884,2.950415952,0.012452068,700.0000
mixtral8x7b-coldest,3,fwd,gate,2.950415952,2.950869375,0.000453423,280.0000
mixtral8x7b-coldest,3,fwd,alltoall_1,2.950869375,3.300871912,0.350002537,84.0000
mixtral8x7b-coldest,3,fwd,experts,3.300871912,3.314739941,0.013868028,700.0000
mixtral8x7b-coldest,3,fwd,alltoall_2,3.314739941,3.664742478,0.350002537,84.0000
mixtral8x7b-coldest,3,fwd,addnorm,3.664742478,3.664891665,0.000149187,140.0000
mixtral8x7b-coldest,3,bwd,addnorm,3.664891665,3.665188612,0.000296947,140.0000
mixtral8x7b-coldest,3,bwd,alltoall_2,3.665188612,4.015191149,0.350002537,84.0000
mixtral8x7b-coldest,3,bwd,experts,4.015191149,4.031186382,0.015995233,700.0000
mixtral8x7b-coldest,3,bwd,alltoall_1,4.031186382,4.381188919,0.350002537,84.0000
mixtral8x7b-coldest,3,bwd,gate,4.381188919,4.382037129,0.000848210,280.0000
mixtral8x7b-coldest,3,bwd,attention,4.382037129,4.406945826,0.024908696,700.0000
mixtral8x7b-coldest,4,fwd,attention,4.406945826,4.419397894,0.012452068,700.0000
mixtral8x7b-coldest,4,fwd,gate,4.419397894,4.419851317,0.000453423,280.0000
mixtral8x7b-coldest,4,fwd,alltoall_1,4.419851317,4.769853854,0.350002537,84.0000
mixtral8x7b-coldest,4,fwd,experts,4.769853854,4.783721882,0.013868028,700.0000
mixtral8x7b-coldest,4,fwd,alltoall_2,4.783721882,5.133724419,0.350002537,84.0000
mixtral8x7b-coldest,4,fwd,addnorm,5.133724419,5.133873607,0.000149187,140.0000
mixtral8x7b-coldest,4,bwd,addnorm,5.133873607,5.134170554,0.000296947,140.0000
mixtral8x7b-coldest,4,bwd,alltoall_2,5.134170554,5.484173091,0.350002537,84.0000
mixtral8x7b-coldest,4,bwd,experts,5.484173091,5.500168324,0.015995233,700.0000
mixtral8x7b-coldest,4,bwd,alltoall_1,5.500168324,5.850170861,0.350002537,84.0000
mixtral8x7b-coldest,4,bwd,gate,5.850170861,5.851019071,0.000848210,280.0000
mixtral8x7b-coldest,4,bwd,attention,5.851019071,5.875927767,0.024908696,700.0000
mixtral8x7b-coldest,5,fwd,attention,5.875927767,5.888379836,0.012452068,700.0000
mixtral8x7b-coldest,5,fwd,gate,5.888379836,5.888833259,0.000453423,280.0000
mixtral8x7b-coldest,5,fwd,alltoall_1,5.888833259,6.238835796,0.350002537,84.0000
mixtral8x7b-coldest,5,fwd,experts,6.238835796,6.252703824,0.013868028,700.0000
mixtral8x7b-coldest,5,fwd,alltoall_2,6.252703824,6.602706361,0.350002537,84.0000
mixtral8x7b-coldest,5,fwd,addnorm,6.602706361,6.602855549,0.000149187,140.0000
mixtral8x7b-coldest,5,bwd,addnorm,6.602855549,6.603152496,0.000296947,140.0000
mixtral8x7b-coldest,5,bwd,alltoall_2,6.603152496,6.953155033,0.350002537,84.0000
mixtral8x7b-coldest,5,bwd,experts,6.953155033,6.969150266,0.015995233,700.0000
mixtral8x7b-coldest,5,bwd,alltoall_1,6.969150266,7.319152803,0.350002537,84.0000
mixtral8x7b-coldest,5,bwd,gate,7.319152803,7.320001013,0.000848210,280.0000
mixtral8x7b-coldest,5,bwd,attention,7.320001013,7.344909709,0.024908696,700.0000
mixtral8x7b-coldest,6,fwd,attention,7.344909709,7.357361778,0.012452068,700.0000
mixtral8x7b-coldest,6,fwd,gate,7.357361778,7.357815201,0.000453423,280.0000
mixtral8x7b-coldest,6,fwd,alltoall_1,7.357815201,7.707817738,0.350002537,84.0000
mixtral8x7b-coldest,6,fwd,experts,7.707817738,7.721685766,0.013868028,700.0000
mixtral8x7b-coldest,6,fwd,alltoall_2,7.721685766,8.071688303,0.350002537,84.0000
mixtral8x7b-coldest,6,fwd,addnorm,8.071688303,8.071837490,0.000149187,140.0000
mixtral8x7b-coldest,6,bwd,addnorm,8.071837490,8.072134438,0.000296947,140.0000
mixtral8x7b-coldest,6,bwd,alltoall_2,8.072134438,8.422136975,0.350002537,84.0000
mixtral8x7b-coldest,6,bwd,experts,8.422136975,8.438132207,0.015995233,700.0000
mixtral8x7b-coldest,6,bwd,alltoall_1,8.438132207,8.788134744,0.350002537,84.0000
mixtral8x7b-coldest,6,bwd,gate,8.788134744,8.788982955,0.000848210,280.0000
mixtral8x7b-coldest,6,bwd,attention,8.788982955,8.813891651,0.024908696,700.0000
mixtral8x7b-coldest,7,fwd,attention,8.813891651,8.826343719,0.012452068,700.0000
mixtral8x7b-coldest,7,fwd,gate,8.826343719,8.826797143,0.000453423,280.0000
mixtral8x7b-coldest,7,fwd,alltoall_1,8.826797143,9.176799680,0.350002537,84.0000
mixtral8x7b-coldest,7,fwd,experts,9.176799680,9.190667708,0.013868028,700.0000
mixtral8x7b-coldest,7,fwd,alltoall_2,9.190667708,9.540670245,0.350002537,84.0000
mixtral8x7b-coldest,7,fwd,addnorm,9.540670245,9.540819432,0.000149187,140.0000
mixtral8x7b-coldest,7,bwd,addnorm,9.540819432,9.541116379,0.000296947,140.0000
mixtral8x7b-coldest,7,bwd,alltoall_2,9.541116379,9.891118916,0.350002537,84.0000
mixtral8x7b-coldest,7,bwd,experts,9.891118916,9.907114149,0.015995233,700.0000
mixtral8x7b-coldest,7,bwd,alltoall_1,9.907114149,10.257116686,0.350002537,84.0000
mixtral8x7b-coldest,7,bwd,gate,10.257116686,10.257964897,0.000848210,280.0000
mixtral8x7b-coldest,7,bwd,attention,10.257964897,10.282873593,0.024908696,700.0000
mixtral8x7b-coldest,8,fwd,attention,10.282873593,10.295325661,0.012452068,700.0000
mixtral8x7b-coldest,8,fwd,gate,10.295325661,10.295779085,0.000453423,280.0000
mixtral8x7b-coldest,8,fwd,alltoall_1,10.295779085,10.645781622,0.350002537,84.0000
mixtral8x7b-coldest,8,fwd,experts,10.645781622,10.659649650,0.013868028,700.0000
mixtral8x7b-coldest,8,fwd,alltoall_2,10.659649650,11.009652187,0.350002537,84.0000
mixtral8x7b-coldest,8,fwd,addnorm,11.009652187,11.009801374,0.000149187,140.0000
mixtral8x7b-coldest,8,bwd,addnorm,11.009801374,11.010098321,0.000296947,140.0000
mixtral8x7b-coldest,8,bwd,alltoall_2,11.010098321,11.360100858,0.350002537,84.0000
mixtral8x7b-coldest,8,bwd,experts,11.360100858,11.376096091,0.015995233,700.0000
mixtral8x7b-coldest,8,bwd,alltoall_1,11.376096091,11.726098628,0.350002537,84.0000
mixtral8x7b-coldest,8,bwd,gate,11.726098628,11.726946838,0.000848210,280.0000
mixtral8x7b-coldest,8,bwd,attention,11.726946838,11.751855535,0.024908696,700.0000
mixtral8x7b-coldest,9,fwd,attention,11.751855535,11.764307603,0.012452068,700.0000
mixtral8x7b-coldest,9,fwd,gate,11.764307603,11.764761026,0.000453423,280.0000
mixtral8x7b-coldest,9,fwd,alltoall_1,11.764761026,12.114763563,0.350002537,84.0000
mixtral8x7b-coldest,9,fwd,experts,12.114763563,12.128631592,0.013868028,700.0000
mixtral8x7b-coldest,9,fwd,alltoall_2,12.128631592,12.478634129,0.350002537,84.0000
mixtral8x7b-coldest,9,fwd,addnorm,12.478634129,12.478783316,0.000149187,140.0000
