model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b-hottest,1,fwd,attention,0.000000000,0.012452068,0.012452068,700.0000
mixtral8x7b-hottest,1,fwd,gate,0.012452068,0.012905492,0.000453423,280.0000
mixtral8x7b-hottest,1,fwd,alltoall_1,0.012905492,0.362908029,0.350002537,84.0000
mixtral8x7b-hottest,1,fwd,experts,0.362908029,0.432376702,0.069468674,700.0000
mixtral8x7b-hottest,1,fwd,alltoall_2,0.432376702,0.782379239,0.350002537,84.0000
mixtral8x7b-hottest,1,fwd,addnorm,0.782379239,0.782528426,0.000149187,140.0000
mixtral8x7b-hottest,1,bwd,addnorm,0.782528426,0.782825374,0.000296947,140.0000
mixtral8x7b-hottest,1,bwd,alltoall_2,0.782825374,1.132827911,0.350002537,84.0000
mixtral8x7b-hottest,1,bwd,experts,1.132827911,1.212952322,0.080124412,700.0000
mixtral8x7b-hottest,1,bwd,alltoall_1,1.212952322,1.562954859,0.350002537,84.0000
mixtral8x7b-hottest,1,bwd,gate,1.562954859,1.563803070,0.000848210,280.0000
mixtral8x7b-hottest,1,bwd,attention,1.563803070,1.588711766,0.024908696,700.0000
mixtral8x7b-hottest,2,fwd,attention,1.588711766,1.601163834,0.012452068,700.0000
mixtral8x7b-hottest,2,fwd,gate,1.601163834,1.601617258,0.000453423,280.0000
mixtral8x7b-hottest,2,fwd,alltoall_1,1.601617258,1.951619795,0.350002537,84.0000
mixtral8x7b-hottest,2,fwd,experts,1.951619795,2.021088468,0.069468674,700.0000
mixtral8x7b-hottest,2,fwd,alltoall_2,2.021088468,2.371091005,0.350002537,84.0000
mixtral8x7b-hottest,2,fwd,addnorm,2.371091005,2.371240193,0.000149187,140.0000
mixtral8x7b-hottest,2,bwd,addnorm,2.371240193,2.371537140,0.000296947,140.0000
mixtral8x7b-hottest,2,bwd,alltoall_2,2.371537140,2.721539677,0.350002537,84.0000
mixtral8x7b-hottest,2,bwd,experts,2.721539677,2.801664088,0.080124412,700.0000
mixtral8x7b-hottest,2,bwd,alltoall_1,2.801664088,3.151666625,0.350002537,84.0000
mixtral8x7b-hottest,2,bwd,gate,3.151666625,3.152514836,0.000848210,280.0000
mixtral8x7b-hottest,2,bwd,attention,3.152514836,3.177423532,0.024908696,700.0000
mixtral8x7b-hottest,3,fwd,attention,3.177423532,3.189875601,0.012452068,700.0000
mixtral8x7b-hottest,3,fwd,gate,3.189875601,3.190329024,0.000453423,280.0000
mixtral8x7b-hottest,3,fwd,alltoall_1,3.190329024,3.540331561,0.350002537,84.0000
mixtral8x7b-hottest,3,fwd,experts,3.540331561,3.609800234,0.069468674,700.0000
mixtral8x7b-hottest,3,fwd,alltoall_2,3.609800234,3.959802771,0.350002537,84.0000
mixtral8x7b-hottest,3,fwd,addnorm,3.959802771,3.959951959,0.000149187,140.0000
mixtral8x7b-hottest,3,bwd,addnorm,3.959951959,3.960248906,0.000296947,140.0000
mixtral8x7b-hottest,3,bwd,alltoall_2,3.960248906,4.310251443,0.350002537,84.0000
mixtral8x7b-hottest,3,bwd,experts,4.310251443,4.390375855,0.080124412,700.0000
mixtral8x7b-hottest,3,bwd,alltoall_1,4.390375855,4.740378392,0.350002537,84.0000
mixtral8x7b-hottest,3,bwd,gate,4.740378392,4.741226602,0.000848210,280.0000
mixtral8x7b-hottest,3,bwd,attention,4.741226602,4.766135298,0.024908696,700.0000
mixtral8x7b-hottest,4,fwd,attention,4.766135298,4.778587367,0.012452068,700.0000
mixtral8x7b-hottest,4,fwd,gate,4.778587367,4.779040790,0.000453423,280.0000
mixtral8x7b-hottest,4,fwd,alltoall_1,4.779040790,5.129043327,0.350002537,84.0000
mixtral8x7b-hottest,4,fwd,experts,5.129043327,5.198512000,0.069468674,700.0000
mixtral8x7b-hottest,4,fwd,alltoall_2,5.198512000,5.548514537,0.350002537,84.0000
mixtral8x7b-hottest,4,fwd,addnorm,5.548514537,5.548663725,0.000149187,140.0000
mixtral8x7b-hottest,4,bwd,addnorm,5.548663725,5.548960672,0.000296947,140.0000
mixtral8x7b-hottest,4,bwd,alltoall_2,5.548960672,5.898963209,0.350002537,84.0000
mixtral8x7b-hottest,4,bwd,experts,5.898963209,5.979087621,0.080124412,700.0000
mixtral8x7b-hottest,4,bwd,alltoall_1,5.979087621,6.329090158,0.350002537,84.0000
mixtral8x7b-hottest,4,bwd,gate,6.329090158,6.329938368,0.000848210,280.0000
mixtral8x7b-hottest,4,bwd,attention,6.329938368,6.354847064,0.024908696,700.0000
