model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral8x7b-median,1,fwd,attention,0.000000000,0.012452068,0.012452068,700.0000
mixtral8x7b-median,1,fwd,gate,0.012452068,0.012905492,0.000453423,280.0000
mixtral8x7b-median,1,fwd,alltoall_1,0.012905492,0.362908029,0.350002537,84.0000
mixtral8x7b-median,1,fwd,experts,0.362908029,0.398217134,0.035309105,700.0000
mixtral8x7b-median,1,fwd,alltoall_2,0.398217134,0.748219671,0.350002537,84.0000
mixtral8x7b-median,1,fwd,addnorm,0.748219671,0.748368858,0.000149187,140.0000
mixtral8x7b-median,1,bwd,addnorm,0.748368858,0.748665805,0.000296947,140.0000
mixtral8x7b-median,1,bwd,alltoall_2,0.748665805,1.098668342,0.350002537,84.0000
mixtral8x7b-median,1,bwd,experts,1.098668342,1.139393479,0.040725137,700.0000
mixtral8x7b-median,1,bwd,alltoall_1,1.139393479,1.489396016,0.350002537,84.0000
mixtral8x7b-median,1,bwd,gate,1.489396016,1.490244226,0.000848210,280.0000
mixtral8x7b-median,1,bwd,attention,1.490244226,1.515152923,0.024908696,700.0000
mixtral8x7b-median,2,fwd,attention,1.515152923,1.527604991,0.012452068,700.0000
mixtral8x7b-median,2,fwd,gate,1.527604991,1.528058414,0.000453423,280.0000
mixtral8x7b-median,2,fwd,alltoall_1,1.528058414,1.878060951,0.350002537,84.0000
mixtral8x7b-median,2,fwd,experts,1.878060951,1.913370056,0.035309105,700.0000
mixtral8x7b-median,2,fwd,alltoall_2,1.913370056,2.263372593,0.350002537,84.0000
mixtral8x7b-median,2,fwd,addnorm,2.263372593,2.263521780,0.000149187,140.0000
mixtral8x7b-median,2,bwd,addnorm,2.263521780,2.263818728,0.000296947,140.0000
mixtral8x7b-median,2,bwd,alltoall_2,2.263818728,2.613821265,0.350002537,84.0000
mixtral8x7b-median,2,bwd,experts,2.613821265,2.654546402,0.040725137,700.0000
mixtral8x7b-median,2,bwd,alltoall_1,2.654546402,3.004548939,0.350002537,84.0000
mixtral8x7b-median,2,bwd,gate,3.004548939,3.005397149,0.000848210,280.0000
mixtral8x7b-median,2,bwd,attention,3.005397149,3.030305845,0.024908696,700.0000
mixtral8x7b-median,3,fwd,attention,3.030305845,3.042757914,0.012452068,700.0000
mixtral8x7b-median,3,fwd,gate,3.042757914,3.043211337,0.000453423,280.0000
mixtral8x7b-median,3,fwd,alltoall_1,3.043211337,3.393213874,0.350002537,84.0000
mixtral8x7b-median,3,fwd,experts,3.393213874,3.428522979,0.035309105,700.0000
mixtral8x7b-median,3,fwd,alltoall_2,3.428522979,3.778525516,0.350002537,84.0000
mixtral8x7b-median,3,fwd,addnorm,3.778525516,3.778674703,0.000149187,140.0000
mixtral8x7b-median,3,bwd,addnorm,3.778674703,3.778971650,0.000296947,140.0000
mixtral8x7b-median,3,bwd,alltoall_2,3.778971650,4.128974187,0.350002537,84.0000
mixtral8x7b-median,3,bwd,experts,4.128974187,4.169699324,0.040725137,700.0000
mixtral8x7b-median,3,bwd,alltoall_1,4.169699324,4.519701861,0.350002537,84.0000
mixtral8x7b-median,3,bwd,gate,4.519701861,4.520550072,0.000848210,280.0000
mixtral8x7b-median,3,bwd,attention,4.520550072,4.545458768,0.024908696,700.0000
mixtral8x7b-median,4,fwd,attention,4.545458768,4.557910837,0.012452068,700.0000
mixtral8x7b-median,4,fwd,gate,4.557910837,4.558364260,0.000453423,280.0000
mixtral8x7b-median,4,fwd,alltoall_1,4.558364260,4.908366797,0.350002537,84.0000
mixtral8x7b-median,4,fwd,experts,4.908366797,4.943675902,0.035309105,700.0000
mixtral8x7b-median,4,fwd,alltoall_2,4.943675902,5.293678439,0.350002537,84.0000
mixtral8x7b-median,4,fwd,addnorm,5.293678439,5.293827626,0.000149187,140.0000
mixtral8x7b-median,4,bwd,addnorm,5.293827626,5.294124573,0.000296947,140.0000
mixtral8x7b-median,4,bwd,alltoall_2,5.294124573,5.644127110,0.350002537,84.0000
mixtral8x7b-median,4,bwd,experts,5.644127110,5.684852247,0.040725137,700.0000
mixtral8x7b-median,4,bwd,alltoall_1,5.684852247,6.034854784,0.350002537,84.0000
mixtral8x7b-median,4,bwd,gate,6.034854784,6.035702994,0.000848210,280.0000
mixtral8x7b-median,4,bwd,attention,6.035702994,6.060611691,0.024908696,700.0000
mixtral8x7b-median,5,fwd,attention,6.060611691,6.073063759,0.012452068,700.0000
mixtral8x7b-median,5,fwd,gate,6.073063759,6.073517183,0.000453423,280.0000
mixtral8x7b-median,5,fwd,alltoall_1,6.073517183,6.423519720,0.350002537,84.0000
mixtral8x7b-median,5,fwd,experts,6.423519720,6.458828824,0.035309105,700.0000
mixtral8x7b-median,5,fwd,alltoall_2,6.458828824,6.808831361,0.350002537,84.0000
mixtral8x7b-median,5,fwd,addnorm,6.808831361,6.808980549,0.000149187,140.0000
mixtral8x7b-median,5,bwd,addnorm,6.808980549,6.809277496,0.000296947,140.0000
mixtral8x7b-median,5,bwd,alltoall_2,6.809277496,7.159280033,0.350002537,84.0000
mixtral8x7b-median,5,bwd,experts,7.159280033,7.200005170,0.040725137,700.0000
mixtral8x7b-median,5,bwd,alltoall_1,7.200005170,7.550007707,0.350002537,84.0000
mixtral8x7b-median,5,bwd,gate,7.550007707,7.550855917,0.000848210,280.0000
mixtral8x7b-median,5,bwd,attention,7.550855917,7.575764614,0.024908696,700.0000
mixtral8x7b-median,6,fwd,attention,7.575764614,7.588216682,0.012452068,700.0000
mixtral8x7b-median,6,fwd,gate,7.588216682,7.588670105,0.000453423,280.0000
mixtral8x7b-median,6,fwd,alltoall_1,7.588670105,7.938672642,0.350002537,84.0000
mixtral8x7b-median,6,fwd,experts,7.938672642,7.973981747,0.035309105,700.0000
mixtral8x7b-median,6,fwd,alltoall_2,7.973981747,8.323984284,0.350002537,84.0000
mixtral8x7b-median,6,fwd,addnorm,8.323984284,8.324133471,0.000149187,140.0000
mixtral8x7b-median,6,bwd,addnorm,8.324133471,8.324430419,0.000296947,140.0000
mixtral8x7b-median,6,bwd,alltoall_2,8.324430419,8.674432956,0.350002537,84.0000
