
 STORAGE COMPLETE FOR  24700 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  64.77       9.667     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:23:03  SEP 19, 2026 CP=  16745.510

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19986E-02   54.8296     
   0.29973E-02   54.8296     
   0.39959E-02   54.8296     
   0.49946E-02   54.8296     
   0.59932E-02   54.8296     
   0.69919E-02   54.8296     
   0.79905E-02   54.8296     
   0.89892E-02   54.8296     
   0.99878E-02   54.8296     
   0.10986E-01   54.8296     
   0.11985E-01   54.8296     
   0.12984E-01   54.8296     
   0.13982E-01   54.8296     
   0.14981E-01   54.8296     
   0.15980E-01   54.8296     
   0.16978E-01   54.8296     
   0.17977E-01   54.8296     
   0.18976E-01   54.8296     
   0.19974E-01   54.8296     
   0.20973E-01   54.8296     
   0.21972E-01   54.8296     
   0.22970E-01   54.8296     
   0.23969E-01   54.8296     
   0.24967E-01   54.8296     
   0.25966E-01   54.8296     
   0.26965E-01   54.8296     
   0.27963E-01   54.8296     
   0.28962E-01   54.8296     
   0.29961E-01   54.8296     
   0.30959E-01   54.8296     
   0.31958E-01   54.8296     
   0.32957E-01   54.8296     
   0.33955E-01   54.8296     
   0.34954E-01   54.8296     
   0.35953E-01   54.8296     
   0.36951E-01   54.8296     
   0.37950E-01   54.8296     
   0.38948E-01   54.8296     
   0.39947E-01   54.8296     
   0.40946E-01   54.8296     
   0.41944E-01   54.8296     
   0.42943E-01   54.8296     
   0.43942E-01   54.8296     
   0.44940E-01   54.8296     
   0.45939E-01   54.8296     
   0.46938E-01   54.8296     
   0.47936E-01   54.8296     
   0.48935E-01   54.8296     
   0.49934E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:23:03  SEP 19, 2026 CP=  16745.510

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50932E-01   54.8296     
   0.51931E-01   54.8296     
   0.52929E-01   54.8296     
   0.53928E-01   54.8296     
   0.54927E-01   54.8296     
   0.55925E-01   54.8296     
   0.56924E-01   54.8296     
   0.57923E-01   54.8296     
   0.58921E-01   54.8296     
   0.59920E-01   54.8296     
   0.60919E-01   54.8296     
   0.61917E-01   54.8296     
   0.62916E-01   54.8296     
   0.63915E-01   54.8296     
   0.64913E-01   54.8296     
   0.65912E-01   54.8296     
   0.66911E-01   54.8296     
   0.67909E-01   54.8296     
   0.68908E-01   54.8296     
   0.69906E-01   54.8296     
   0.70905E-01   54.8296     
   0.71904E-01   54.8296     
   0.72902E-01   54.8296     
   0.73901E-01   54.8296     
   0.74900E-01   54.8296     
   0.75898E-01   54.8296     
   0.76897E-01   54.8296     
   0.77896E-01   54.8296     
   0.78894E-01   54.8296     
   0.79893E-01   54.8296     
   0.80892E-01   54.8296     
   0.81890E-01   54.8296     
   0.82889E-01   54.8296     
   0.83887E-01   54.8296     
   0.84886E-01   54.8296     
   0.85885E-01   54.8296     
   0.86883E-01   54.8296     
   0.87882E-01   54.8296     
   0.88881E-01   54.8296     
   0.89879E-01   54.8296     
   0.90878E-01   54.8296     
   0.91877E-01   54.8296     
   0.92875E-01   54.8296     
   0.93874E-01   54.8296     
   0.94873E-01   54.8296     
   0.95871E-01   54.8296     
   0.96870E-01   54.8296     
   0.97868E-01   54.8296     
   0.98867E-01   54.8296     
   0.99866E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:23:03  SEP 19, 2026 CP=  16745.510

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10086       54.8296     
   0.10186       54.8296     
   0.10286       54.8296     
   0.10386       54.8296     
   0.10486       54.8296     
   0.10586       54.8296     
   0.10686       54.8296     
   0.10785       54.8296     
   0.10885       54.8296     
   0.10985       54.8296     
   0.11085       54.8296     
   0.11185       54.8296     
   0.11285       54.8296     
   0.11385       54.8296     
   0.11485       54.8296     
   0.11584       54.8296     
   0.11684       54.8296     
   0.11784       54.8296     
   0.11884       54.8296     
   0.11984       54.8296     
   0.12084       54.8296     
   0.12184       54.8296     
   0.12283       54.8296     
   0.12383       54.8296     
   0.12483       54.8296     
   0.12583       54.8296     
   0.12683       54.8296     
   0.12783       54.8296     
   0.12883       54.8296     
   0.12983       54.8296     
   0.13082       54.8296     
   0.13182       54.8296     
   0.13282       54.8296     
   0.13382       54.8296     
   0.13482       54.8296     
   0.13582       54.8296     
   0.13682       54.8296     
   0.13781       54.8296     
   0.13881       54.8296     
   0.13981       54.8296     
   0.14081       54.8296     
   0.14181       54.8296     
   0.14281       54.8296     
   0.14381       54.8296     
   0.14480       54.8296     
   0.14580       54.8296     
   0.14680       54.8296     
   0.14780       54.8296     
   0.14880       54.8296     
   0.14980       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:23:03  SEP 19, 2026 CP=  16745.510

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.15080       54.8296     
   0.15180       54.8296     
   0.15279       54.8296     
   0.15379       54.8296     
   0.15479       54.8296     
   0.15579       54.8296     
   0.15679       54.8296     
   0.15779       54.8296     
   0.15879       54.8296     
   0.15978       54.8296     
   0.16078       54.8296     
   0.16178       54.8296     
   0.16278       54.8296     
   0.16378       54.8296     
   0.16478       54.8296     
   0.16578       54.8296     
   0.16677       54.8296     
   0.16777       54.8296     
   0.16877       54.8296     
   0.16977       54.8296     
   0.17077       54.8296     
   0.17177       54.8296     
   0.17277       54.8296     
   0.17377       54.8296     
   0.17476       54.8296     
   0.17576       54.8296     
   0.17676       54.8296     
   0.17776       54.8296     
   0.17876       54.8296     
   0.17976       54.8296     
   0.18076       54.8296     
   0.18175       54.8296     
   0.18275       54.8296     
   0.18375       54.8296     
   0.18475       54.8296     
   0.18575       54.8296     
   0.18675       54.8296     
   0.18775       54.8296     
   0.18875       54.8296     
   0.18974       54.8296     
   0.19074       54.8296     
   0.19174       54.8296     
   0.19274       54.8296     
   0.19374       54.8296     
   0.19474       54.8296     
   0.19574       54.8296     
   0.19673       54.8296     
   0.19773       54.8296     
   0.19873       54.8296     
   0.19973       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:23:03  SEP 19, 2026 CP=  16745.512

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.20073       54.8296     
   0.20173       54.8296     
   0.20273       54.8296     
   0.20372       54.8296     
   0.20472       54.8296     
   0.20572       54.8296     
   0.20672       54.8296     
   0.20772       54.8296     
   0.20874       55.1227     
   0.20977       55.4978     
   0.21080       55.9001     
   0.21182       56.3109     
   0.21285       56.7207     
   0.21387       57.1241     
   0.21490       57.5177     
   0.21592       57.8999     
   0.21695       58.2694     
   0.21798       58.6258     
   0.21900       58.9691     
   0.22003       59.2994     
   0.22003       59.2994     
   0.22005       59.3051     
   0.22006       59.3106     
   0.22008       59.3159     
   0.22010       59.3208     
   0.22012       59.3254     
   0.22014       59.3296     
   0.22015       59.3335     
   0.22017       59.3372     
   0.22017       59.3372     
   0.22017       59.3377     
   0.22017       59.3377     
   0.22019       59.3402     
   0.22020       59.3425     
   0.22021       59.3447     
   0.22021       59.3449     
   0.22021       59.3449     
