
 STORAGE COMPLETE FOR  13120 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.5448E-001  66.26       4.568     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:15:08  SEP 25, 2026 CP=   9665.656

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20091E-02   54.8296     
   0.30182E-02   54.8296     
   0.40273E-02   54.8296     
   0.50363E-02   54.8296     
   0.60454E-02   54.8296     
   0.70545E-02   54.8296     
   0.80636E-02   54.8296     
   0.90727E-02   54.8296     
   0.10082E-01   54.8296     
   0.11091E-01   54.8296     
   0.12100E-01   54.8296     
   0.13109E-01   54.8296     
   0.14118E-01   54.8296     
   0.15127E-01   54.8296     
   0.16136E-01   54.8296     
   0.17145E-01   54.8296     
   0.18154E-01   54.8296     
   0.19164E-01   54.8296     
   0.20173E-01   54.8296     
   0.21182E-01   54.8296     
   0.22191E-01   54.8296     
   0.23200E-01   54.8296     
   0.24209E-01   54.8296     
   0.25218E-01   54.8296     
   0.26227E-01   54.8296     
   0.27236E-01   54.8296     
   0.28245E-01   54.8296     
   0.29254E-01   54.8296     
   0.30263E-01   54.8296     
   0.31273E-01   54.8296     
   0.32282E-01   54.8296     
   0.33291E-01   54.8296     
   0.34300E-01   54.8296     
   0.35309E-01   54.8296     
   0.36318E-01   54.8296     
   0.37327E-01   54.8296     
   0.38336E-01   54.8296     
   0.39345E-01   54.8296     
   0.40354E-01   54.8296     
   0.41363E-01   54.8296     
   0.42373E-01   54.8296     
   0.43382E-01   54.8296     
   0.44391E-01   54.8296     
   0.45400E-01   54.8296     
   0.46409E-01   54.8296     
   0.47418E-01   54.8296     
   0.48427E-01   54.8296     
   0.49436E-01   54.8296     
   0.50445E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:15:08  SEP 25, 2026 CP=   9665.656

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51454E-01   54.8296     
   0.52463E-01   54.8296     
   0.53472E-01   54.8296     
   0.54482E-01   54.8296     
   0.55507E-01   55.1227     
   0.56533E-01   55.4978     
   0.57559E-01   55.9001     
   0.58584E-01   56.3109     
   0.59610E-01   56.7207     
   0.60636E-01   57.1241     
   0.61661E-01   57.5177     
   0.62687E-01   57.8999     
   0.63713E-01   58.2694     
   0.64738E-01   58.6258     
   0.65764E-01   58.9691     
   0.66790E-01   59.2994     
   0.66790E-01   59.2994     
   0.66808E-01   59.3051     
   0.66826E-01   59.3106     
   0.66844E-01   59.3159     
   0.66862E-01   59.3208     
   0.66880E-01   59.3254     
   0.66898E-01   59.3296     
   0.66916E-01   59.3335     
   0.66934E-01   59.3372     
   0.66934E-01   59.3372     
   0.66937E-01   59.3377     
   0.66937E-01   59.3377     
   0.66950E-01   59.3402     
   0.66962E-01   59.3425     
   0.66975E-01   59.3447     
   0.66978E-01   59.3451     
   0.66978E-01   59.3451     
   0.66995E-01   59.3479     
   0.67044E-01   59.3547     
   0.67093E-01   59.3603     
   0.67141E-01   59.3649     
   0.67190E-01   59.3684     
   0.67239E-01   59.3712     
   0.67288E-01   59.3734     
   0.67337E-01   59.3749     
   0.67385E-01   59.3760     
   0.68371E-01   59.5982     
   0.69357E-01   59.8599     
   0.70342E-01   60.1260     
   0.71328E-01   60.3887     
   0.72313E-01   60.6452     
   0.73299E-01   60.8945     
   0.74285E-01   61.1357     
   0.75270E-01   61.3688     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:15:08  SEP 25, 2026 CP=   9665.656

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.76256E-01   61.5935     
   0.77241E-01   61.8100     
   0.78227E-01   62.0185     
   0.78915E-01   61.9867     
   0.79603E-01   61.8902     
   0.80292E-01   61.7653     
   0.80980E-01   61.6247     
   0.81668E-01   61.4747     
   0.82356E-01   61.3192     
   0.83044E-01   61.1610     
   0.83733E-01   61.0019     
   0.84698E-01   61.0518     
   0.85663E-01   61.1843     
   0.86628E-01   61.3493     
   0.87593E-01   61.5300     
   0.88558E-01   61.7178     
   0.89523E-01   61.9077     
   0.90489E-01   62.0966     
   0.91454E-01   62.2824     
   0.92419E-01   62.4639     
   0.93384E-01   62.6403     
   0.93581E-01   62.6495     
   0.93778E-01   62.6402     
   0.93974E-01   62.6204     
   0.94171E-01   62.5940     
   0.94368E-01   62.5631     
   0.94564E-01   62.5290     
   0.94761E-01   62.4922     
   0.94958E-01   62.4532     
   0.95993E-01   62.5127     
   0.97028E-01   62.6387     
   0.98063E-01   62.7858     
   0.99099E-01   62.9409     
   0.10013       63.0983     
   0.10117       63.2549     
   0.10220       63.4086     
   0.10324       63.5585     
   0.10427       63.7037     
   0.10531       63.8441     
   0.10635       63.9793     
   0.10738       64.1095     
   0.10842       64.2347     
   0.10847       64.2391     
   0.10852       64.2410     
   0.10857       64.2405     
   0.10862       64.2379     
   0.10867       64.2337     
   0.10873       64.2283     
   0.10878       64.2218     
   0.10883       64.2145     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:15:08  SEP 25, 2026 CP=   9665.656

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10883       64.2145     
   0.10885       64.2118     
   0.10887       64.2091     
   0.10888       64.2064     
   0.10890       64.2035     
   0.10892       64.2007     
   0.10894       64.1978     
   0.10896       64.1949     
   0.10897       64.1920     
   0.10897       64.1919     
   0.10898       64.1915     
   0.10898       64.1912     
   0.11000       64.2335     
   0.11103       64.3211     
   0.11206       64.4194     
   0.11308       64.5204     
   0.11411       64.6213     
   0.11513       64.7206     
   0.11616       64.8175     
   0.11718       64.9116     
   0.11821       65.0025     
   0.11923       65.0903     
   0.12026       65.1748     
   0.12129       65.2561     
   0.12129       65.2561     
   0.12130       65.2574     
   0.12132       65.2586     
   0.12134       65.2594     
   0.12136       65.2600     
   0.12138       65.2602     
   0.12139       65.2601     
   0.12141       65.2597     
   0.12143       65.2589     
   0.12143       65.2589     
   0.12143       65.2588     
   0.12143       65.2588     
   0.12145       65.2581     
   0.12146       65.2574     
   0.12147       65.2565     
   0.12147       65.2563     
   0.12147       65.2563     
   0.12149       65.2550     
   0.12154       65.2501     
   0.12159       65.2440     
   0.12164       65.2368     
   0.12169       65.2287     
   0.12174       65.2199     
   0.12178       65.2104     
   0.12183       65.2003     
   0.12188       65.1898     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:15:08  SEP 25, 2026 CP=   9665.657

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12287       65.1871     
   0.12385       65.2324     
   0.12484       65.2903     
   0.12582       65.3528     
   0.12681       65.4169     
   0.12780       65.4811     
   0.12878       65.5445     
   0.12977       65.6066     
   0.13075       65.6670     
   0.13174       65.7255     
   0.13272       65.7821     
   0.13341       65.6472     
   0.13410       65.4504     
   0.13479       65.2280     
   0.13548       64.9925     
   0.13616       64.7501     
   0.13685       64.5049     
   0.13754       64.2594     
   0.13823       64.0154     
   0.13919       63.9508     
   0.14016       63.9730     
   0.14112       64.0321     
   0.14209       64.1107     
   0.14305       64.2005     
   0.14402       64.2960     
   0.14499       64.3941     
   0.14595       64.4926     
   0.14692       64.5900     
   0.14788       64.6856     
