
 STORAGE COMPLETE FOR  13120 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.4944E-001  66.26       5.433     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:52  SEP 25, 2026 CP=   9576.901

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20091E-02   54.8296     
   0.30182E-02   54.8296     
   0.40273E-02   54.8296     
   0.50363E-02   54.8296     
   0.60454E-02   54.8296     
   0.70545E-02   54.8296     
   0.80636E-02   54.8296     
   0.90727E-02   54.8296     
   0.10082E-01   54.8296     
   0.11091E-01   54.8296     
   0.12100E-01   54.8296     
   0.13109E-01   54.8296     
   0.14118E-01   54.8296     
   0.15127E-01   54.8296     
   0.16136E-01   54.8296     
   0.17145E-01   54.8296     
   0.18154E-01   54.8296     
   0.19164E-01   54.8296     
   0.20173E-01   54.8296     
   0.21182E-01   54.8296     
   0.22191E-01   54.8296     
   0.23200E-01   54.8296     
   0.24209E-01   54.8296     
   0.25218E-01   54.8296     
   0.26227E-01   54.8296     
   0.27236E-01   54.8296     
   0.28245E-01   54.8296     
   0.29254E-01   54.8296     
   0.30263E-01   54.8296     
   0.31273E-01   54.8296     
   0.32282E-01   54.8296     
   0.33291E-01   54.8296     
   0.34300E-01   54.8296     
   0.35309E-01   54.8296     
   0.36318E-01   54.8296     
   0.37327E-01   54.8296     
   0.38336E-01   54.8296     
   0.39345E-01   54.8296     
   0.40354E-01   54.8296     
   0.41363E-01   54.8296     
   0.42373E-01   54.8296     
   0.43382E-01   54.8296     
   0.44391E-01   54.8296     
   0.45400E-01   54.8296     
   0.46409E-01   54.8296     
   0.47418E-01   54.8296     
   0.48427E-01   54.8296     
   0.49436E-01   54.8296     
   0.50445E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:52  SEP 25, 2026 CP=   9576.901

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51454E-01   54.8296     
   0.52463E-01   54.8296     
   0.53472E-01   54.8296     
   0.54482E-01   54.8296     
   0.55507E-01   55.1227     
   0.56533E-01   55.4978     
   0.57559E-01   55.9001     
   0.58584E-01   56.3109     
   0.59610E-01   56.7207     
   0.60636E-01   57.1241     
   0.61661E-01   57.5177     
   0.62687E-01   57.8999     
   0.63713E-01   58.2694     
   0.64738E-01   58.6258     
   0.65764E-01   58.9691     
   0.66790E-01   59.2994     
   0.66790E-01   59.2994     
   0.66808E-01   59.3051     
   0.66826E-01   59.3106     
   0.66844E-01   59.3159     
   0.66862E-01   59.3208     
   0.66880E-01   59.3254     
   0.66898E-01   59.3296     
   0.66916E-01   59.3335     
   0.66934E-01   59.3372     
   0.66934E-01   59.3372     
   0.66937E-01   59.3377     
   0.66937E-01   59.3377     
   0.66950E-01   59.3402     
   0.66962E-01   59.3425     
   0.66975E-01   59.3447     
   0.66978E-01   59.3451     
   0.66978E-01   59.3451     
   0.66995E-01   59.3479     
   0.67044E-01   59.3547     
   0.67093E-01   59.3603     
   0.67141E-01   59.3649     
   0.67190E-01   59.3684     
   0.67239E-01   59.3712     
   0.67288E-01   59.3734     
   0.67337E-01   59.3749     
   0.67385E-01   59.3760     
   0.68371E-01   59.5982     
   0.69356E-01   59.8598     
   0.70342E-01   60.1259     
   0.71327E-01   60.3885     
   0.72313E-01   60.6451     
   0.73298E-01   60.8942     
   0.74284E-01   61.1355     
   0.75269E-01   61.3685     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:52  SEP 25, 2026 CP=   9576.902

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.76254E-01   61.5932     
   0.77240E-01   61.8097     
   0.78225E-01   62.0181     
   0.78914E-01   61.9864     
   0.79602E-01   61.8899     
   0.80290E-01   61.7650     
   0.80978E-01   61.6244     
   0.81666E-01   61.4744     
   0.82355E-01   61.3189     
   0.83043E-01   61.1607     
   0.83731E-01   61.0017     
   0.84696E-01   61.0516     
   0.85661E-01   61.1841     
   0.86626E-01   61.3491     
   0.87592E-01   61.5297     
   0.88557E-01   61.7176     
   0.89522E-01   61.9075     
   0.90487E-01   62.0964     
   0.91452E-01   62.2822     
   0.92417E-01   62.4637     
   0.93382E-01   62.6401     
   0.93579E-01   62.6493     
   0.93776E-01   62.6400     
   0.93972E-01   62.6202     
   0.94169E-01   62.5938     
   0.94366E-01   62.5629     
   0.94563E-01   62.5288     
   0.94759E-01   62.4920     
   0.94956E-01   62.4530     
   0.95993E-01   62.5127     
   0.97029E-01   62.6390     
   0.98066E-01   62.7863     
   0.99103E-01   62.9416     
   0.10014       63.0993     
   0.10118       63.2560     
   0.10221       63.4100     
   0.10325       63.5600     
   0.10429       63.7054     
   0.10532       63.8459     
   0.10636       63.9813     
   0.10740       64.1116     
   0.10843       64.2369     
   0.10848       64.2412     
   0.10853       64.2432     
   0.10858       64.2429     
   0.10863       64.2407     
   0.10868       64.2370     
   0.10873       64.2320     
   0.10878       64.2261     
   0.10883       64.2193     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:52  SEP 25, 2026 CP=   9576.902

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10883       64.2193     
   0.10885       64.2167     
   0.10887       64.2141     
   0.10888       64.2114     
   0.10890       64.2087     
   0.10892       64.2059     
   0.10894       64.2031     
   0.10896       64.2002     
   0.10897       64.1973     
   0.10897       64.1973     
   0.10898       64.1969     
   0.10898       64.1966     
   0.11000       64.2400     
   0.11103       64.3281     
   0.11206       64.4265     
   0.11308       64.5276     
   0.11411       64.6283     
   0.11513       64.7275     
   0.11616       64.8242     
   0.11718       64.9181     
   0.11821       65.0088     
   0.11923       65.0963     
   0.12026       65.1806     
   0.12129       65.2616     
   0.12129       65.2617     
   0.12130       65.2630     
   0.12132       65.2641     
   0.12134       65.2650     
   0.12136       65.2656     
   0.12138       65.2658     
   0.12139       65.2657     
   0.12141       65.2652     
   0.12143       65.2645     
   0.12143       65.2645     
   0.12143       65.2644     
   0.12143       65.2644     
   0.12145       65.2637     
   0.12146       65.2629     
   0.12147       65.2620     
   0.12147       65.2618     
   0.12147       65.2618     
   0.12149       65.2605     
   0.12154       65.2556     
   0.12159       65.2495     
   0.12164       65.2423     
   0.12169       65.2342     
   0.12174       65.2253     
   0.12178       65.2158     
   0.12183       65.2058     
   0.12188       65.1953     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:52  SEP 25, 2026 CP=   9576.902

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12287       65.1923     
   0.12385       65.2374     
   0.12484       65.2951     
   0.12582       65.3574     
   0.12681       65.4214     
   0.12779       65.4854     
   0.12878       65.5486     
   0.12977       65.6105     
   0.13075       65.6707     
   0.13174       65.7291     
   0.13272       65.7856     
   0.13341       65.6505     
   0.13410       65.4537     
   0.13479       65.2311     
   0.13547       64.9955     
   0.13616       64.7531     
   0.13685       64.5078     
   0.13754       64.2622     
   0.13823       64.0182     
   0.13919       63.9534     
   0.14016       63.9756     
   0.14112       64.0345     
   0.14209       64.1131     
   0.14305       64.2027     
   0.14402       64.2982     
   0.14498       64.3962     
   0.14595       64.4946     
   0.14691       64.5919     
   0.14788       64.6874     
