
 STORAGE COMPLETE FOR  15120 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  66.28       8.706     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:10:17  SEP 17, 2026 CP=  10701.680

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20015E-02   54.8296     
   0.30030E-02   54.8296     
   0.40045E-02   54.8296     
   0.50061E-02   54.8296     
   0.60076E-02   54.8296     
   0.70091E-02   54.8296     
   0.80106E-02   54.8296     
   0.90121E-02   54.8296     
   0.10014E-01   54.8296     
   0.11015E-01   54.8296     
   0.12017E-01   54.8296     
   0.13018E-01   54.8296     
   0.14020E-01   54.8296     
   0.15021E-01   54.8296     
   0.16023E-01   54.8296     
   0.17024E-01   54.8296     
   0.18026E-01   54.8296     
   0.19027E-01   54.8296     
   0.20029E-01   54.8296     
   0.21030E-01   54.8296     
   0.22032E-01   54.8296     
   0.23033E-01   54.8296     
   0.24035E-01   54.8296     
   0.25036E-01   54.8296     
   0.26038E-01   54.8296     
   0.27039E-01   54.8296     
   0.28041E-01   54.8296     
   0.29042E-01   54.8296     
   0.30044E-01   54.8296     
   0.31045E-01   54.8296     
   0.32047E-01   54.8296     
   0.33048E-01   54.8296     
   0.34050E-01   54.8296     
   0.35051E-01   54.8296     
   0.36053E-01   54.8296     
   0.37054E-01   54.8296     
   0.38056E-01   54.8296     
   0.39058E-01   54.8296     
   0.40059E-01   54.8296     
   0.41061E-01   54.8296     
   0.42062E-01   54.8296     
   0.43064E-01   54.8296     
   0.44065E-01   54.8296     
   0.45067E-01   54.8296     
   0.46068E-01   54.8296     
   0.47070E-01   54.8296     
   0.48071E-01   54.8296     
   0.49073E-01   54.8296     
   0.50074E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:10:17  SEP 17, 2026 CP=  10701.681

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51076E-01   54.8296     
   0.52077E-01   54.8296     
   0.53079E-01   54.8296     
   0.54080E-01   54.8296     
   0.55082E-01   54.8296     
   0.56083E-01   54.8296     
   0.57085E-01   54.8296     
   0.58086E-01   54.8296     
   0.59088E-01   54.8296     
   0.60089E-01   54.8296     
   0.61091E-01   54.8296     
   0.62092E-01   54.8296     
   0.63094E-01   54.8296     
   0.64095E-01   54.8296     
   0.65097E-01   54.8296     
   0.66098E-01   54.8296     
   0.67100E-01   54.8296     
   0.68101E-01   54.8296     
   0.69103E-01   54.8296     
   0.70104E-01   54.8296     
   0.71106E-01   54.8296     
   0.72107E-01   54.8296     
   0.73109E-01   54.8296     
   0.74111E-01   54.8296     
   0.75112E-01   54.8296     
   0.76114E-01   54.8296     
   0.77115E-01   54.8296     
   0.78117E-01   54.8296     
   0.79118E-01   54.8296     
   0.80120E-01   54.8296     
   0.81121E-01   54.8296     
   0.82123E-01   54.8296     
   0.83124E-01   54.8296     
   0.84126E-01   54.8296     
   0.85127E-01   54.8296     
   0.86129E-01   54.8296     
   0.87130E-01   54.8296     
   0.88132E-01   54.8296     
   0.89133E-01   54.8296     
   0.90135E-01   54.8296     
   0.91136E-01   54.8296     
   0.92138E-01   54.8296     
   0.93139E-01   54.8296     
   0.94141E-01   54.8296     
   0.95142E-01   54.8296     
   0.96144E-01   54.8296     
   0.97145E-01   54.8296     
   0.98147E-01   54.8296     
   0.99148E-01   54.8296     
   0.10015       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:10:17  SEP 17, 2026 CP=  10701.681

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10115       54.8296     
   0.10215       54.8296     
   0.10318       55.1227     
   0.10420       55.4978     
   0.10523       55.9001     
   0.10626       56.3109     
   0.10728       56.7207     
   0.10831       57.1241     
   0.10933       57.5177     
   0.11036       57.8999     
   0.11138       58.2694     
   0.11241       58.6258     
   0.11344       58.9691     
   0.11446       59.2994     
   0.11446       59.2994     
   0.11448       59.3051     
   0.11450       59.3106     
   0.11452       59.3159     
   0.11453       59.3208     
   0.11455       59.3254     
   0.11457       59.3296     
   0.11459       59.3335     
   0.11461       59.3372     
   0.11461       59.3372     
   0.11461       59.3377     
   0.11461       59.3377     
   0.11462       59.3402     
   0.11463       59.3425     
   0.11465       59.3447     
   0.11465       59.3449     
   0.11465       59.3449     
   0.11466       59.3477     
   0.11467       59.3480     
   0.11565       59.6141     
   0.11664       59.8951     
   0.11762       60.1716     
   0.11861       60.4400     
   0.11959       60.6995     
   0.12058       60.9499     
   0.12157       61.1911     
   0.12255       61.4234     
   0.12354       61.6470     
   0.12452       61.8621     
   0.12551       62.0689     
   0.12561       62.0821     
   0.12570       62.0877     
   0.12580       62.0878     
   0.12590       62.0840     
   0.12600       62.0775     
   0.12610       62.0690     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:10:17  SEP 17, 2026 CP=  10701.681

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.12619       62.0588     
   0.12629       62.0474     
   0.12726       62.1496     
   0.12822       62.3006     
   0.12919       62.4632     
   0.13015       62.6281     
   0.13112       62.7920     
   0.13208       62.9529     
   0.13305       63.1100     
   0.13401       63.2625     
   0.13498       63.4103     
   0.13594       63.5531     
   0.13597       63.5568     
   0.13600       63.5599     
   0.13603       63.5622     
   0.13606       63.5637     
   0.13608       63.5643     
   0.13611       63.5643     
   0.13614       63.5636     
   0.13617       63.5624     
   0.13720       63.6615     
   0.13824       63.7888     
   0.13927       63.9190     
   0.14031       64.0472     
   0.14134       64.1721     
   0.14238       64.2931     
   0.14342       64.4100     
   0.14445       64.5225     
   0.14549       64.6308     
   0.14652       64.7349     
   0.14756       64.8350     
   0.14859       64.9310     
   0.14963       65.0232     
   0.15064       64.8206     
   0.15166       64.5331     
   0.15267       64.2150     
   0.15369       63.8851     
   0.15470       63.5529     
   0.15572       63.2238     
   0.15674       62.9012     
   0.15775       62.5873     
   0.15877       62.2830     
   0.15978       61.9890     
   0.16080       61.7055     
   0.16181       61.4325     
   0.16283       61.1699     
   0.16385       60.9174     
   0.16486       60.6748     
   0.16588       60.4417     
   0.16689       60.2178     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:10:17  SEP 17, 2026 CP=  10701.681

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.16791       60.0028     
   0.16892       59.7964     
   0.16994       59.5981     
   0.17096       59.4078     
   0.17197       59.2250     
   0.17299       59.0496     
   0.17400       58.8811     
   0.17400       58.8811     
   0.17402       58.8781     
   0.17404       58.8751     
   0.17406       58.8722     
   0.17408       58.8693     
   0.17409       58.8665     
   0.17411       58.8636     
   0.17413       58.8608     
   0.17415       58.8581     
   0.17415       58.8581     
   0.17415       58.8577     
   0.17515       58.7025     
   0.17615       58.5512     
   0.17715       58.4053     
   0.17815       58.2650     
   0.17915       58.1301     
   0.18015       58.0004     
   0.18115       57.8758     
   0.18215       57.7560     
   0.18315       57.6410     
   0.18415       57.5304     
   0.18515       57.4242     
   0.18615       57.3222     
   0.18715       57.2242     
   0.18815       57.1300     
   0.18915       57.0395     
   0.19015       56.9526     
   0.19115       56.8691     
   0.19215       56.7889     
   0.19315       56.7118     
   0.19415       56.6378     
