
 STORAGE COMPLETE FOR  15110 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.8905E-001  67.14       2.891     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:28  SEP 17, 2026 CP=  11300.727

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20006E-02   54.8296     
   0.30012E-02   54.8296     
   0.40019E-02   54.8296     
   0.50025E-02   54.8296     
   0.60031E-02   54.8296     
   0.70037E-02   54.8296     
   0.80044E-02   54.8296     
   0.90050E-02   54.8296     
   0.10006E-01   54.8296     
   0.11006E-01   54.8296     
   0.12007E-01   54.8296     
   0.13007E-01   54.8296     
   0.14008E-01   54.8296     
   0.15009E-01   54.8296     
   0.16009E-01   54.8296     
   0.17010E-01   54.8296     
   0.18011E-01   54.8296     
   0.19011E-01   54.8296     
   0.20012E-01   54.8296     
   0.21012E-01   54.8296     
   0.22013E-01   54.8296     
   0.23014E-01   54.8296     
   0.24014E-01   54.8296     
   0.25015E-01   54.8296     
   0.26016E-01   54.8296     
   0.27016E-01   54.8296     
   0.28017E-01   54.8296     
   0.29017E-01   54.8296     
   0.30018E-01   54.8296     
   0.31019E-01   54.8296     
   0.32019E-01   54.8296     
   0.33020E-01   54.8296     
   0.34021E-01   54.8296     
   0.35021E-01   54.8296     
   0.36022E-01   54.8296     
   0.37022E-01   54.8296     
   0.38023E-01   54.8296     
   0.39024E-01   54.8296     
   0.40024E-01   54.8296     
   0.41025E-01   54.8296     
   0.42026E-01   54.8296     
   0.43026E-01   54.8296     
   0.44027E-01   54.8296     
   0.45027E-01   54.8296     
   0.46028E-01   54.8296     
   0.47029E-01   54.8296     
   0.48029E-01   54.8296     
   0.49030E-01   54.8296     
   0.50031E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:28  SEP 17, 2026 CP=  11300.728

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51031E-01   54.8296     
   0.52032E-01   54.8296     
   0.53032E-01   54.8296     
   0.54033E-01   54.8296     
   0.55034E-01   54.8296     
   0.56034E-01   54.8296     
   0.57035E-01   54.8296     
   0.58036E-01   54.8296     
   0.59036E-01   54.8296     
   0.60037E-01   54.8296     
   0.61037E-01   54.8296     
   0.62038E-01   54.8296     
   0.63039E-01   54.8296     
   0.64039E-01   54.8296     
   0.65040E-01   54.8296     
   0.66041E-01   54.8296     
   0.67041E-01   54.8296     
   0.68042E-01   54.8296     
   0.69042E-01   54.8296     
   0.70043E-01   54.8296     
   0.71044E-01   54.8296     
   0.72044E-01   54.8296     
   0.73045E-01   54.8296     
   0.74046E-01   54.8296     
   0.75046E-01   54.8296     
   0.76047E-01   54.8296     
   0.77047E-01   54.8296     
   0.78048E-01   54.8296     
   0.79049E-01   54.8296     
   0.80049E-01   54.8296     
   0.81050E-01   54.8296     
   0.82051E-01   54.8296     
   0.83051E-01   54.8296     
   0.84052E-01   54.8296     
   0.85052E-01   54.8296     
   0.86053E-01   54.8296     
   0.87054E-01   54.8296     
   0.88054E-01   54.8296     
   0.89055E-01   54.8296     
   0.90056E-01   54.8296     
   0.91056E-01   54.8296     
   0.92057E-01   54.8296     
   0.93057E-01   54.8296     
   0.94058E-01   54.8296     
   0.95059E-01   54.8296     
   0.96059E-01   54.8296     
   0.97060E-01   54.8296     
   0.98061E-01   54.8296     
   0.99061E-01   54.8296     
   0.10006       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:28  SEP 17, 2026 CP=  11300.728

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10106       54.8296     
   0.10206       54.8296     
   0.10306       54.8296     
   0.10406       54.8296     
   0.10506       54.8296     
   0.10607       54.8296     
   0.10707       54.8296     
   0.10807       54.8296     
   0.10907       54.8296     
   0.11007       54.8296     
   0.11107       54.8296     
   0.11207       54.8296     
   0.11307       54.8296     
   0.11407       54.8296     
   0.11507       54.8296     
   0.11607       54.8296     
   0.11707       54.8296     
   0.11807       54.8296     
   0.11907       54.8296     
   0.12007       54.8296     
   0.12107       54.8296     
   0.12208       54.8296     
   0.12308       54.8296     
   0.12408       54.8296     
   0.12508       54.8296     
   0.12608       54.8296     
   0.12708       54.8296     
   0.12808       54.8296     
   0.12908       54.8296     
   0.13008       54.8296     
   0.13108       54.8296     
   0.13208       54.8296     
   0.13308       54.8296     
   0.13408       54.8296     
   0.13508       54.8296     
   0.13608       54.8296     
   0.13708       54.8296     
   0.13809       54.8296     
   0.13909       54.8296     
   0.14009       54.8296     
   0.14109       54.8296     
   0.14209       54.8296     
   0.14309       54.8296     
   0.14409       54.8296     
   0.14509       54.8296     
   0.14609       54.8296     
   0.14709       54.8296     
   0.14809       54.8296     
   0.14909       54.8296     
   0.15009       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:28  SEP 17, 2026 CP=  11300.728

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.15109       54.8296     
   0.15209       54.8296     
   0.15309       54.8296     
   0.15410       54.8296     
   0.15510       54.8296     
   0.15610       54.8296     
   0.15710       54.8296     
   0.15810       54.8296     
   0.15910       54.8296     
   0.16010       54.8296     
   0.16110       54.8296     
   0.16210       54.8296     
   0.16310       54.8296     
   0.16410       54.8296     
   0.16510       54.8296     
   0.16610       54.8296     
   0.16710       54.8296     
   0.16810       54.8296     
   0.16910       54.8296     
   0.17011       54.8296     
   0.17111       54.8296     
   0.17211       54.8296     
   0.17311       54.8296     
   0.17411       54.8296     
   0.17511       54.8296     
   0.17611       54.8296     
   0.17711       54.8296     
   0.17811       54.8296     
   0.17911       54.8296     
   0.18011       54.8296     
   0.18111       54.8296     
   0.18211       54.8296     
   0.18311       54.8296     
   0.18411       54.8296     
   0.18511       54.8296     
   0.18612       54.8296     
   0.18712       54.8296     
   0.18812       54.8296     
   0.18912       54.8296     
   0.19012       54.8296     
   0.19112       54.8296     
   0.19212       54.8296     
   0.19312       54.8296     
   0.19412       54.8296     
   0.19512       54.8296     
   0.19612       54.8296     
   0.19712       54.8296     
   0.19812       54.8296     
   0.19912       54.8296     
   0.20012       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:28  SEP 17, 2026 CP=  11300.728

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.20112       54.8296     
   0.20213       54.8296     
   0.20313       54.8296     
   0.20413       54.8296     
   0.20513       54.8296     
   0.20613       54.8296     
   0.20713       54.8296     
   0.20813       54.8296     
   0.20913       54.8296     
   0.21013       54.8296     
   0.21113       54.8296     
   0.21213       54.8296     
   0.21313       54.8296     
   0.21413       54.8296     
   0.21513       54.8296     
   0.21613       54.8296     
   0.21713       54.8296     
   0.21814       54.8296     
   0.21914       54.8296     
   0.22014       54.8296     
   0.22114       54.8296     
   0.22214       54.8296     
   0.22314       54.8296     
   0.22414       54.8296     
   0.22514       54.8296     
   0.22614       54.8296     
   0.22714       54.8296     
   0.22814       54.8296     
   0.22914       54.8296     
   0.23014       54.8296     
   0.23114       54.8296     
   0.23214       54.8296     
   0.23314       54.8296     
   0.23415       54.8296     
   0.23515       54.8296     
   0.23615       54.8296     
   0.23715       54.8296     
   0.23815       54.8296     
