
 STORAGE COMPLETE FOR  15380 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  65.53       9.263     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:13  SEP 17, 2026 CP=  10892.726

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20033E-02   54.8296     
   0.30066E-02   54.8296     
   0.40100E-02   54.8296     
   0.50133E-02   54.8296     
   0.60166E-02   54.8296     
   0.70199E-02   54.8296     
   0.80233E-02   54.8296     
   0.90266E-02   54.8296     
   0.10030E-01   54.8296     
   0.11033E-01   54.8296     
   0.12037E-01   54.8296     
   0.13040E-01   54.8296     
   0.14043E-01   54.8296     
   0.15047E-01   54.8296     
   0.16050E-01   54.8296     
   0.17053E-01   54.8296     
   0.18057E-01   54.8296     
   0.19060E-01   54.8296     
   0.20063E-01   54.8296     
   0.21066E-01   54.8296     
   0.22070E-01   54.8296     
   0.23073E-01   54.8296     
   0.24076E-01   54.8296     
   0.25080E-01   54.8296     
   0.26083E-01   54.8296     
   0.27086E-01   54.8296     
   0.28090E-01   54.8296     
   0.29093E-01   54.8296     
   0.30096E-01   54.8296     
   0.31100E-01   54.8296     
   0.32103E-01   54.8296     
   0.33106E-01   54.8296     
   0.34110E-01   54.8296     
   0.35113E-01   54.8296     
   0.36116E-01   54.8296     
   0.37120E-01   54.8296     
   0.38123E-01   54.8296     
   0.39126E-01   54.8296     
   0.40130E-01   54.8296     
   0.41133E-01   54.8296     
   0.42136E-01   54.8296     
   0.43140E-01   54.8296     
   0.44143E-01   54.8296     
   0.45146E-01   54.8296     
   0.46150E-01   54.8296     
   0.47153E-01   54.8296     
   0.48156E-01   54.8296     
   0.49160E-01   54.8296     
   0.50163E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:13  SEP 17, 2026 CP=  10892.726

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51166E-01   54.8296     
   0.52170E-01   54.8296     
   0.53173E-01   54.8296     
   0.54176E-01   54.8296     
   0.55180E-01   54.8296     
   0.56183E-01   54.8296     
   0.57186E-01   54.8296     
   0.58189E-01   54.8296     
   0.59193E-01   54.8296     
   0.60196E-01   54.8296     
   0.61199E-01   54.8296     
   0.62203E-01   54.8296     
   0.63206E-01   54.8296     
   0.64209E-01   54.8296     
   0.65213E-01   54.8296     
   0.66216E-01   54.8296     
   0.67219E-01   54.8296     
   0.68223E-01   54.8296     
   0.69226E-01   54.8296     
   0.70229E-01   54.8296     
   0.71233E-01   54.8296     
   0.72236E-01   54.8296     
   0.73239E-01   54.8296     
   0.74243E-01   54.8296     
   0.75246E-01   54.8296     
   0.76249E-01   54.8296     
   0.77253E-01   54.8296     
   0.78256E-01   54.8296     
   0.79259E-01   54.8296     
   0.80263E-01   54.8296     
   0.81266E-01   54.8296     
   0.82269E-01   54.8296     
   0.83273E-01   54.8296     
   0.84276E-01   54.8296     
   0.85279E-01   54.8296     
   0.86283E-01   54.8296     
   0.87286E-01   54.8296     
   0.88289E-01   54.8296     
   0.89293E-01   54.8296     
   0.90296E-01   54.8296     
   0.91299E-01   54.8296     
   0.92303E-01   54.8296     
   0.93306E-01   54.8296     
   0.94309E-01   54.8296     
   0.95312E-01   54.8296     
   0.96316E-01   54.8296     
   0.97319E-01   54.8296     
   0.98322E-01   54.8296     
   0.99326E-01   54.8296     
   0.10033       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:13  SEP 17, 2026 CP=  10892.726

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10133       54.8296     
   0.10236       55.1227     
   0.10338       55.4978     
   0.10441       55.9001     
   0.10544       56.3109     
   0.10646       56.7207     
   0.10749       57.1241     
   0.10851       57.5177     
   0.10954       57.8999     
   0.11056       58.2694     
   0.11159       58.6258     
   0.11261       58.9691     
   0.11364       59.2994     
   0.11364       59.2994     
   0.11366       59.3051     
   0.11368       59.3106     
   0.11369       59.3159     
   0.11371       59.3208     
   0.11373       59.3254     
   0.11375       59.3296     
   0.11377       59.3335     
   0.11378       59.3372     
   0.11378       59.3372     
   0.11379       59.3377     
   0.11379       59.3377     
   0.11380       59.3402     
   0.11381       59.3425     
   0.11383       59.3447     
   0.11383       59.3451     
   0.11383       59.3451     
   0.11385       59.3479     
   0.11385       59.3482     
   0.11483       59.6140     
   0.11582       59.8949     
   0.11680       60.1713     
   0.11779       60.4397     
   0.11877       60.6991     
   0.11976       60.9495     
   0.12075       61.1907     
   0.12173       61.4230     
   0.12272       61.6465     
   0.12370       61.8616     
   0.12469       62.0684     
   0.12538       62.0355     
   0.12606       61.9378     
   0.12675       61.8118     
   0.12744       61.6700     
   0.12813       61.5188     
   0.12882       61.3621     
   0.12951       61.2028     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:13  SEP 17, 2026 CP=  10892.726

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.13019       61.0426     
   0.13116       61.0909     
   0.13212       61.2220     
   0.13309       61.3856     
   0.13405       61.5648     
   0.13502       61.7513     
   0.13598       61.9400     
   0.13695       62.1277     
   0.13791       62.3123     
   0.13888       62.4926     
   0.13984       62.6679     
   0.14004       62.6769     
   0.14024       62.6674     
   0.14043       62.6473     
   0.14063       62.6207     
   0.14083       62.5897     
   0.14102       62.5553     
   0.14122       62.5183     
   0.14142       62.4791     
   0.14246       62.5377     
   0.14349       62.6630     
   0.14453       62.8093     
   0.14557       62.9637     
   0.14660       63.1205     
   0.14764       63.2764     
   0.14868       63.4295     
   0.14971       63.5787     
   0.15075       63.7234     
   0.15179       63.8631     
   0.15282       63.9978     
   0.15386       64.1274     
   0.15490       64.2521     
   0.15590       64.0834     
   0.15690       63.8295     
   0.15790       63.5441     
   0.15890       63.2456     
   0.15991       62.9434     
   0.16091       62.6430     
   0.16191       62.3478     
   0.16291       62.0599     
   0.16392       61.7805     
   0.16492       61.5102     
   0.16592       61.2493     
   0.16692       60.9978     
   0.16793       60.7557     
   0.16893       60.5229     
   0.16993       60.2989     
   0.17093       60.0836     
   0.17193       59.8767     
   0.17294       59.6779     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     13:11:13  SEP 17, 2026 CP=  10892.727

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.17394       59.4869     
   0.17494       59.3034     
   0.17594       59.1271     
   0.17695       58.9577     
   0.17795       58.7950     
   0.17895       58.6387     
   0.17995       58.4885     
   0.18095       58.3443     
   0.18196       58.2058     
   0.18296       58.0727     
   0.18396       57.9449     
   0.18496       57.8221     
   0.18597       57.7041     
   0.18697       57.5908     
   0.18797       57.4820     
   0.18897       57.3774     
   0.18998       57.2770     
   0.19098       57.1805     
   0.19198       57.0879     
   0.19298       56.9988     
   0.19398       56.9133     
   0.19499       56.8312     
   0.19599       56.7523     
   0.19699       56.6765     
   0.19799       56.6037     
   0.19900       56.5338     
   0.20000       56.4666     
   0.20100       56.4021     
   0.20200       56.3401     
   0.20300       56.2805     
   0.20401       56.2234     
   0.20501       56.1684     
   0.20601       56.1156     
   0.20701       56.0649     
   0.20701       56.0649     
   0.20703       56.0640     
   0.20705       56.0632     
   0.20707       56.0623     
