
 STORAGE COMPLETE FOR  17450 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2907 TEMP      TEMP       57.28      0.9439E-001  68.60       5.239     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     01:20:45  SEP 20, 2026 CP=  12085.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.10000E-02   57.2758     
   0.20042E-02   57.2758     
   0.30084E-02   57.2758     
   0.40126E-02   57.2758     
   0.50169E-02   57.2758     
   0.60211E-02   57.2758     
   0.70253E-02   57.2758     
   0.80295E-02   57.2758     
   0.90337E-02   57.2758     
   0.10038E-01   57.2758     
   0.11042E-01   57.2758     
   0.12046E-01   57.2758     
   0.13051E-01   57.2758     
   0.14055E-01   57.2758     
   0.15059E-01   57.2758     
   0.16063E-01   57.2758     
   0.17067E-01   57.2758     
   0.18072E-01   57.2758     
   0.19076E-01   57.2758     
   0.20080E-01   57.2758     
   0.21084E-01   57.2758     
   0.22089E-01   57.2758     
   0.23093E-01   57.2758     
   0.24097E-01   57.2758     
   0.25101E-01   57.2758     
   0.26105E-01   57.2758     
   0.27110E-01   57.2758     
   0.28114E-01   57.2758     
   0.29118E-01   57.2758     
   0.30122E-01   57.2758     
   0.31126E-01   57.2758     
   0.32131E-01   57.2758     
   0.33135E-01   57.2758     
   0.34139E-01   57.2758     
   0.35143E-01   57.2758     
   0.36148E-01   57.2758     
   0.37152E-01   57.2758     
   0.38156E-01   57.2758     
   0.39160E-01   57.2758     
   0.40164E-01   57.2758     
   0.41169E-01   57.2758     
   0.42173E-01   57.2758     
   0.43177E-01   57.2758     
   0.44181E-01   57.2758     
   0.45186E-01   57.2758     
   0.46190E-01   57.2758     
   0.47194E-01   57.2758     
   0.48198E-01   57.2758     
   0.49202E-01   57.2758     
   0.50207E-01   57.2758     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     01:20:45  SEP 20, 2026 CP=  12085.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.51211E-01   57.2758     
   0.52215E-01   57.2758     
   0.53219E-01   57.2758     
   0.54223E-01   57.2758     
   0.55228E-01   57.2758     
   0.56232E-01   57.2758     
   0.57236E-01   57.2758     
   0.58240E-01   57.2758     
   0.59245E-01   57.2758     
   0.60249E-01   57.2758     
   0.61253E-01   57.2758     
   0.62257E-01   57.2758     
   0.63261E-01   57.2758     
   0.64266E-01   57.2758     
   0.65270E-01   57.2758     
   0.66274E-01   57.2758     
   0.67278E-01   57.2758     
   0.68282E-01   57.2758     
   0.69287E-01   57.2758     
   0.70291E-01   57.2758     
   0.71295E-01   57.2758     
   0.72299E-01   57.2758     
   0.73304E-01   57.2758     
   0.74308E-01   57.2758     
   0.75312E-01   57.2758     
   0.76316E-01   57.2758     
   0.77320E-01   57.2758     
   0.78325E-01   57.2758     
   0.79329E-01   57.2758     
   0.80333E-01   57.2758     
   0.81337E-01   57.2758     
   0.82342E-01   57.2758     
   0.83346E-01   57.2758     
   0.84350E-01   57.2758     
   0.85354E-01   57.2758     
   0.86358E-01   57.2758     
   0.87363E-01   57.2758     
   0.88367E-01   57.2758     
   0.89371E-01   57.2758     
   0.90375E-01   57.2758     
   0.91379E-01   57.2758     
   0.92384E-01   57.2758     
   0.93388E-01   57.2758     
   0.94392E-01   57.2758     
   0.95396E-01   57.2758     
   0.96401E-01   57.2758     
   0.97405E-01   57.2758     
   0.98409E-01   57.2758     
   0.99435E-01   57.5321     
   0.10046       57.8406     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     01:20:45  SEP 20, 2026 CP=  12085.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.10149       58.1578     
   0.10251       58.4736     
   0.10354       58.7847     
   0.10456       59.0899     
   0.10559       59.3884     
   0.10661       59.6802     
   0.10764       59.9651     
   0.10867       60.2434     
   0.10969       60.5151     
   0.11072       60.7805     
   0.11072       60.7805     
   0.11074       60.7851     
   0.11075       60.7895     
   0.11077       60.7936     
   0.11079       60.7974     
   0.11081       60.8009     
   0.11083       60.8040     
   0.11084       60.8068     
   0.11086       60.8094     
   0.11086       60.8094     
   0.11086       60.8097     
   0.11086       60.8098     
   0.11088       60.8114     
   0.11089       60.8129     
   0.11090       60.8144     
   0.11090       60.8145     
   0.11090       60.8145     
   0.11092       60.8164     
   0.11192       60.7891     
   0.11293       60.7290     
   0.11393       60.6594     
   0.11494       60.5867     
   0.11594       60.5138     
   0.11694       60.4418     
   0.11795       60.3715     
   0.11895       60.3031     
   0.11995       60.2368     
   0.12096       60.1724     
   0.12196       60.1101     
   0.12296       60.0497     
   0.12397       59.9911     
   0.12497       59.9342     
   0.12598       59.8788     
   0.12698       59.8250     
   0.12798       59.7726     
   0.12899       59.7216     
   0.12999       59.6718     
   0.13099       59.6232     
   0.13200       59.5757     
   0.13300       59.5293     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     01:20:45  SEP 20, 2026 CP=  12085.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.13400       59.4840     
   0.13499       59.6847     
   0.13598       59.9378     
   0.13696       60.2009     
   0.13795       60.4642     
   0.13893       60.7243     
   0.13992       60.9798     
   0.14090       61.2300     
   0.14189       61.4748     
   0.14287       61.7140     
   0.14386       61.9477     
   0.14484       62.1760     
   0.14494       62.1914     
   0.14504       62.1997     
   0.14514       62.2028     
   0.14524       62.2026     
   0.14533       62.2000     
   0.14543       62.1960     
   0.14553       62.1908     
   0.14563       62.1848     
   0.14659       62.3401     
   0.14756       62.5379     
   0.14852       62.7420     
   0.14949       62.9452     
   0.15045       63.1457     
   0.15142       63.3429     
   0.15238       63.5364     
   0.15335       63.7261     
   0.15431       63.9121     
   0.15528       64.0944     
   0.15531       64.0994     
   0.15534       64.1036     
   0.15536       64.1071     
   0.15539       64.1097     
   0.15542       64.1116     
   0.15545       64.1128     
   0.15548       64.1134     
   0.15550       64.1135     
   0.15654       64.2658     
   0.15758       64.4454     
   0.15861       64.6269     
   0.15965       64.8061     
   0.16069       64.9821     
   0.16172       65.1546     
   0.16276       65.3236     
   0.16380       65.4891     
   0.16483       65.6512     
   0.16587       65.8099     
   0.16691       65.9653     
   0.16795       66.1175     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     01:20:45  SEP 20, 2026 CP=  12085.805

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2907 TEMP    
                  TEMP    
   0.16898       66.2664     
   0.17000       66.1564     
   0.17101       65.9915     
   0.17202       65.8149     
   0.17304       65.6367     
   0.17405       65.4603     
   0.17506       65.2871     
   0.17608       65.1176     
   0.17709       64.9523     
   0.17811       64.7912     
   0.17912       64.6342     
   0.18013       64.4811     
   0.18115       64.3320     
   0.18216       64.1865     
   0.18317       64.0445     
   0.18419       63.9060     
   0.18520       63.7707     
   0.18621       63.6384     
   0.18723       63.5092     
   0.18824       63.3829     
   0.18926       63.2593     
   0.19027       63.1384     
   0.19027       63.1383     
   0.19029       63.1362     
   0.19031       63.1341     
   0.19032       63.1320     
   0.19034       63.1299     
   0.19036       63.1279     
   0.19038       63.1259     
   0.19040       63.1239     
   0.19041       63.1220     
   0.19041       63.1220     
   0.19042       63.1217     
   0.19144       63.2614     
   0.19247       63.4537     
   0.19349       63.6566     
   0.19452       63.8606     
   0.19555       64.0622     
