
 STORAGE COMPLETE FOR  17450 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  3789 TEMP      TEMP       57.56      0.9841E-001  67.57       3.917     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:21:13  SEP 19, 2026 CP=  15713.470

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       3789 TEMP    
                  TEMP    
   0.10000E-02   57.5572     
   0.20042E-02   57.5572     
   0.30084E-02   57.5572     
   0.40126E-02   57.5572     
   0.50169E-02   57.5572     
   0.60211E-02   57.5572     
   0.70253E-02   57.5572     
   0.80295E-02   57.5572     
   0.90337E-02   57.5572     
   0.10038E-01   57.5572     
   0.11042E-01   57.5572     
   0.12046E-01   57.5572     
   0.13051E-01   57.5572     
   0.14055E-01   57.5572     
   0.15059E-01   57.5572     
   0.16063E-01   57.5572     
   0.17067E-01   57.5572     
   0.18072E-01   57.5572     
   0.19076E-01   57.5572     
   0.20080E-01   57.5572     
   0.21084E-01   57.5572     
   0.22089E-01   57.5572     
   0.23093E-01   57.5572     
   0.24097E-01   57.5572     
   0.25101E-01   57.5572     
   0.26105E-01   57.5572     
   0.27110E-01   57.5572     
   0.28114E-01   57.5572     
   0.29118E-01   57.5572     
   0.30122E-01   57.5572     
   0.31126E-01   57.5572     
   0.32131E-01   57.5572     
   0.33135E-01   57.5572     
   0.34139E-01   57.5572     
   0.35143E-01   57.5572     
   0.36148E-01   57.5572     
   0.37152E-01   57.5572     
   0.38156E-01   57.5572     
   0.39160E-01   57.5572     
   0.40164E-01   57.5572     
   0.41169E-01   57.5572     
   0.42173E-01   57.5572     
   0.43177E-01   57.5572     
   0.44181E-01   57.5572     
   0.45186E-01   57.5572     
   0.46190E-01   57.5572     
   0.47194E-01   57.5572     
   0.48198E-01   57.5572     
   0.49202E-01   57.5572     
   0.50207E-01   57.5572     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:21:13  SEP 19, 2026 CP=  15713.470

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       3789 TEMP    
                  TEMP    
   0.51211E-01   57.5572     
   0.52215E-01   57.5572     
   0.53219E-01   57.5572     
   0.54223E-01   57.5572     
   0.55228E-01   57.5572     
   0.56232E-01   57.5572     
   0.57236E-01   57.5572     
   0.58240E-01   57.5572     
   0.59245E-01   57.5572     
   0.60249E-01   57.5572     
   0.61253E-01   57.5572     
   0.62257E-01   57.5572     
   0.63261E-01   57.5572     
   0.64266E-01   57.5572     
   0.65270E-01   57.5572     
   0.66274E-01   57.5572     
   0.67278E-01   57.5572     
   0.68282E-01   57.5572     
   0.69287E-01   57.5572     
   0.70291E-01   57.5572     
   0.71295E-01   57.5572     
   0.72299E-01   57.5572     
   0.73304E-01   57.5572     
   0.74308E-01   57.5572     
   0.75312E-01   57.5572     
   0.76316E-01   57.5572     
   0.77320E-01   57.5572     
   0.78325E-01   57.5572     
   0.79329E-01   57.5572     
   0.80333E-01   57.5572     
   0.81337E-01   57.5572     
   0.82342E-01   57.5572     
   0.83346E-01   57.5572     
   0.84350E-01   57.5572     
   0.85354E-01   57.5572     
   0.86358E-01   57.5572     
   0.87363E-01   57.5572     
   0.88367E-01   57.5572     
   0.89371E-01   57.5572     
   0.90375E-01   57.5572     
   0.91379E-01   57.5572     
   0.92384E-01   57.5572     
   0.93388E-01   57.5572     
   0.94392E-01   57.5572     
   0.95396E-01   57.5572     
   0.96401E-01   57.5572     
   0.97405E-01   57.5572     
   0.98409E-01   57.5572     
   0.99435E-01   57.7996     
   0.10046       58.0795     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:21:13  SEP 19, 2026 CP=  15713.470

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       3789 TEMP    
                  TEMP    
   0.10149       58.3550     
   0.10251       58.6181     
   0.10354       58.8671     
   0.10456       59.1021     
   0.10559       59.3238     
   0.10661       59.5330     
   0.10764       59.7307     
   0.10867       59.9177     
   0.10969       60.0950     
   0.11072       60.2634     
   0.11072       60.2634     
   0.11074       60.2663     
   0.11075       60.2690     
   0.11077       60.2714     
   0.11079       60.2734     
   0.11081       60.2752     
   0.11083       60.2766     
   0.11084       60.2777     
   0.11086       60.2786     
   0.11086       60.2786     
   0.11086       60.2787     
   0.11086       60.2787     
   0.11088       60.2791     
   0.11089       60.2795     
   0.11090       60.2797     
   0.11090       60.2797     
   0.11090       60.2797     
   0.11092       60.2799     
   0.11192       60.1711     
   0.11293       60.0421     
   0.11393       59.9147     
   0.11494       59.7941     
   0.11594       59.6817     
   0.11694       59.5778     
   0.11795       59.4820     
   0.11895       59.3939     
   0.11995       59.3130     
   0.12096       59.2386     
   0.12196       59.1703     
   0.12296       59.1076     
   0.12397       59.0498     
   0.12497       58.9967     
   0.12598       58.9477     
   0.12698       58.9026     
   0.12798       58.8609     
   0.12899       58.8223     
   0.12999       58.7866     
   0.13099       58.7535     
   0.13200       58.7228     
   0.13300       58.6943     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:21:13  SEP 19, 2026 CP=  15713.470

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       3789 TEMP    
                  TEMP    
   0.13400       58.6677     
   0.13499       58.8748     
   0.13598       59.1213     
   0.13696       59.3662     
   0.13795       59.6012     
   0.13893       59.8244     
   0.13992       60.0356     
   0.14090       60.2355     
   0.14189       60.4245     
   0.14287       60.6034     
   0.14386       60.7730     
   0.14484       60.9340     
   0.14494       60.9428     
   0.14504       60.9444     
   0.14514       60.9410     
   0.14524       60.9343     
   0.14533       60.9254     
   0.14543       60.9152     
   0.14553       60.9039     
   0.14563       60.8920     
   0.14659       60.9882     
   0.14756       61.1241     
   0.14852       61.2635     
   0.14949       61.3997     
   0.15045       61.5313     
   0.15142       61.6579     
   0.15238       61.7797     
   0.15335       61.8970     
   0.15431       62.0099     
   0.15528       62.1189     
   0.15531       62.1217     
   0.15534       62.1238     
   0.15536       62.1252     
   0.15539       62.1257     
   0.15542       62.1254     
   0.15545       62.1245     
   0.15548       62.1230     
   0.15550       62.1210     
   0.15654       62.1979     
   0.15758       62.3021     
   0.15861       62.4083     
   0.15965       62.5124     
   0.16069       62.6136     
   0.16172       62.7119     
   0.16276       62.8075     
   0.16380       62.9004     
   0.16483       62.9910     
   0.16587       63.0792     
   0.16691       63.1654     
   0.16795       63.2495     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     19:21:13  SEP 19, 2026 CP=  15713.470

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       3789 TEMP    
                  TEMP    
   0.16898       63.3318     
   0.17000       63.1715     
   0.17101       62.9721     
   0.17202       62.7752     
   0.17304       62.5891     
   0.17405       62.4155     
   0.17506       62.2544     
   0.17608       62.1053     
   0.17709       61.9673     
   0.17811       61.8398     
   0.17912       61.7217     
   0.18013       61.6125     
   0.18115       61.5112     
   0.18216       61.4171     
   0.18317       61.3298     
   0.18419       61.2485     
   0.18520       61.1727     
   0.18621       61.1019     
   0.18723       61.0358     
   0.18824       60.9738     
   0.18926       60.9157     
   0.19027       60.8610     
   0.19027       60.8610     
   0.19029       60.8601     
   0.19031       60.8591     
   0.19032       60.8582     
   0.19034       60.8573     
   0.19036       60.8565     
   0.19038       60.8557     
   0.19040       60.8549     
   0.19041       60.8541     
   0.19041       60.8541     
   0.19042       60.8540     
   0.19144       61.0474     
   0.19247       61.2790     
   0.19349       61.5086     
   0.19452       61.7281     
   0.19555       61.9358     
