
 STORAGE COMPLETE FOR  17450 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  65.11       5.239     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:07:26  SEP 17, 2026 CP=   9794.078

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.20042E-02   54.8296     
   0.30084E-02   54.8296     
   0.40126E-02   54.8296     
   0.50169E-02   54.8296     
   0.60211E-02   54.8296     
   0.70253E-02   54.8296     
   0.80295E-02   54.8296     
   0.90337E-02   54.8296     
   0.10038E-01   54.8296     
   0.11042E-01   54.8296     
   0.12046E-01   54.8296     
   0.13051E-01   54.8296     
   0.14055E-01   54.8296     
   0.15059E-01   54.8296     
   0.16063E-01   54.8296     
   0.17067E-01   54.8296     
   0.18072E-01   54.8296     
   0.19076E-01   54.8296     
   0.20080E-01   54.8296     
   0.21084E-01   54.8296     
   0.22089E-01   54.8296     
   0.23093E-01   54.8296     
   0.24097E-01   54.8296     
   0.25101E-01   54.8296     
   0.26105E-01   54.8296     
   0.27110E-01   54.8296     
   0.28114E-01   54.8296     
   0.29118E-01   54.8296     
   0.30122E-01   54.8296     
   0.31126E-01   54.8296     
   0.32131E-01   54.8296     
   0.33135E-01   54.8296     
   0.34139E-01   54.8296     
   0.35143E-01   54.8296     
   0.36148E-01   54.8296     
   0.37152E-01   54.8296     
   0.38156E-01   54.8296     
   0.39160E-01   54.8296     
   0.40164E-01   54.8296     
   0.41169E-01   54.8296     
   0.42173E-01   54.8296     
   0.43177E-01   54.8296     
   0.44181E-01   54.8296     
   0.45186E-01   54.8296     
   0.46190E-01   54.8296     
   0.47194E-01   54.8296     
   0.48198E-01   54.8296     
   0.49202E-01   54.8296     
   0.50207E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:07:26  SEP 17, 2026 CP=   9794.078

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.51211E-01   54.8296     
   0.52215E-01   54.8296     
   0.53219E-01   54.8296     
   0.54223E-01   54.8296     
   0.55228E-01   54.8296     
   0.56232E-01   54.8296     
   0.57236E-01   54.8296     
   0.58240E-01   54.8296     
   0.59245E-01   54.8296     
   0.60249E-01   54.8296     
   0.61253E-01   54.8296     
   0.62257E-01   54.8296     
   0.63261E-01   54.8296     
   0.64266E-01   54.8296     
   0.65270E-01   54.8296     
   0.66274E-01   54.8296     
   0.67278E-01   54.8296     
   0.68282E-01   54.8296     
   0.69287E-01   54.8296     
   0.70291E-01   54.8296     
   0.71295E-01   54.8296     
   0.72299E-01   54.8296     
   0.73304E-01   54.8296     
   0.74308E-01   54.8296     
   0.75312E-01   54.8296     
   0.76316E-01   54.8296     
   0.77320E-01   54.8296     
   0.78325E-01   54.8296     
   0.79329E-01   54.8296     
   0.80333E-01   54.8296     
   0.81337E-01   54.8296     
   0.82342E-01   54.8296     
   0.83346E-01   54.8296     
   0.84350E-01   54.8296     
   0.85354E-01   54.8296     
   0.86358E-01   54.8296     
   0.87363E-01   54.8296     
   0.88367E-01   54.8296     
   0.89371E-01   54.8296     
   0.90375E-01   54.8296     
   0.91379E-01   54.8296     
   0.92384E-01   54.8296     
   0.93388E-01   54.8296     
   0.94392E-01   54.8296     
   0.95396E-01   54.8296     
   0.96401E-01   54.8296     
   0.97405E-01   54.8296     
   0.98409E-01   54.8296     
   0.99435E-01   55.1227     
   0.10046       55.4978     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:07:26  SEP 17, 2026 CP=   9794.078

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10149       55.9001     
   0.10251       56.3109     
   0.10354       56.7207     
   0.10456       57.1241     
   0.10559       57.5177     
   0.10661       57.8999     
   0.10764       58.2694     
   0.10867       58.6258     
   0.10969       58.9691     
   0.11072       59.2994     
   0.11072       59.2994     
   0.11074       59.3051     
   0.11075       59.3106     
   0.11077       59.3159     
   0.11079       59.3208     
   0.11081       59.3254     
   0.11083       59.3296     
   0.11084       59.3335     
   0.11086       59.3372     
   0.11086       59.3372     
   0.11086       59.3377     
   0.11086       59.3377     
   0.11088       59.3402     
   0.11089       59.3425     
   0.11090       59.3447     
   0.11090       59.3449     
   0.11090       59.3449     
   0.11092       59.3477     
   0.11192       59.3342     
   0.11293       59.2544     
   0.11393       59.1424     
   0.11494       59.0131     
   0.11594       58.8749     
   0.11694       58.7329     
   0.11795       58.5905     
   0.11895       58.4498     
   0.11995       58.3120     
   0.12096       58.1779     
   0.12196       58.0479     
   0.12296       57.9224     
   0.12397       57.8012     
   0.12497       57.6846     
   0.12598       57.5723     
   0.12698       57.4644     
   0.12798       57.3605     
   0.12899       57.2608     
   0.12999       57.1649     
   0.13099       57.0728     
   0.13200       56.9843     
   0.13300       56.8993     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:07:26  SEP 17, 2026 CP=   9794.079

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.13400       56.8176     
   0.13499       57.0190     
   0.13598       57.3031     
   0.13696       57.6174     
   0.13795       57.9437     
   0.13893       58.2727     
   0.13992       58.5991     
   0.14090       58.9196     
   0.14189       59.2320     
   0.14287       59.5353     
   0.14386       59.8287     
   0.14484       60.1121     
   0.14494       60.1328     
   0.14504       60.1460     
   0.14514       60.1536     
   0.14524       60.1574     
   0.14533       60.1584     
   0.14543       60.1574     
   0.14553       60.1547     
   0.14563       60.1507     
   0.14659       60.3240     
   0.14756       60.5437     
   0.14852       60.7726     
   0.14949       61.0015     
   0.15045       61.2270     
   0.15142       61.4473     
   0.15238       61.6615     
   0.15335       61.8690     
   0.15431       62.0697     
   0.15528       62.2634     
   0.15531       62.2687     
   0.15534       62.2732     
   0.15536       62.2770     
   0.15539       62.2799     
   0.15542       62.2820     
   0.15545       62.2835     
   0.15548       62.2843     
   0.15550       62.2846     
   0.15654       62.4359     
   0.15758       62.6132     
   0.15861       62.7914     
   0.15965       62.9658     
   0.16069       63.1349     
   0.16172       63.2983     
   0.16276       63.4558     
   0.16380       63.6074     
   0.16483       63.7531     
   0.16587       63.8931     
   0.16691       64.0275     
   0.16795       64.1566     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:07:26  SEP 17, 2026 CP=   9794.079

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.16898       64.2804     
   0.17000       64.1080     
   0.17101       63.8496     
   0.17202       63.5595     
   0.17304       63.2565     
   0.17405       62.9500     
   0.17506       62.6456     
   0.17608       62.3468     
   0.17709       62.0555     
   0.17811       61.7730     
   0.17912       61.4999     
   0.18013       61.2365     
   0.18115       60.9827     
   0.18216       60.7385     
   0.18317       60.5037     
   0.18419       60.2781     
   0.18520       60.0612     
   0.18621       59.8529     
   0.18723       59.6529     
   0.18824       59.4608     
   0.18926       59.2763     
   0.19027       59.0991     
   0.19027       59.0991     
   0.19029       59.0959     
   0.19031       59.0928     
   0.19032       59.0897     
   0.19034       59.0867     
   0.19036       59.0837     
   0.19038       59.0807     
   0.19040       59.0777     
   0.19041       59.0748     
   0.19041       59.0748     
   0.19042       59.0744     
   0.19144       59.1997     
   0.19247       59.4115     
   0.19349       59.6567     
   0.19452       59.9163     
   0.19555       60.1810     
