
 STORAGE COMPLETE FOR  23000 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  65.18       12.42     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:25:06  SEP 17, 2026 CP=  16761.305

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19962E-02   54.8296     
   0.29923E-02   54.8296     
   0.39885E-02   54.8296     
   0.49847E-02   54.8296     
   0.59809E-02   54.8296     
   0.69770E-02   54.8296     
   0.79732E-02   54.8296     
   0.89694E-02   54.8296     
   0.99656E-02   54.8296     
   0.10962E-01   54.8296     
   0.11958E-01   54.8296     
   0.12954E-01   54.8296     
   0.13950E-01   54.8296     
   0.14946E-01   54.8296     
   0.15943E-01   54.8296     
   0.16939E-01   54.8296     
   0.17935E-01   54.8296     
   0.18931E-01   54.8296     
   0.19927E-01   54.8296     
   0.20923E-01   54.8296     
   0.21920E-01   54.8296     
   0.22916E-01   54.8296     
   0.23912E-01   54.8296     
   0.24908E-01   54.8296     
   0.25904E-01   54.8296     
   0.26901E-01   54.8296     
   0.27897E-01   54.8296     
   0.28893E-01   54.8296     
   0.29889E-01   54.8296     
   0.30885E-01   54.8296     
   0.31881E-01   54.8296     
   0.32878E-01   54.8296     
   0.33874E-01   54.8296     
   0.34870E-01   54.8296     
   0.35866E-01   54.8296     
   0.36862E-01   54.8296     
   0.37858E-01   54.8296     
   0.38855E-01   54.8296     
   0.39851E-01   54.8296     
   0.40847E-01   54.8296     
   0.41843E-01   54.8296     
   0.42839E-01   54.8296     
   0.43835E-01   54.8296     
   0.44832E-01   54.8296     
   0.45828E-01   54.8296     
   0.46824E-01   54.8296     
   0.47820E-01   54.8296     
   0.48816E-01   54.8296     
   0.49813E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:25:06  SEP 17, 2026 CP=  16761.305

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50809E-01   54.8296     
   0.51805E-01   54.8296     
   0.52801E-01   54.8296     
   0.53797E-01   54.8296     
   0.54793E-01   54.8296     
   0.55790E-01   54.8296     
   0.56786E-01   54.8296     
   0.57782E-01   54.8296     
   0.58778E-01   54.8296     
   0.59774E-01   54.8296     
   0.60770E-01   54.8296     
   0.61767E-01   54.8296     
   0.62763E-01   54.8296     
   0.63759E-01   54.8296     
   0.64755E-01   54.8296     
   0.65751E-01   54.8296     
   0.66747E-01   54.8296     
   0.67744E-01   54.8296     
   0.68740E-01   54.8296     
   0.69736E-01   54.8296     
   0.70732E-01   54.8296     
   0.71728E-01   54.8296     
   0.72725E-01   54.8296     
   0.73721E-01   54.8296     
   0.74717E-01   54.8296     
   0.75713E-01   54.8296     
   0.76709E-01   54.8296     
   0.77705E-01   54.8296     
   0.78702E-01   54.8296     
   0.79698E-01   54.8296     
   0.80694E-01   54.8296     
   0.81690E-01   54.8296     
   0.82686E-01   54.8296     
   0.83682E-01   54.8296     
   0.84679E-01   54.8296     
   0.85675E-01   54.8296     
   0.86671E-01   54.8296     
   0.87667E-01   54.8296     
   0.88663E-01   54.8296     
   0.89659E-01   54.8296     
   0.90656E-01   54.8296     
   0.91652E-01   54.8296     
   0.92648E-01   54.8296     
   0.93644E-01   54.8296     
   0.94640E-01   54.8296     
   0.95666E-01   55.1227     
   0.96692E-01   55.4978     
   0.97717E-01   55.9001     
   0.98743E-01   56.3109     
   0.99769E-01   56.7207     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:25:06  SEP 17, 2026 CP=  16761.305

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10079       57.1241     
   0.10182       57.5177     
   0.10285       57.8999     
   0.10387       58.2694     
   0.10490       58.6258     
   0.10592       58.9691     
   0.10695       59.2994     
   0.10695       59.2994     
   0.10697       59.3051     
   0.10698       59.3106     
   0.10700       59.3159     
   0.10702       59.3208     
   0.10704       59.3254     
   0.10706       59.3296     
   0.10707       59.3335     
   0.10709       59.3372     
   0.10709       59.3372     
   0.10710       59.3377     
   0.10710       59.3377     
   0.10711       59.3402     
   0.10712       59.3425     
   0.10713       59.3447     
   0.10714       59.3451     
   0.10714       59.3451     
   0.10715       59.3479     
   0.10814       59.3351     
   0.10914       59.2571     
   0.11013       59.1471     
   0.11112       59.0199     
   0.11211       58.8836     
   0.11310       58.7434     
   0.11409       58.6027     
   0.11508       58.4634     
   0.11607       58.3269     
   0.11706       58.1940     
   0.11806       58.0651     
   0.11905       57.9404     
   0.12004       57.8201     
   0.12103       57.7042     
   0.12202       57.5925     
   0.12301       57.4851     
   0.12400       57.3817     
   0.12499       57.5614     
   0.12597       57.8246     
   0.12696       58.1188     
   0.12794       58.4257     
   0.12893       58.7361     
   0.12992       59.0446     
   0.13090       59.3479     
   0.13189       59.6438     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:25:06  SEP 17, 2026 CP=  16761.305

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.13287       59.9311     
   0.13386       60.2092     
   0.13484       60.4779     
   0.13553       60.4873     
   0.13622       60.4312     
   0.13691       60.3457     
   0.13760       60.2436     
   0.13828       60.1312     
   0.13897       60.0123     
   0.13966       59.8897     
   0.14035       59.7654     
   0.14131       59.8622     
   0.14228       60.0398     
   0.14324       60.2483     
   0.14421       60.4708     
   0.14517       60.6988     
   0.14614       60.9275     
   0.14710       61.1536     
   0.14807       61.3752     
   0.14904       61.5912     
   0.15000       61.8007     
   0.15020       61.8167     
   0.15039       61.8141     
   0.15059       61.8008     
   0.15079       61.7810     
   0.15098       61.7566     
   0.15118       61.7289     
   0.15138       61.6985     
   0.15157       61.6658     
   0.15261       61.7573     
   0.15364       61.9141     
   0.15468       62.0906     
   0.15571       62.2740     
   0.15675       62.4585     
   0.15779       62.6411     
   0.15882       62.8198     
   0.15986       62.9936     
   0.16089       63.1618     
   0.16193       63.3242     
   0.16296       63.4806     
   0.16400       63.6311     
   0.16503       63.7757     
   0.16603       63.6258     
   0.16704       63.3901     
   0.16804       63.1220     
   0.16904       62.8402     
   0.17004       62.5540     
   0.17104       62.2690     
   0.17205       61.9886     
   0.17305       61.7149     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:25:06  SEP 17, 2026 CP=  16761.305

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.17405       61.4491     
   0.17505       61.1919     
   0.17606       60.9435     
   0.17706       60.7042     
   0.17806       60.4737     
   0.17906       60.2519     
   0.18006       60.0387     
   0.18107       59.8337     
   0.18207       59.6367     
   0.18307       59.4473     
   0.18407       59.2654     
   0.18507       59.0907     
   0.18608       58.9228     
   0.18708       58.7615     
   0.18708       58.7614     
   0.18710       58.7585     
   0.18712       58.7557     
   0.18713       58.7528     
   0.18715       58.7500     
   0.18717       58.7473     
   0.18719       58.7445     
   0.18721       58.7418     
   0.18722       58.7391     
   0.18722       58.7391     
   0.18723       58.7387     
   0.18823       58.5881     
   0.18923       58.4412     
   0.19023       58.2995     
   0.19123       58.1632     
   0.19223       58.0322     
   0.19323       57.9063     
   0.19423       57.7852     
   0.19523       57.6689     
   0.19623       57.5572     
   0.19724       57.4499     
   0.19824       57.3467     
   0.19924       57.2476     
