
 STORAGE COMPLETE FOR  22930 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.4099E-001  66.67       1.227     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:26:07  SEP 17, 2026 CP=  17092.229

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19998E-02   54.8296     
   0.29995E-02   54.8296     
   0.39993E-02   54.8296     
   0.49990E-02   54.8296     
   0.59988E-02   54.8296     
   0.69985E-02   54.8296     
   0.79983E-02   54.8296     
   0.89980E-02   54.8296     
   0.99978E-02   54.8296     
   0.10998E-01   54.8296     
   0.11997E-01   54.8296     
   0.12997E-01   54.8296     
   0.13997E-01   54.8296     
   0.14997E-01   54.8296     
   0.15996E-01   54.8296     
   0.16996E-01   54.8296     
   0.17996E-01   54.8296     
   0.18996E-01   54.8296     
   0.19995E-01   54.8296     
   0.20995E-01   54.8296     
   0.21995E-01   54.8296     
   0.22995E-01   54.8296     
   0.23994E-01   54.8296     
   0.24994E-01   54.8296     
   0.25994E-01   54.8296     
   0.26994E-01   54.8296     
   0.27993E-01   54.8296     
   0.28993E-01   54.8296     
   0.29993E-01   54.8296     
   0.30993E-01   54.8296     
   0.31992E-01   54.8296     
   0.32992E-01   54.8296     
   0.33992E-01   54.8296     
   0.34992E-01   54.8296     
   0.35991E-01   54.8296     
   0.36991E-01   54.8296     
   0.37991E-01   54.8296     
   0.38991E-01   54.8296     
   0.39990E-01   54.8296     
   0.40990E-01   54.8296     
   0.41990E-01   54.8296     
   0.42990E-01   54.8296     
   0.43989E-01   54.8296     
   0.44989E-01   54.8296     
   0.45989E-01   54.8296     
   0.46989E-01   54.8296     
   0.47988E-01   54.8296     
   0.48988E-01   54.8296     
   0.49988E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:26:07  SEP 17, 2026 CP=  17092.230

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50988E-01   54.8296     
   0.51987E-01   54.8296     
   0.52987E-01   54.8296     
   0.53987E-01   54.8296     
   0.54987E-01   54.8296     
   0.55986E-01   54.8296     
   0.56986E-01   54.8296     
   0.57986E-01   54.8296     
   0.58986E-01   54.8296     
   0.59985E-01   54.8296     
   0.60985E-01   54.8296     
   0.61985E-01   54.8296     
   0.62985E-01   54.8296     
   0.63984E-01   54.8296     
   0.64984E-01   54.8296     
   0.65984E-01   54.8296     
   0.66984E-01   54.8296     
   0.67983E-01   54.8296     
   0.68983E-01   54.8296     
   0.69983E-01   54.8296     
   0.70983E-01   54.8296     
   0.71982E-01   54.8296     
   0.72982E-01   54.8296     
   0.73982E-01   54.8296     
   0.74982E-01   54.8296     
   0.75982E-01   54.8296     
   0.76981E-01   54.8296     
   0.77981E-01   54.8296     
   0.78981E-01   54.8296     
   0.79981E-01   54.8296     
   0.80980E-01   54.8296     
   0.81980E-01   54.8296     
   0.82980E-01   54.8296     
   0.83980E-01   54.8296     
   0.84979E-01   54.8296     
   0.85979E-01   54.8296     
   0.86979E-01   54.8296     
   0.87979E-01   54.8296     
   0.88978E-01   54.8296     
   0.89978E-01   54.8296     
   0.90978E-01   54.8296     
   0.91978E-01   54.8296     
   0.92977E-01   54.8296     
   0.93977E-01   54.8296     
   0.94977E-01   54.8296     
   0.95977E-01   54.8296     
   0.96976E-01   54.8296     
   0.97976E-01   54.8296     
   0.98976E-01   54.8296     
   0.99976E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:26:07  SEP 17, 2026 CP=  17092.230

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10098       54.8296     
   0.10198       54.8296     
   0.10297       54.8296     
   0.10397       54.8296     
   0.10497       54.8296     
   0.10597       54.8296     
   0.10697       54.8296     
   0.10797       54.8296     
   0.10897       54.8296     
   0.10997       54.8296     
   0.11097       54.8296     
   0.11197       54.8296     
   0.11297       54.8296     
   0.11397       54.8296     
   0.11497       54.8296     
   0.11597       54.8296     
   0.11697       54.8296     
   0.11797       54.8296     
   0.11897       54.8296     
   0.11997       54.8296     
   0.12097       54.8296     
   0.12197       54.8296     
   0.12297       54.8296     
   0.12397       54.8296     
   0.12497       54.8296     
   0.12597       54.8296     
   0.12697       54.8296     
   0.12797       54.8296     
   0.12897       54.8296     
   0.12997       54.8296     
   0.13097       54.8296     
   0.13197       54.8296     
   0.13297       54.8296     
   0.13397       54.8296     
   0.13497       54.8296     
   0.13597       54.8296     
   0.13697       54.8296     
   0.13797       54.8296     
   0.13897       54.8296     
   0.13997       54.8296     
   0.14097       54.8296     
   0.14197       54.8296     
   0.14296       54.8296     
   0.14396       54.8296     
   0.14496       54.8296     
   0.14596       54.8296     
   0.14696       54.8296     
   0.14796       54.8296     
   0.14896       54.8296     
   0.14996       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:26:07  SEP 17, 2026 CP=  17092.230

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.15096       54.8296     
   0.15196       54.8296     
   0.15296       54.8296     
   0.15396       54.8296     
   0.15496       54.8296     
   0.15596       54.8296     
   0.15696       54.8296     
   0.15796       54.8296     
   0.15896       54.8296     
   0.15996       54.8296     
   0.16096       54.8296     
   0.16196       54.8296     
   0.16296       54.8296     
   0.16396       54.8296     
   0.16496       54.8296     
   0.16596       54.8296     
   0.16696       54.8296     
   0.16796       54.8296     
   0.16896       54.8296     
   0.16996       54.8296     
   0.17096       54.8296     
   0.17196       54.8296     
   0.17296       54.8296     
   0.17396       54.8296     
   0.17496       54.8296     
   0.17596       54.8296     
   0.17696       54.8296     
   0.17796       54.8296     
   0.17896       54.8296     
   0.17996       54.8296     
   0.18096       54.8296     
   0.18196       54.8296     
   0.18296       54.8296     
   0.18395       54.8296     
   0.18495       54.8296     
   0.18595       54.8296     
   0.18695       54.8296     
   0.18795       54.8296     
   0.18895       54.8296     
   0.18995       54.8296     
   0.19095       54.8296     
   0.19195       54.8296     
   0.19295       54.8296     
   0.19395       54.8296     
   0.19495       54.8296     
   0.19595       54.8296     
   0.19695       54.8296     
   0.19795       54.8296     
   0.19895       54.8296     
   0.19995       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     14:26:07  SEP 17, 2026 CP=  17092.230

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.20095       54.8296     
   0.20195       54.8296     
   0.20295       54.8296     
   0.20395       54.8296     
   0.20495       54.8296     
   0.20595       54.8296     
   0.20695       54.8296     
   0.20795       54.8296     
   0.20895       54.8296     
   0.20995       54.8296     
   0.21095       54.8296     
   0.21195       54.8296     
   0.21295       54.8296     
   0.21395       54.8296     
   0.21495       54.8296     
   0.21595       54.8296     
   0.21695       54.8296     
   0.21795       54.8296     
   0.21895       54.8296     
   0.21995       54.8296     
   0.22095       54.8296     
   0.22195       54.8296     
   0.22295       54.8296     
   0.22395       54.8296     
   0.22494       54.8296     
   0.22594       54.8296     
   0.22694       54.8296     
   0.22794       54.8296     
   0.22894       54.8296     
   0.22994       54.8296     
   0.23094       54.8296     
   0.23194       54.8296     
   0.23294       54.8296     
   0.23394       54.8296     
   0.23494       54.8296     
   0.23594       54.8296     
   0.23694       54.8296     
