iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853616,1,0,GROUP_BY forward all2all,0.246131320,0.246131320,0.336009674
1,23375228853136,1,0,GROUP_BY forward all2all,0.343662023,0.343662023,0.360656651
1,23375228846896,1,0,AGGREGATE forward all2all,0.393092158,0.393092158,0.416004234
1,23375228846416,1,0,AGGREGATE forward all2all,0.417739136,0.417739136,0.439063886
1,23375228857456,1,1,GROUP_BY forward all2all,0.498621736,0.498621736,0.520258961
1,23375228856976,1,1,GROUP_BY forward all2all,0.515562200,0.515562200,0.538003997
1,23375228856496,1,1,AGGREGATE forward all2all,0.577341445,0.577341445,0.600008330
1,23375228856016,1,1,AGGREGATE forward all2all,0.595086481,0.595086481,0.617581386
1,23375228862256,1,2,GROUP_BY forward all2all,0.656803878,0.656803878,0.680004772
1,23375228861776,1,2,GROUP_BY forward all2all,0.663548233,0.663548233,0.686005563
1,23375228863216,1,2,AGGREGATE forward all2all,0.737087256,0.737087256,0.760006809
1,23375228862736,1,2,AGGREGATE forward all2all,0.743088047,0.743088047,0.767005947
1,23375228869936,1,3,GROUP_BY forward all2all,0.805547920,0.805547920,0.829009166
1,23375228869456,1,3,GROUP_BY forward all2all,0.805550031,0.805550031,0.829005088
1,23375228870416,1,3,AGGREGATE forward all2all,0.886087573,0.886087573,0.908842345
1,23375228870896,1,3,AGGREGATE forward all2all,0.886091651,0.886091651,0.908058130
1,23375228846656,1,0,AGGREGATE backward all2all,1.074004681,1.074004681,1.096270124
1,23375228847136,1,0,AGGREGATE backward all2all,1.075037062,1.075037062,1.100001977
1,23375228853376,1,0,GROUP_BY backward all2all,1.158861210,1.158861210,1.180070256
1,23375228853856,1,0,GROUP_BY backward all2all,1.162587587,1.162587587,1.186002244
1,23375228856736,1,1,AGGREGATE backward all2all,1.238002582,1.238002582,1.255653382
1,23375228856256,1,1,AGGREGATE backward all2all,1.297276646,1.297276646,1.314654724
1,23375228857696,1,1,GROUP_BY backward all2all,1.318238993,1.318238993,1.340271013
1,23375228857216,1,1,GROUP_BY backward all2all,1.377240334,1.377240334,1.401063995
1,23375228863456,1,2,AGGREGATE backward all2all,1.425004457,1.425004457,1.447011912
1,23375228862976,1,2,AGGREGATE backward all2all,1.508197426,1.508197426,1.525654328
1,23375228862496,1,2,GROUP_BY backward all2all,1.509597523,1.509597523,1.531389827
1,23375228862016,1,2,GROUP_BY backward all2all,1.588239938,1.588239938,1.610070342
1,23375228871136,1,3,AGGREGATE backward all2all,1.661006903,1.661006903,1.681296637
1,23375228870656,1,3,AGGREGATE backward all2all,1.680008315,1.680008315,1.702231624
1,23375228870176,1,3,GROUP_BY backward all2all,1.743882247,1.743882247,1.768004857
1,23375228869696,1,3,GROUP_BY backward all2all,1.764817235,1.764817235,1.787005663
2,23375228853616,1,0,GROUP_BY forward all2all,2.339196087,2.339196087,2.429074440
2,23375228853136,1,0,GROUP_BY forward all2all,2.436726790,2.436726790,2.453721418
2,23375228846896,1,0,AGGREGATE forward all2all,2.486156925,2.486156925,2.509069001
2,23375228846416,1,0,AGGREGATE forward all2all,2.510803903,2.510803903,2.532128653
2,23375228857456,1,1,GROUP_BY forward all2all,2.591686503,2.591686503,2.613323728
2,23375228856976,1,1,GROUP_BY forward all2all,2.608626967,2.608626967,2.631068763
2,23375228856496,1,1,AGGREGATE forward all2all,2.670406212,2.670406212,2.693073097
2,23375228856016,1,1,AGGREGATE forward all2all,2.688151248,2.688151248,2.710646153
2,23375228862256,1,2,GROUP_BY forward all2all,2.749868645,2.749868645,2.773069539
2,23375228861776,1,2,GROUP_BY forward all2all,2.756612999,2.756612999,2.779070330
2,23375228863216,1,2,AGGREGATE forward all2all,2.830152023,2.830152023,2.853071575
2,23375228862736,1,2,AGGREGATE forward all2all,2.836152814,2.836152814,2.860070714
2,23375228869936,1,3,GROUP_BY forward all2all,2.898612687,2.898612687,2.922073933
2,23375228869456,1,3,GROUP_BY forward all2all,2.898614798,2.898614798,2.922069855
2,23375228870416,1,3,AGGREGATE forward all2all,2.979152340,2.979152340,3.001907112
2,23375228870896,1,3,AGGREGATE forward all2all,2.979156418,2.979156418,3.001122897
2,23375228846656,1,0,AGGREGATE backward all2all,3.167069448,3.167069448,3.189334891
2,23375228847136,1,0,AGGREGATE backward all2all,3.168101829,3.168101829,3.193066744
2,23375228853376,1,0,GROUP_BY backward all2all,3.251925977,3.251925977,3.273135023
2,23375228853856,1,0,GROUP_BY backward all2all,3.255652354,3.255652354,3.279067011
2,23375228856736,1,1,AGGREGATE backward all2all,3.331067349,3.331067349,3.348718149
2,23375228856256,1,1,AGGREGATE backward all2all,3.390341413,3.390341413,3.407719491
2,23375228857696,1,1,GROUP_BY backward all2all,3.411303760,3.411303760,3.433335780
2,23375228857216,1,1,GROUP_BY backward all2all,3.470305101,3.470305101,3.494128762
2,23375228863456,1,2,AGGREGATE backward all2all,3.518069223,3.518069223,3.540076679
2,23375228862976,1,2,AGGREGATE backward all2all,3.601262193,3.601262193,3.618719095
2,23375228862496,1,2,GROUP_BY backward all2all,3.602662290,3.602662290,3.624454594
2,23375228862016,1,2,GROUP_BY backward all2all,3.681304705,3.681304705,3.703135109
2,23375228871136,1,3,AGGREGATE backward all2all,3.754071670,3.754071670,3.774361404
2,23375228870656,1,3,AGGREGATE backward all2all,3.773073082,3.773073082,3.795296391
2,23375228870176,1,3,GROUP_BY backward all2all,3.836947014,3.836947014,3.861069624
2,23375228869696,1,3,GROUP_BY backward all2all,3.857882002,3.857882002,3.880070429
3,23375228853616,1,0,GROUP_BY forward all2all,4.432260854,4.432260854,4.522139207
3,23375228853136,1,0,GROUP_BY forward all2all,4.529791557,4.529791557,4.546786185
3,23375228846896,1,0,AGGREGATE forward all2all,4.579221692,4.579221692,4.602133767
3,23375228846416,1,0,AGGREGATE forward all2all,4.603868669,4.603868669,4.625193419
3,23375228857456,1,1,GROUP_BY forward all2all,4.684751270,4.684751270,4.706388494
3,23375228856976,1,1,GROUP_BY forward all2all,4.701691734,4.701691734,4.724133530
3,23375228856496,1,1,AGGREGATE forward all2all,4.763470979,4.763470979,4.786137864
3,23375228856016,1,1,AGGREGATE forward all2all,4.781216015,4.781216015,4.803710920
3,23375228862256,1,2,GROUP_BY forward all2all,4.842933412,4.842933412,4.866134306
3,23375228861776,1,2,GROUP_BY forward all2all,4.849677766,4.849677766,4.872135096
3,23375228863216,1,2,AGGREGATE forward all2all,4.923216790,4.923216790,4.946136342
3,23375228862736,1,2,AGGREGATE forward all2all,4.929217581,4.929217581,4.953135481
3,23375228869936,1,3,GROUP_BY forward all2all,4.991677454,4.991677454,5.015138700
3,23375228869456,1,3,GROUP_BY forward all2all,4.991679565,4.991679565,5.015134622
3,23375228870416,1,3,AGGREGATE forward all2all,5.072217107,5.072217107,5.094971879
3,23375228870896,1,3,AGGREGATE forward all2all,5.072221184,5.072221184,5.094187664
3,23375228846656,1,0,AGGREGATE backward all2all,5.260134215,5.260134215,5.282399658
3,23375228847136,1,0,AGGREGATE backward all2all,5.261166596,5.261166596,5.286131511
3,23375228853376,1,0,GROUP_BY backward all2all,5.344990744,5.344990744,5.366199789
3,23375228853856,1,0,GROUP_BY backward all2all,5.348717121,5.348717121,5.372131778
3,23375228856736,1,1,AGGREGATE backward all2all,5.424132116,5.424132116,5.441782916
3,23375228856256,1,1,AGGREGATE backward all2all,5.483406180,5.483406180,5.500784258
3,23375228857696,1,1,GROUP_BY backward all2all,5.504368527,5.504368527,5.526400547
3,23375228857216,1,1,GROUP_BY backward all2all,5.563369868,5.563369868,5.587193529
3,23375228863456,1,2,AGGREGATE backward all2all,5.611133990,5.611133990,5.633141446
3,23375228862976,1,2,AGGREGATE backward all2all,5.694326960,5.694326960,5.711783862
3,23375228862496,1,2,GROUP_BY backward all2all,5.695727056,5.695727056,5.717519361
3,23375228862016,1,2,GROUP_BY backward all2all,5.774369472,5.774369472,5.796199876
