model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev80,1,sim,idle,0.000000000,0.347331590,0.347331590,84.0000
mixtral-dev80,1,sim,attention,0.347331590,0.359639556,0.012307966,700.0000
mixtral-dev80,1,sim,idle,0.359639556,0.359639717,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.359639717,0.359783922,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.359783922,0.359784084,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.359784084,0.359786624,0.000002540,140.0000
mixtral-dev80,1,sim,idle,0.359786624,0.359786786,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.359786786,0.359825208,0.000038422,280.0000
mixtral-dev80,1,sim,idle,0.359825208,0.359827692,0.000002484,84.0000
mixtral-dev80,1,sim,idle,0.359827692,0.359827854,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.359827854,0.359844958,0.000017104,280.0000
mixtral-dev80,1,sim,idle,0.359844958,1.765163050,1.405318092,84.0000
mixtral-dev80,1,sim,experts,1.765163050,1.776004665,0.010841615,700.0000
mixtral-dev80,1,sim,idle,1.776004665,1.781510285,0.005505620,84.0000
mixtral-dev80,1,sim,experts,1.781510285,1.791161818,0.009651533,700.0000
mixtral-dev80,1,sim,idle,1.791161818,1.792735540,0.001573722,84.0000
mixtral-dev80,1,sim,experts,1.792735540,1.806193222,0.013457682,700.0000
mixtral-dev80,1,sim,idle,1.806193222,1.959145448,0.152952226,84.0000
mixtral-dev80,1,sim,idle,1.959145448,1.959145610,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,1.959145610,1.959289815,0.000144205,140.0000
mixtral-dev80,1,sim,idle,1.959289815,1.959289976,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,1.959289976,1.959292514,0.000002538,140.0000
mixtral-dev80,1,sim,attention,1.959292514,1.971600480,0.012307966,700.0000
mixtral-dev80,1,sim,idle,1.971600480,1.971600641,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,1.971600641,1.971744846,0.000144205,140.0000
mixtral-dev80,1,sim,idle,1.971744846,1.971745008,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,1.971745008,1.971747548,0.000002540,140.0000
mixtral-dev80,1,sim,idle,1.971747548,1.971747710,0.000000162,84.0000
mixtral-dev80,1,sim,gate,1.971747710,1.971786132,0.000038422,280.0000
mixtral-dev80,1,sim,idle,1.971786132,1.971788616,0.000002484,84.0000
mixtral-dev80,1,sim,idle,1.971788616,1.971788778,0.000000162,84.0000
mixtral-dev80,1,sim,gate,1.971788778,1.971805882,0.000017104,280.0000
mixtral-dev80,1,sim,idle,1.971805882,2.112162429,0.140356547,84.0000
