iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853616,1,0,GROUP_BY forward all2all,0.390844946,0.390844946,1.765163050
1,23375228853136,1,0,GROUP_BY forward all2all,0.390844958,0.390844958,1.765163050
1,23375228846896,1,0,AGGREGATE forward all2all,1.829516088,1.829516088,1.959145445
1,23375228846416,1,0,AGGREGATE forward all2all,1.829516088,1.829516088,1.959145448
1,23375228856976,1,1,GROUP_BY forward all2all,2.002805882,2.002805882,2.112162429
1,23375228857456,1,1,GROUP_BY forward all2all,2.002805882,2.002805882,2.112162740
1,23375228856016,1,1,AGGREGATE forward all2all,2.176515467,2.176515467,2.306145438
1,23375228856496,1,1,AGGREGATE forward all2all,2.176515778,2.176515778,2.306145488
1,23375228861776,1,2,GROUP_BY forward all2all,2.349788818,2.349788818,2.459162378
1,23375228862256,1,2,GROUP_BY forward all2all,2.349788818,2.349788818,2.459162378
1,23375228862736,1,2,AGGREGATE forward all2all,2.523515417,2.523515417,2.637030834
1,23375228863216,1,2,AGGREGATE forward all2all,2.523515417,2.523515417,2.653145473
1,23375228869456,1,3,GROUP_BY forward all2all,2.696788803,2.696788803,2.727159488
1,23375228869936,1,3,GROUP_BY forward all2all,2.696788803,2.696788803,2.727235153
1,23375228870416,1,3,AGGREGATE forward all2all,2.791512526,2.791512526,2.813206108
1,23375228870896,1,3,AGGREGATE forward all2all,2.791588191,2.791588191,2.813009069
1,23375228847136,1,0,AGGREGATE backward all2all,3.211314533,3.211314533,3.234007431
1,23375228846656,1,0,AGGREGATE backward all2all,3.250947119,3.250947119,3.268205372
1,23375228853856,1,0,GROUP_BY backward all2all,3.297763595,3.297763595,3.313011463
1,23375228853376,1,0,GROUP_BY backward all2all,3.331961536,3.331961536,3.348007063
1,23375228856736,1,1,AGGREGATE backward all2all,3.374251737,3.374251737,3.389909977
1,23375228857696,1,1,GROUP_BY backward all2all,3.453666141,3.453666141,3.477001190
1,23375228856256,1,1,AGGREGATE backward all2all,3.529263461,3.529263461,3.551172829
1,23375228857216,1,1,GROUP_BY backward all2all,3.614928993,3.614928993,3.631005138
1,23375228863456,1,2,AGGREGATE backward all2all,3.670573955,3.670573955,3.693003420
1,23375228862976,1,2,AGGREGATE backward all2all,3.683573832,3.683573832,3.705060094
1,23375228862496,1,2,GROUP_BY backward all2all,3.756759584,3.756759584,3.772593308
1,23375228862016,1,2,GROUP_BY backward all2all,3.768816258,3.768816258,3.782617183
1,23375228870656,1,3,AGGREGATE backward all2all,3.885171531,3.885171531,3.900149375
1,23375228871136,1,3,AGGREGATE backward all2all,3.944188644,3.944188644,3.966172730
1,23375228869696,1,3,GROUP_BY backward all2all,3.963905539,3.963905539,3.988005206
1,23375228870176,1,3,GROUP_BY backward all2all,4.029928894,4.029928894,4.088142895
2,23375228853616,1,0,GROUP_BY forward all2all,4.687031487,4.687031487,6.061349591
2,23375228853136,1,0,GROUP_BY forward all2all,4.687031499,4.687031499,6.061349591
2,23375228846896,1,0,AGGREGATE forward all2all,6.125702629,6.125702629,6.255331987
2,23375228846416,1,0,AGGREGATE forward all2all,6.125702629,6.125702629,6.255331989
