model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev100,1,sim,idle,0.000000000,0.347331578,0.347331578,84.0000
mixtral-dev100,1,sim,attention,0.347331578,0.359639544,0.012307966,700.0000
mixtral-dev100,1,sim,idle,0.359639544,0.359639705,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,0.359639705,0.359783910,0.000144205,140.0000
mixtral-dev100,1,sim,idle,0.359783910,0.359784072,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,0.359784072,0.359786612,0.000002540,140.0000
mixtral-dev100,1,sim,idle,0.359786612,0.359786774,0.000000162,84.0000
mixtral-dev100,1,sim,gate,0.359786774,0.359825196,0.000038422,280.0000
mixtral-dev100,1,sim,idle,0.359825196,0.359827680,0.000002484,84.0000
mixtral-dev100,1,sim,idle,0.359827680,0.359827842,0.000000162,84.0000
mixtral-dev100,1,sim,gate,0.359827842,0.359844946,0.000017104,280.0000
mixtral-dev100,1,sim,idle,0.359844946,1.765163050,1.405318104,84.0000
mixtral-dev100,1,sim,experts,1.765163050,1.776003050,0.010840001,700.0000
mixtral-dev100,1,sim,idle,1.776003050,1.781508670,0.005505620,84.0000
mixtral-dev100,1,sim,experts,1.781508670,1.791160058,0.009651388,700.0000
mixtral-dev100,1,sim,idle,1.791160058,1.792733781,0.001573722,84.0000
mixtral-dev100,1,sim,experts,1.792733781,1.806210958,0.013477177,700.0000
mixtral-dev100,1,sim,idle,1.806210958,1.959145445,0.152934488,84.0000
mixtral-dev100,1,sim,idle,1.959145445,1.959145607,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,1.959145607,1.959289812,0.000144205,140.0000
mixtral-dev100,1,sim,idle,1.959289812,1.959289973,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,1.959289973,1.959292511,0.000002538,140.0000
mixtral-dev100,1,sim,attention,1.959292514,1.971600480,0.012307966,700.0000
mixtral-dev100,1,sim,idle,1.971600480,1.971600641,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,1.971600641,1.971744846,0.000144205,140.0000
mixtral-dev100,1,sim,idle,1.971744846,1.971745008,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,1.971745008,1.971747548,0.000002540,140.0000
mixtral-dev100,1,sim,idle,1.971747548,1.971747710,0.000000162,84.0000
mixtral-dev100,1,sim,gate,1.971747710,1.971786132,0.000038422,280.0000
mixtral-dev100,1,sim,idle,1.971786132,1.971788616,0.000002484,84.0000
mixtral-dev100,1,sim,idle,1.971788616,1.971788778,0.000000162,84.0000
mixtral-dev100,1,sim,gate,1.971788778,1.971805882,0.000017104,280.0000
mixtral-dev100,1,sim,idle,1.971805882,2.112162740,0.140356858,84.0000
mixtral-dev100,1,sim,experts,2.112162740,2.123002740,0.010840001,700.0000
mixtral-dev100,1,sim,idle,2.123002740,2.128508360,0.005505620,84.0000
mixtral-dev100,1,sim,experts,2.128508360,2.138159748,0.009651388,700.0000
mixtral-dev100,1,sim,idle,2.138159748,2.139733470,0.001573722,84.0000
mixtral-dev100,1,sim,experts,2.139733470,2.153210648,0.013477177,700.0000
mixtral-dev100,1,sim,idle,2.153210648,2.306145488,0.152934840,84.0000
mixtral-dev100,1,sim,idle,2.306145488,2.306145650,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.306145650,2.306289855,0.000144205,140.0000
mixtral-dev100,1,sim,idle,2.306289855,2.306290016,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.306290016,2.306292554,0.000002538,140.0000
mixtral-dev100,1,sim,attention,2.306292554,2.318600520,0.012307966,700.0000
mixtral-dev100,1,sim,idle,2.318600520,2.318600681,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.318600681,2.318744886,0.000144205,140.0000
mixtral-dev100,1,sim,idle,2.318744886,2.318745048,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.318745048,2.318747588,0.000002540,140.0000
mixtral-dev100,1,sim,idle,2.318747588,2.318747750,0.000000162,84.0000
mixtral-dev100,1,sim,gate,2.318747750,2.318786172,0.000038422,280.0000
mixtral-dev100,1,sim,idle,2.318786172,2.318788656,0.000002484,84.0000
mixtral-dev100,1,sim,idle,2.318788656,2.318788818,0.000000162,84.0000
mixtral-dev100,1,sim,gate,2.318788818,2.318805922,0.000017104,280.0000
mixtral-dev100,1,sim,idle,2.318805922,2.459162378,0.140356456,84.0000
mixtral-dev100,1,sim,experts,2.459162378,2.470002379,0.010840001,700.0000
mixtral-dev100,1,sim,idle,2.470002379,2.475507999,0.005505620,84.0000
mixtral-dev100,1,sim,experts,2.475507999,2.485159387,0.009651388,700.0000
mixtral-dev100,1,sim,idle,2.485159387,2.486733109,0.001573722,84.0000
mixtral-dev100,1,sim,experts,2.486733109,2.500210287,0.013477177,700.0000
mixtral-dev100,1,sim,idle,2.500210287,2.653145473,0.152935187,84.0000
mixtral-dev100,1,sim,idle,2.653145473,2.653145635,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.653145635,2.653289840,0.000144205,140.0000
mixtral-dev100,1,sim,idle,2.653289840,2.653290001,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.653290001,2.653292539,0.000002538,140.0000
mixtral-dev100,1,sim,attention,2.653292539,2.665600505,0.012307966,700.0000
mixtral-dev100,1,sim,idle,2.665600505,2.665600666,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.665600666,2.665744871,0.000144205,140.0000
mixtral-dev100,1,sim,idle,2.665744871,2.665745033,0.000000162,84.0000
mixtral-dev100,1,sim,addnorm,2.665745033,2.665747573,0.000002540,140.0000
mixtral-dev100,1,sim,idle,2.665747573,2.665747735,0.000000162,84.0000
mixtral-dev100,1,sim,gate,2.665747735,2.665786157,0.000038422,280.0000
mixtral-dev100,1,sim,idle,2.665786157,2.665788641,0.000002484,84.0000
mixtral-dev100,1,sim,idle,2.665788641,2.665788803,0.000000162,84.0000
mixtral-dev100,1,sim,gate,2.665788803,2.665805907,0.000017104,280.0000
mixtral-dev100,1,sim,idle,2.665805907,2.727235153,0.061429246,84.0000
mixtral-dev100,1,sim,experts,2.727235153,2.738075153,0.010840001,700.0000
mixtral-dev100,1,sim,idle,2.738075153,2.743580773,0.005505620,84.0000
mixtral-dev100,1,sim,experts,2.743580773,2.753232161,0.009651388,700.0000
mixtral-dev100,1,sim,idle,2.753232161,2.754805883,0.001573722,84.0000
