model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev80,1,sim,idle,0.000000000,0.054481553,0.054481553,84.0000
mixtral-dev80,1,sim,attention,0.054481553,0.066789519,0.012307966,700.0000
mixtral-dev80,1,sim,idle,0.066789519,0.066789680,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.066789680,0.066933885,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.066933885,0.066934047,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.066934047,0.066936587,0.000002540,140.0000
mixtral-dev80,1,sim,idle,0.066936587,0.066936749,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.066936749,0.066975171,0.000038422,280.0000
mixtral-dev80,1,sim,idle,0.066975171,0.066977655,0.000002484,84.0000
mixtral-dev80,1,sim,idle,0.066977655,0.066977817,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.066977817,0.066994921,0.000017104,280.0000
mixtral-dev80,1,sim,idle,0.066994921,0.067385333,0.000390412,84.0000
mixtral-dev80,1,sim,experts,0.067385333,0.078226948,0.010841615,700.0000
mixtral-dev80,1,sim,idle,0.078226948,0.083732568,0.005505620,84.0000
mixtral-dev80,1,sim,experts,0.083732568,0.093384101,0.009651533,700.0000
mixtral-dev80,1,sim,idle,0.093384101,0.094957823,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.094957823,0.108415505,0.013457682,700.0000
mixtral-dev80,1,sim,idle,0.108415505,0.108829054,0.000413549,84.0000
mixtral-dev80,1,sim,idle,0.108829054,0.108829216,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.108829216,0.108973421,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.108973421,0.108973582,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.108973582,0.108976120,0.000002538,140.0000
mixtral-dev80,1,sim,idle,0.108976120,0.108978047,0.000001927,84.0000
mixtral-dev80,1,sim,attention,0.108978047,0.121286013,0.012307966,700.0000
mixtral-dev80,1,sim,idle,0.121286013,0.121286174,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.121286174,0.121430379,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.121430379,0.121430541,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.121430541,0.121433081,0.000002540,140.0000
mixtral-dev80,1,sim,idle,0.121433081,0.121433243,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.121433243,0.121471665,0.000038422,280.0000
mixtral-dev80,1,sim,idle,0.121471665,0.121474149,0.000002484,84.0000
mixtral-dev80,1,sim,idle,0.121474149,0.121474311,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.121474311,0.121491415,0.000017104,280.0000
mixtral-dev80,1,sim,idle,0.121491415,0.121881827,0.000390412,84.0000
mixtral-dev80,1,sim,experts,0.121881827,0.132723442,0.010841615,700.0000
mixtral-dev80,1,sim,idle,0.132723442,0.138229062,0.005505620,84.0000
mixtral-dev80,1,sim,experts,0.138229062,0.147880595,0.009651533,700.0000
mixtral-dev80,1,sim,idle,0.147880595,0.149454317,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.149454317,0.162911999,0.013457682,700.0000
mixtral-dev80,1,sim,idle,0.162911999,0.163325548,0.000413549,84.0000
mixtral-dev80,1,sim,idle,0.163325548,0.163325710,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.163325710,0.163469914,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.163469914,0.163470076,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.163470076,0.163472614,0.000002538,140.0000
mixtral-dev80,1,sim,attention,0.163472614,0.175780580,0.012307966,700.0000
mixtral-dev80,1,sim,idle,0.175780580,0.175780741,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.175780741,0.175924946,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.175924946,0.175925108,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.175925108,0.175927648,0.000002540,140.0000
mixtral-dev80,1,sim,idle,0.175927648,0.175927810,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.175927810,0.175966232,0.000038422,280.0000
mixtral-dev80,1,sim,idle,0.175966232,0.175968716,0.000002484,84.0000
mixtral-dev80,1,sim,idle,0.175968716,0.175968878,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.175968878,0.175985982,0.000017104,280.0000
mixtral-dev80,1,sim,idle,0.175985982,0.176359290,0.000373308,84.0000
mixtral-dev80,1,sim,experts,0.176359290,0.187200905,0.010841615,700.0000
mixtral-dev80,1,sim,idle,0.187200905,0.192706525,0.005505620,84.0000
mixtral-dev80,1,sim,experts,0.192706525,0.202358058,0.009651533,700.0000
mixtral-dev80,1,sim,idle,0.202358058,0.203931780,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.203931780,0.217389462,0.013457682,700.0000
mixtral-dev80,1,sim,idle,0.217389462,0.217803011,0.000413549,84.0000
mixtral-dev80,1,sim,idle,0.217803011,0.217803173,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.217803173,0.217947377,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.217947377,0.217947539,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.217947539,0.217950077,0.000002538,140.0000
mixtral-dev80,1,sim,attention,0.217950077,0.230258043,0.012307966,700.0000
mixtral-dev80,1,sim,idle,0.230258043,0.230258204,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.230258204,0.230402409,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.230402409,0.230402571,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.230402571,0.230405111,0.000002540,140.0000
mixtral-dev80,1,sim,idle,0.230405111,0.230405273,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.230405273,0.230443695,0.000038422,280.0000
mixtral-dev80,1,sim,idle,0.230443695,0.230446179,0.000002484,84.0000
mixtral-dev80,1,sim,idle,0.230446179,0.230446341,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.230446341,0.230463445,0.000017104,280.0000
mixtral-dev80,1,sim,idle,0.230463445,0.230836753,0.000373308,84.0000
mixtral-dev80,1,sim,experts,0.230836753,0.241678368,0.010841615,700.0000
mixtral-dev80,1,sim,idle,0.241678368,0.247183988,0.005505620,84.0000
mixtral-dev80,1,sim,experts,0.247183988,0.256835521,0.009651533,700.0000
mixtral-dev80,1,sim,idle,0.256835521,0.258409243,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.258409243,0.271866925,0.013457682,700.0000
mixtral-dev80,1,sim,idle,0.271866925,0.272280474,0.000413549,84.0000
mixtral-dev80,1,sim,idle,0.272280474,0.272280636,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.272280636,0.272424840,0.000144205,140.0000
mixtral-dev80,1,sim,idle,0.272424840,0.272425002,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.272425002,0.272427540,0.000002538,140.0000
mixtral-dev80,1,sim,idle,0.272427540,0.407434531,0.135006991,84.0000
mixtral-dev80,1,sim,addnorm,0.407434531,0.407436619,0.000002089,140.0000
mixtral-dev80,1,sim,idle,0.407436619,0.407436781,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.407436781,0.407729549,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.407729549,0.407729711,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.407729711,0.407729872,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.407729872,0.407733191,0.000003318,280.0000
mixtral-dev80,1,sim,idle,0.407733191,0.408154205,0.000421015,84.0000
mixtral-dev80,1,sim,gate,0.408154205,0.408333252,0.000179046,280.0000
mixtral-dev80,1,sim,idle,0.408333252,0.408333413,0.000000162,84.0000
mixtral-dev80,1,sim,experts,0.408333413,0.427550848,0.019217435,700.0000
mixtral-dev80,1,sim,idle,0.427550848,0.429124570,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.429124570,0.448903978,0.019779408,700.0000
mixtral-dev80,1,sim,idle,0.448903978,0.454815081,0.005911103,84.0000
mixtral-dev80,1,sim,idle,0.454815081,0.454815243,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.454815243,0.454815404,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.454815404,0.454908003,0.000092598,280.0000
mixtral-dev80,1,sim,idle,0.454908003,0.454910487,0.000002484,84.0000
mixtral-dev80,1,sim,addnorm,0.454910487,0.454912573,0.000002086,140.0000
mixtral-dev80,1,sim,idle,0.454912573,0.454912735,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.454912735,0.455205503,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.455205503,0.455205664,0.000000162,84.0000
mixtral-dev80,1,sim,attention,0.455205664,0.479821596,0.024615932,700.0000
mixtral-dev80,1,sim,idle,0.479821596,0.524625196,0.044803600,84.0000
mixtral-dev80,1,sim,addnorm,0.524625196,0.524627285,0.000002089,140.0000
mixtral-dev80,1,sim,idle,0.524627285,0.524627446,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.524627446,0.524920214,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.524920214,0.524920376,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.524920376,0.524920537,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.524920537,0.524923856,0.000003318,280.0000
mixtral-dev80,1,sim,idle,0.524923856,0.525344869,0.000421013,84.0000
mixtral-dev80,1,sim,gate,0.525344869,0.525523915,0.000179046,280.0000
mixtral-dev80,1,sim,idle,0.525523915,0.525524077,0.000000162,84.0000
mixtral-dev80,1,sim,experts,0.525524077,0.544741512,0.019217435,700.0000
mixtral-dev80,1,sim,idle,0.544741512,0.546315234,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.546315234,0.566094642,0.019779408,700.0000
mixtral-dev80,1,sim,idle,0.566094642,0.572008516,0.005913874,84.0000
mixtral-dev80,1,sim,idle,0.572008516,0.572008677,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.572008677,0.572008839,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.572008839,0.572101437,0.000092598,280.0000
mixtral-dev80,1,sim,idle,0.572101437,0.572103921,0.000002484,84.0000
mixtral-dev80,1,sim,addnorm,0.572103921,0.572106007,0.000002086,140.0000
mixtral-dev80,1,sim,idle,0.572106007,0.572106169,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.572106169,0.572398937,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.572398937,0.572399099,0.000000162,84.0000
mixtral-dev80,1,sim,attention,0.572399099,0.597015031,0.024615932,700.0000
mixtral-dev80,1,sim,idle,0.597015031,0.641828801,0.044813770,84.0000
mixtral-dev80,1,sim,addnorm,0.641828801,0.641830889,0.000002089,140.0000
mixtral-dev80,1,sim,idle,0.641830889,0.641831051,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.641831051,0.642123819,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.642123819,0.642123981,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.642123981,0.642124142,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.642124142,0.642127461,0.000003318,280.0000
mixtral-dev80,1,sim,idle,0.642127461,0.642548476,0.000421015,84.0000
mixtral-dev80,1,sim,gate,0.642548476,0.642727522,0.000179046,280.0000
mixtral-dev80,1,sim,idle,0.642727522,0.642727684,0.000000162,84.0000
mixtral-dev80,1,sim,experts,0.642727684,0.661945118,0.019217435,700.0000
mixtral-dev80,1,sim,idle,0.661945118,0.663518840,0.001573722,84.0000
mixtral-dev80,1,sim,experts,0.663518840,0.683298248,0.019779408,700.0000
mixtral-dev80,1,sim,idle,0.683298248,0.689210259,0.005912011,84.0000
mixtral-dev80,1,sim,idle,0.689210259,0.689210420,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.689210420,0.689210582,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.689210582,0.689303180,0.000092598,280.0000
mixtral-dev80,1,sim,idle,0.689303180,0.689305665,0.000002484,84.0000
mixtral-dev80,1,sim,addnorm,0.689305665,0.689307751,0.000002086,140.0000
mixtral-dev80,1,sim,idle,0.689307751,0.689307912,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.689307912,0.689600680,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.689600680,0.689600842,0.000000162,84.0000
mixtral-dev80,1,sim,attention,0.689600842,0.714216774,0.024615932,700.0000
mixtral-dev80,1,sim,idle,0.714216774,0.720540959,0.006324186,84.0000
mixtral-dev80,1,sim,addnorm,0.720540959,0.720543048,0.000002089,140.0000
mixtral-dev80,1,sim,idle,0.720543048,0.720543210,0.000000162,84.0000
mixtral-dev80,1,sim,addnorm,0.720543210,0.720835978,0.000292768,140.0000
mixtral-dev80,1,sim,idle,0.720835978,0.720836139,0.000000162,84.0000
mixtral-dev80,1,sim,idle,0.720836139,0.720836301,0.000000162,84.0000
mixtral-dev80,1,sim,gate,0.720836301,0.720839619,0.000003318,280.0000
mixtral-dev80,1,sim,idle,0.720839619,0.721260636,0.000421017,84.0000
mixtral-dev80,1,sim,gate,0.721260636,0.721439682,0.000179046,280.0000
mixtral-dev80,1,sim,idle,0.721439682,0.721439844,0.000000162,84.0000
