iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853136,1,0,GROUP_BY forward all2all,0.066994921,0.066994921,0.067385333
1,23375228853616,1,0,GROUP_BY forward all2all,0.066994921,0.066994921,0.067385333
1,23375228846416,1,0,AGGREGATE forward all2all,0.108438371,0.108438371,0.108829054
1,23375228846896,1,0,AGGREGATE forward all2all,0.108438371,0.108438371,0.108829054
1,23375228856976,1,1,GROUP_BY forward all2all,0.121491415,0.121491415,0.121881827
1,23375228857456,1,1,GROUP_BY forward all2all,0.121491415,0.121491415,0.121881827
1,23375228856016,1,1,AGGREGATE forward all2all,0.162934865,0.162934865,0.163325548
1,23375228856496,1,1,AGGREGATE forward all2all,0.162934865,0.162934865,0.163325548
1,23375228861776,1,2,GROUP_BY forward all2all,0.175968878,0.175968878,0.176359290
1,23375228862256,1,2,GROUP_BY forward all2all,0.175968878,0.175968878,0.176359290
1,23375228862736,1,2,AGGREGATE forward all2all,0.217412328,0.217412328,0.217803011
1,23375228863216,1,2,AGGREGATE forward all2all,0.217412328,0.217412328,0.217803011
1,23375228869456,1,3,GROUP_BY forward all2all,0.230446341,0.230446341,0.230836753
1,23375228869936,1,3,GROUP_BY forward all2all,0.230446341,0.230446341,0.230836753
1,23375228870416,1,3,AGGREGATE forward all2all,0.271889791,0.271889791,0.272280474
1,23375228870896,1,3,AGGREGATE forward all2all,0.271889791,0.271889791,0.272280474
1,23375228847136,1,0,AGGREGATE backward all2all,0.407706809,0.407706809,0.408131306
1,23375228846656,1,0,AGGREGATE backward all2all,0.407729711,0.407729711,0.408154205
1,23375228853856,1,0,GROUP_BY backward all2all,0.454387470,0.454387470,0.454795444
1,23375228853376,1,0,GROUP_BY backward all2all,0.454410369,0.454410369,0.454815081
1,23375228856256,1,1,AGGREGATE backward all2all,0.524920376,0.524920376,0.525344869
1,23375228856736,1,1,AGGREGATE backward all2all,0.524940489,0.524940489,0.525364983
1,23375228857216,1,1,GROUP_BY backward all2all,0.571601033,0.571601033,0.572008516
1,23375228857696,1,1,GROUP_BY backward all2all,0.571621147,0.571621147,0.572025733
1,23375228862976,1,2,AGGREGATE backward all2all,0.642123981,0.642123981,0.642548476
1,23375228863456,1,2,AGGREGATE backward all2all,0.642133299,0.642133299,0.642557797
1,23375228862016,1,2,GROUP_BY backward all2all,0.688804639,0.688804639,0.689210259
1,23375228862496,1,2,GROUP_BY backward all2all,0.688813961,0.688813961,0.689217882
1,23375228870656,1,3,AGGREGATE backward all2all,0.720836139,0.720836139,0.721260636
1,23375228871136,1,3,AGGREGATE backward all2all,0.720843510,0.720843510,0.721268003
1,23375228869696,1,3,GROUP_BY backward all2all,0.767516800,0.767516800,0.767922129
1,23375228870176,1,3,GROUP_BY backward all2all,0.767524167,0.767524167,0.767928047
2,23375228853136,1,0,GROUP_BY forward all2all,0.932282432,0.932282432,0.932672844
2,23375228853616,1,0,GROUP_BY forward all2all,0.932282432,0.932282432,0.932672844
2,23375228846416,1,0,AGGREGATE forward all2all,0.973725882,0.973725882,0.974116565
2,23375228846896,1,0,AGGREGATE forward all2all,0.973725882,0.973725882,0.974116565
2,23375228856976,1,1,GROUP_BY forward all2all,0.986778926,0.986778926,0.987169338
2,23375228857456,1,1,GROUP_BY forward all2all,0.986778926,0.986778926,0.987169338
2,23375228856016,1,1,AGGREGATE forward all2all,1.028222376,1.028222376,1.028613059
2,23375228856496,1,1,AGGREGATE forward all2all,1.028222376,1.028222376,1.028613059
2,23375228861776,1,2,GROUP_BY forward all2all,1.041256389,1.041256389,1.041646801
2,23375228862256,1,2,GROUP_BY forward all2all,1.041256389,1.041256389,1.041646801
2,23375228862736,1,2,AGGREGATE forward all2all,1.082699839,1.082699839,1.083090522
2,23375228863216,1,2,AGGREGATE forward all2all,1.082699839,1.082699839,1.083090522
2,23375228869456,1,3,GROUP_BY forward all2all,1.095733852,1.095733852,1.096124264
2,23375228869936,1,3,GROUP_BY forward all2all,1.095733852,1.095733852,1.096124264
2,23375228870416,1,3,AGGREGATE forward all2all,1.137177302,1.137177302,1.137567985
2,23375228870896,1,3,AGGREGATE forward all2all,1.137177302,1.137177302,1.137567985
2,23375228847136,1,0,AGGREGATE backward all2all,1.272994321,1.272994321,1.273418817
2,23375228846656,1,0,AGGREGATE backward all2all,1.273017222,1.273017222,1.273441716
2,23375228853856,1,0,GROUP_BY backward all2all,1.319674981,1.319674981,1.320082955
2,23375228853376,1,0,GROUP_BY backward all2all,1.319697880,1.319697880,1.320102592
2,23375228856256,1,1,AGGREGATE backward all2all,1.390207887,1.390207887,1.390632380
2,23375228856736,1,1,AGGREGATE backward all2all,1.390228000,1.390228000,1.390652494
2,23375228857216,1,1,GROUP_BY backward all2all,1.436888544,1.436888544,1.437296027
2,23375228857696,1,1,GROUP_BY backward all2all,1.436908658,1.436908658,1.437313244
2,23375228862976,1,2,AGGREGATE backward all2all,1.507411492,1.507411492,1.507835987
2,23375228863456,1,2,AGGREGATE backward all2all,1.507420810,1.507420810,1.507845308
2,23375228862016,1,2,GROUP_BY backward all2all,1.554092150,1.554092150,1.554497770
2,23375228862496,1,2,GROUP_BY backward all2all,1.554101472,1.554101472,1.554505394
2,23375228870656,1,3,AGGREGATE backward all2all,1.586123650,1.586123650,1.586548147
2,23375228871136,1,3,AGGREGATE backward all2all,1.586131022,1.586131022,1.586555515
2,23375228869696,1,3,GROUP_BY backward all2all,1.632804311,1.632804311,1.633209640
2,23375228870176,1,3,GROUP_BY backward all2all,1.632811678,1.632811678,1.633215559
3,23375228853136,1,0,GROUP_BY forward all2all,1.797569943,1.797569943,1.797960355
3,23375228853616,1,0,GROUP_BY forward all2all,1.797569943,1.797569943,1.797960355
3,23375228846416,1,0,AGGREGATE forward all2all,1.839013393,1.839013393,1.839404076
3,23375228846896,1,0,AGGREGATE forward all2all,1.839013393,1.839013393,1.839404076
3,23375228856976,1,1,GROUP_BY forward all2all,1.852066437,1.852066437,1.852456849
3,23375228857456,1,1,GROUP_BY forward all2all,1.852066437,1.852066437,1.852456849
3,23375228856016,1,1,AGGREGATE forward all2all,1.893509887,1.893509887,1.893900570
3,23375228856496,1,1,AGGREGATE forward all2all,1.893509887,1.893509887,1.893900570
3,23375228861776,1,2,GROUP_BY forward all2all,1.906543900,1.906543900,1.906934312
3,23375228862256,1,2,GROUP_BY forward all2all,1.906543900,1.906543900,1.906934312
3,23375228862736,1,2,AGGREGATE forward all2all,1.947987350,1.947987350,1.948378033
3,23375228863216,1,2,AGGREGATE forward all2all,1.947987350,1.947987350,1.948378033
3,23375228869456,1,3,GROUP_BY forward all2all,1.961021363,1.961021363,1.961411775
3,23375228869936,1,3,GROUP_BY forward all2all,1.961021363,1.961021363,1.961411775
3,23375228870416,1,3,AGGREGATE forward all2all,2.002464813,2.002464813,2.002855496
3,23375228870896,1,3,AGGREGATE forward all2all,2.002464813,2.002464813,2.002855496
3,23375228847136,1,0,AGGREGATE backward all2all,2.138281832,2.138281832,2.138706329
3,23375228846656,1,0,AGGREGATE backward all2all,2.138304733,2.138304733,2.138729227
3,23375228853856,1,0,GROUP_BY backward all2all,2.184962492,2.184962492,2.185370466
3,23375228853376,1,0,GROUP_BY backward all2all,2.184985391,2.184985391,2.185390103
3,23375228856256,1,1,AGGREGATE backward all2all,2.255495398,2.255495398,2.255919891
3,23375228856736,1,1,AGGREGATE backward all2all,2.255515511,2.255515511,2.255940006
3,23375228857216,1,1,GROUP_BY backward all2all,2.302176055,2.302176055,2.302583538
3,23375228857696,1,1,GROUP_BY backward all2all,2.302196169,2.302196169,2.302600755
3,23375228862976,1,2,AGGREGATE backward all2all,2.372699003,2.372699003,2.373123498
3,23375228863456,1,2,AGGREGATE backward all2all,2.372708321,2.372708321,2.373132820
3,23375228862016,1,2,GROUP_BY backward all2all,2.419379662,2.419379662,2.419785281
3,23375228862496,1,2,GROUP_BY backward all2all,2.419388983,2.419388983,2.419792905
3,23375228870656,1,3,AGGREGATE backward all2all,2.451411161,2.451411161,2.451835658
3,23375228871136,1,3,AGGREGATE backward all2all,2.451418533,2.451418533,2.451843026
3,23375228869696,1,3,GROUP_BY backward all2all,2.498091822,2.498091822,2.498497151
3,23375228870176,1,3,GROUP_BY backward all2all,2.498099190,2.498099190,2.498503070
4,23375228853136,1,0,GROUP_BY forward all2all,2.662857454,2.662857454,2.663247866
4,23375228853616,1,0,GROUP_BY forward all2all,2.662857454,2.662857454,2.663247866
4,23375228846416,1,0,AGGREGATE forward all2all,2.704300904,2.704300904,2.704691587
4,23375228846896,1,0,AGGREGATE forward all2all,2.704300904,2.704300904,2.704691587
4,23375228856976,1,1,GROUP_BY forward all2all,2.717353948,2.717353948,2.717744360
4,23375228857456,1,1,GROUP_BY forward all2all,2.717353948,2.717353948,2.717744360
4,23375228856016,1,1,AGGREGATE forward all2all,2.758797398,2.758797398,2.759188081
4,23375228856496,1,1,AGGREGATE forward all2all,2.758797398,2.758797398,2.759188081
4,23375228861776,1,2,GROUP_BY forward all2all,2.771831411,2.771831411,2.772221823
4,23375228862256,1,2,GROUP_BY forward all2all,2.771831411,2.771831411,2.772221823
4,23375228862736,1,2,AGGREGATE forward all2all,2.813274861,2.813274861,2.813665544
4,23375228863216,1,2,AGGREGATE forward all2all,2.813274861,2.813274861,2.813665544
4,23375228869456,1,3,GROUP_BY forward all2all,2.826308874,2.826308874,2.826699286
4,23375228869936,1,3,GROUP_BY forward all2all,2.826308874,2.826308874,2.826699286
4,23375228870416,1,3,AGGREGATE forward all2all,2.867752324,2.867752324,2.868143007
4,23375228870896,1,3,AGGREGATE forward all2all,2.867752324,2.867752324,2.868143007
4,23375228847136,1,0,AGGREGATE backward all2all,3.003569343,3.003569343,3.003993840
4,23375228846656,1,0,AGGREGATE backward all2all,3.003592244,3.003592244,3.004016739
4,23375228853856,1,0,GROUP_BY backward all2all,3.050250004,3.050250004,3.050657977
4,23375228853376,1,0,GROUP_BY backward all2all,3.050272902,3.050272902,3.050677615
4,23375228856256,1,1,AGGREGATE backward all2all,3.120782909,3.120782909,3.121207402
4,23375228856736,1,1,AGGREGATE backward all2all,3.120803022,3.120803022,3.121227517
4,23375228857216,1,1,GROUP_BY backward all2all,3.167463566,3.167463566,3.167871049
4,23375228857696,1,1,GROUP_BY backward all2all,3.167483681,3.167483681,3.167888266
4,23375228862976,1,2,AGGREGATE backward all2all,3.237986514,3.237986514,3.238411009
4,23375228863456,1,2,AGGREGATE backward all2all,3.237995832,3.237995832,3.238420331
4,23375228862016,1,2,GROUP_BY backward all2all,3.284667173,3.284667173,3.285072792
4,23375228862496,1,2,GROUP_BY backward all2all,3.284676495,3.284676495,3.285080416
4,23375228870656,1,3,AGGREGATE backward all2all,3.316698673,3.316698673,3.317123169
4,23375228871136,1,3,AGGREGATE backward all2all,3.316706044,3.316706044,3.317130537
4,23375228869696,1,3,GROUP_BY backward all2all,3.363379333,3.363379333,3.363784662
4,23375228870176,1,3,GROUP_BY backward all2all,3.363386701,3.363386701,3.363790581
5,23375228853136,1,0,GROUP_BY forward all2all,3.528144965,3.528144965,3.528535377
5,23375228853616,1,0,GROUP_BY forward all2all,3.528144965,3.528144965,3.528535377
5,23375228846416,1,0,AGGREGATE forward all2all,3.569588415,3.569588415,3.569979099
5,23375228846896,1,0,AGGREGATE forward all2all,3.569588415,3.569588415,3.569979099
5,23375228856976,1,1,GROUP_BY forward all2all,3.582641459,3.582641459,3.583031871
5,23375228857456,1,1,GROUP_BY forward all2all,3.582641459,3.582641459,3.583031871
5,23375228856016,1,1,AGGREGATE forward all2all,3.624084909,3.624084909,3.624475592
5,23375228856496,1,1,AGGREGATE forward all2all,3.624084909,3.624084909,3.624475592
5,23375228861776,1,2,GROUP_BY forward all2all,3.637118922,3.637118922,3.637509334
5,23375228862256,1,2,GROUP_BY forward all2all,3.637118922,3.637118922,3.637509334
5,23375228862736,1,2,AGGREGATE forward all2all,3.678562372,3.678562372,3.678953055
5,23375228863216,1,2,AGGREGATE forward all2all,3.678562372,3.678562372,3.678953055
5,23375228869456,1,3,GROUP_BY forward all2all,3.691596385,3.691596385,3.691986797
5,23375228869936,1,3,GROUP_BY forward all2all,3.691596385,3.691596385,3.691986797
