model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev112,1,sim,idle,0.000000000,0.102152902,0.102152902,84.0000
mixtral-dev112,1,sim,attention,0.102152902,0.114460868,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.114460868,0.114461025,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.114461025,0.114605230,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.114605230,0.114605386,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.114605386,0.114607927,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.114607927,0.114608084,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.114608084,0.114646506,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.114646506,0.114647662,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.114647662,0.114647819,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.114647819,0.114664923,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.114664923,0.114666745,0.000001822,84.0000
mixtral-dev112,1,sim,experts,0.114666745,0.125508360,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.125508360,0.126292455,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.126292455,0.135943988,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.135943988,0.136168686,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.136168686,0.149626369,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.149626369,0.174003091,0.024376722,84.0000
mixtral-dev112,1,sim,idle,0.174003091,0.174003248,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.174003248,0.174147453,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.174147453,0.174147610,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.174147610,0.174150147,0.000002538,140.0000
mixtral-dev112,1,sim,idle,0.174150147,0.197149046,0.022998899,84.0000
mixtral-dev112,1,sim,attention,0.197149046,0.209457012,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.209457012,0.209457169,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.209457169,0.209601373,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.209601373,0.209601530,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.209601530,0.209604071,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.209604071,0.209604228,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.209604228,0.209642650,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.209642650,0.209643806,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.209643806,0.209643963,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.209643963,0.209661067,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.209661067,0.209662889,0.000001822,84.0000
mixtral-dev112,1,sim,experts,0.209662889,0.220504504,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.220504504,0.221288599,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.221288599,0.230940132,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.230940132,0.231164830,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.231164830,0.244622513,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.244622513,0.273231941,0.028609428,84.0000
mixtral-dev112,1,sim,idle,0.273231941,0.273232097,0.000000157,84.0000
