model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev251,1,sim,idle,0.000000000,0.246152859,0.246152859,84.0000
mixtral-dev251,1,sim,attention,0.246152859,0.258460825,0.012307966,700.0000
mixtral-dev251,1,sim,idle,0.258460825,0.258460982,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.258460982,0.258604991,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.258604991,0.258605148,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.258605148,0.258607681,0.000002533,140.0000
mixtral-dev251,1,sim,idle,0.258607681,0.258607838,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.258607838,0.258645237,0.000037398,280.0000
mixtral-dev251,1,sim,idle,0.258645237,0.258646393,0.000001156,84.0000
mixtral-dev251,1,sim,idle,0.258646393,0.258646550,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.258646550,0.258663596,0.000017046,280.0000
mixtral-dev251,1,sim,idle,0.258663596,0.258665418,0.000001822,84.0000
mixtral-dev251,1,sim,experts,0.258665418,0.269504797,0.010839379,700.0000
mixtral-dev251,1,sim,idle,0.269504797,0.270288892,0.000784095,84.0000
mixtral-dev251,1,sim,experts,0.270288892,0.279940307,0.009651415,700.0000
mixtral-dev251,1,sim,idle,0.279940307,0.280165005,0.000224698,84.0000
mixtral-dev251,1,sim,experts,0.280165005,0.293646155,0.013481149,700.0000
mixtral-dev251,1,sim,idle,0.293646155,0.317007444,0.023361290,84.0000
mixtral-dev251,1,sim,idle,0.317007444,0.317007601,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.317007601,0.317151611,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.317151611,0.317151767,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.317151767,0.317154309,0.000002542,140.0000
mixtral-dev251,1,sim,idle,0.317154309,0.317154466,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.317154466,0.318748444,0.001593978,700.0000
mixtral-dev251,1,sim,idle,0.318748444,0.318861261,0.000112817,84.0000
mixtral-dev251,1,sim,experts,0.318861261,0.321869396,0.003008134,700.0000
mixtral-dev251,1,sim,idle,0.321869396,0.321982213,0.000112817,84.0000
mixtral-dev251,1,sim,addnorm,0.321982213,0.321984297,0.000002084,140.0000
mixtral-dev251,1,sim,idle,0.321984297,0.321984454,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.321984454,0.322277305,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.322277305,0.322277462,0.000000157,84.0000
mixtral-dev251,1,sim,idle,0.322277462,0.322277619,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.322277619,0.322280921,0.000003302,280.0000
mixtral-dev251,1,sim,idle,0.322280921,0.344389626,0.022108704,84.0000
mixtral-dev251,1,sim,gate,0.344389626,0.344568678,0.000179053,280.0000
mixtral-dev251,1,sim,idle,0.344568678,0.344568835,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.344568835,0.363786696,0.019217861,700.0000
mixtral-dev251,1,sim,attention,0.363786696,0.376094662,0.012307966,700.0000
mixtral-dev251,1,sim,experts,0.376094662,0.395874399,0.019779738,700.0000
