iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228844016,3,0,GROUP_BY forward all2all,0.258663596,0.258663596,0.258665418
1,23375228843536,3,0,GROUP_BY forward all2all,0.279665941,0.279665941,0.279667763
1,23375228849776,3,0,AGGREGATE forward all2all,0.293646311,0.293646311,0.317007444
1,23375228849296,3,0,AGGREGATE forward all2all,0.314648656,0.314648656,0.338006509
1,23375228850016,3,0,AGGREGATE backward all2all,0.322277462,0.322277462,0.344389626
1,23375228849536,3,0,AGGREGATE backward all2all,0.355617905,0.355617905,0.377207232
1,23375228855056,3,1,GROUP_BY forward all2all,0.355675967,0.355675967,0.355697318
1,23375228858896,3,1,AGGREGATE forward all2all,0.390867591,0.390867591,0.412403504
1,23375228855536,3,1,GROUP_BY forward all2all,0.396082063,0.396082063,0.396084301
1,23375228844256,3,0,GROUP_BY backward all2all,0.396660376,0.396660376,0.396662198
1,23375228843776,3,0,GROUP_BY backward all2all,0.430873828,0.430873828,0.430875650
1,23375228859376,3,1,AGGREGATE forward all2all,0.455291015,0.455291015,0.474652351
1,23375228859136,3,1,AGGREGATE backward all2all,0.460140902,0.460140902,0.485002787
1,23375228859616,3,1,AGGREGATE backward all2all,0.492263747,0.492263747,0.514474772
1,23375228866096,3,2,GROUP_BY forward all2all,0.492304762,0.492304762,0.492326653
1,23375228865616,3,2,GROUP_BY forward all2all,0.511405754,0.511405754,0.511407597
1,23375228867056,3,2,AGGREGATE forward all2all,0.527333813,0.527333813,0.546652802
1,23375228855296,3,1,GROUP_BY backward all2all,0.542828140,0.542828140,0.542829962
1,23375228866576,3,2,AGGREGATE forward all2all,0.565565062,0.565565062,0.590006498
1,23375228855776,3,1,GROUP_BY backward all2all,0.569034689,0.569034689,0.569036510
1,23375228866816,3,2,AGGREGATE backward all2all,0.607792234,0.607792234,0.632002130
1,23375228842576,3,3,GROUP_BY forward all2all,0.607850295,0.607850295,0.607871919
1,23375228867296,3,2,AGGREGATE backward all2all,0.608867032,0.608867032,0.630282013
1,23375228843056,3,3,GROUP_BY forward all2all,0.609072949,0.609072949,0.609090677
1,23375228848336,3,3,AGGREGATE forward all2all,0.642878997,0.642878997,0.664239917
1,23375228848816,3,3,AGGREGATE forward all2all,0.663271606,0.663271606,0.688006713
