model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev68,1,sim,idle,0.000000000,0.100152633,0.100152633,84.0000
mixtral-dev68,1,sim,attention,0.100152633,0.112460598,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.112460598,0.112460755,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.112460755,0.112604960,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.112604960,0.112605117,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.112605117,0.112607657,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.112607657,0.112607814,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.112607814,0.112646237,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.112646237,0.112647393,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.112647393,0.112647550,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.112647550,0.112664654,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.112664654,0.112666475,0.000001822,84.0000
mixtral-dev68,1,sim,experts,0.112666475,0.123506476,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.123506476,0.124290571,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.124290571,0.133941959,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.133941959,0.134166658,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.134166658,0.147643835,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.147643835,0.197001990,0.049358155,84.0000
mixtral-dev68,1,sim,idle,0.197001990,0.197002147,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.197002147,0.197146351,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.197146351,0.197146508,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.197146508,0.197149046,0.000002538,140.0000
mixtral-dev68,1,sim,attention,0.197149046,0.209457012,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.209457012,0.209457169,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.209457169,0.209601373,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.209601373,0.209601530,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.209601530,0.209604071,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.209604071,0.209604228,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.209604228,0.209642650,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.209642650,0.209643806,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.209643806,0.209643963,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.209643963,0.209661067,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.209661067,0.209662889,0.000001822,84.0000
mixtral-dev68,1,sim,experts,0.209662889,0.220502889,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.220502889,0.221286984,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.221286984,0.230938373,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.230938373,0.231163071,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.231163071,0.244640248,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.244640248,0.266281905,0.021641657,84.0000
mixtral-dev68,1,sim,idle,0.266281905,0.266282062,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.266282062,0.266426267,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.266426267,0.266426423,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.266426423,0.266428961,0.000002538,140.0000
mixtral-dev68,1,sim,idle,0.266428961,0.273378997,0.006950036,84.0000
mixtral-dev68,1,sim,attention,0.273378997,0.285686963,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.285686963,0.285687119,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.285687119,0.285831324,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.285831324,0.285831481,0.000000157,84.0000
