iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853136,1,0,GROUP_BY forward all2all,0.112664654,0.112664654,0.112666475
1,23375228853616,1,0,GROUP_BY forward all2all,0.114664923,0.114664923,0.114666745
1,23375228846416,1,0,AGGREGATE forward all2all,0.147648960,0.147648960,0.197001990
1,23375228846896,1,0,AGGREGATE forward all2all,0.149649230,0.149649230,0.174003091
1,23375228856976,1,1,GROUP_BY forward all2all,0.209661067,0.209661067,0.209662889
1,23375228857456,1,1,GROUP_BY forward all2all,0.209661067,0.209661067,0.209662889
1,23375228856016,1,1,AGGREGATE forward all2all,0.244645374,0.244645374,0.266281905
1,23375228856496,1,1,AGGREGATE forward all2all,0.244645374,0.244645374,0.273231941
1,23375228861776,1,2,GROUP_BY forward all2all,0.285873914,0.285873914,0.285875736
1,23375228862256,1,2,GROUP_BY forward all2all,0.285873914,0.285873914,0.285875736
1,23375228862736,1,2,AGGREGATE forward all2all,0.320873502,0.320873502,0.342369118
1,23375228863216,1,2,AGGREGATE forward all2all,0.320873502,0.320873502,0.342452364
1,23375228869456,1,3,GROUP_BY forward all2all,0.355094337,0.355094337,0.355096159
1,23375228869936,1,3,GROUP_BY forward all2all,0.355094337,0.355094337,0.355096159
1,23375228870896,1,3,AGGREGATE forward all2all,0.390093926,0.390093926,0.434212045
1,23375228870416,1,3,AGGREGATE forward all2all,0.390093926,0.390093926,0.437007401
1,23375228847136,1,0,AGGREGATE backward all2all,0.545324252,0.545324252,0.562654962
1,23375228846656,1,0,AGGREGATE backward all2all,0.550159225,0.550159225,0.572389789
1,23375228853856,1,0,GROUP_BY backward all2all,0.602866172,0.602866172,0.602867993
1,23375228853376,1,0,GROUP_BY backward all2all,0.612583256,0.612583256,0.612585078
1,23375228856256,1,1,AGGREGATE backward all2all,0.679496365,0.679496365,0.701005788
1,23375228856736,1,1,AGGREGATE backward all2all,0.683904116,0.683904116,0.705403945
1,23375228857216,1,1,GROUP_BY backward all2all,0.741197165,0.741197165,0.741198987
1,23375228857696,1,1,GROUP_BY backward all2all,0.745589555,0.745589555,0.745591377
1,23375228863456,1,2,AGGREGATE backward all2all,0.796879244,0.796879244,0.818328579
1,23375228862976,1,2,AGGREGATE backward all2all,0.800037545,0.800037545,0.822196049
1,23375228862496,1,2,GROUP_BY backward all2all,0.858514189,0.858514189,0.858516011
1,23375228862016,1,2,GROUP_BY backward all2all,0.862381660,0.862381660,0.862383481
1,23375228871136,1,3,AGGREGATE backward all2all,0.888728980,0.888728980,0.913002982
