iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853616,1,0,GROUP_BY forward all2all,0.113845778,0.113845778,0.113847624
1,23375228853136,1,0,GROUP_BY forward all2all,0.113845789,0.113845789,0.113847635
1,23375228846896,1,0,AGGREGATE forward all2all,0.154900662,0.154900662,0.210003857
1,23375228846416,1,0,AGGREGATE forward all2all,0.154900674,0.154900674,0.207013791
1,23375228856976,1,1,GROUP_BY forward all2all,0.222664291,0.222664291,0.222666137
1,23375228857456,1,1,GROUP_BY forward all2all,0.222664291,0.222664291,0.222666137
1,23375228856496,1,1,AGGREGATE forward all2all,0.263719175,0.263719175,0.280856875
1,23375228856016,1,1,AGGREGATE forward all2all,0.263719175,0.263719175,0.281118578
1,23375228862256,1,2,GROUP_BY forward all2all,0.293761908,0.293761908,0.293763754
1,23375228861776,1,2,GROUP_BY forward all2all,0.296817984,0.296817984,0.296819830
1,23375228863216,1,2,AGGREGATE forward all2all,0.334832051,0.334832051,0.364131589
1,23375228862736,1,2,AGGREGATE forward all2all,0.337888127,0.337888127,0.355702037
1,23375228869456,1,3,GROUP_BY forward all2all,0.388826293,0.388826293,0.388828139
1,23375228869936,1,3,GROUP_BY forward all2all,0.389046158,0.389046158,0.389048004
1,23375228870416,1,3,AGGREGATE forward all2all,0.429896435,0.429896435,0.451454063
1,23375228870896,1,3,AGGREGATE forward all2all,0.430116300,0.430116300,0.454008080
1,23375228847136,1,0,AGGREGATE backward all2all,0.592435870,0.592435870,0.614172800
1,23375228846656,1,0,AGGREGATE backward all2all,0.597702683,0.597702683,0.619004711
1,23375228853856,1,0,GROUP_BY backward all2all,0.660428964,0.660428964,0.660430810
1,23375228853376,1,0,GROUP_BY backward all2all,0.666436410,0.666436410,0.666438611
1,23375228856736,1,1,AGGREGATE backward all2all,0.734833197,0.734833197,0.751002568
1,23375228856256,1,1,AGGREGATE backward all2all,0.742562964,0.742562964,0.757270711
1,23375228857696,1,1,GROUP_BY backward all2all,0.797258732,0.797258732,0.797260578
1,23375228857216,1,1,GROUP_BY backward all2all,0.803526875,0.803526875,0.803529247
1,23375228863456,1,2,AGGREGATE backward all2all,0.845044879,0.845044879,0.860913735
1,23375228862976,1,2,AGGREGATE backward all2all,0.868837482,0.868837482,0.883511547
1,23375228862496,1,2,GROUP_BY backward all2all,0.907779964,0.907779964,0.907781810
1,23375228862016,1,2,GROUP_BY backward all2all,0.929767711,0.929767711,0.929770082
1,23375228870656,1,3,AGGREGATE backward all2all,0.969734379,0.969734379,0.984912233
1,23375228871136,1,3,AGGREGATE backward all2all,0.981591128,0.981591128,0.996509252
1,23375228869696,1,3,GROUP_BY backward all2all,1.031168396,1.031168396,1.031170242
1,23375228870176,1,3,GROUP_BY backward all2all,1.042765416,1.042765416,1.042767788
2,23375228853616,1,0,GROUP_BY forward all2all,1.286243959,1.286243959,1.286245805
2,23375228853136,1,0,GROUP_BY forward all2all,1.286243971,1.286243971,1.286245817
2,23375228846896,1,0,AGGREGATE forward all2all,1.327298844,1.327298844,1.382402039
2,23375228846416,1,0,AGGREGATE forward all2all,1.327298855,1.327298855,1.379411973
2,23375228856976,1,1,GROUP_BY forward all2all,1.395062473,1.395062473,1.395064319
2,23375228857456,1,1,GROUP_BY forward all2all,1.395062473,1.395062473,1.395064319
2,23375228856496,1,1,AGGREGATE forward all2all,1.436117357,1.436117357,1.453255056
2,23375228856016,1,1,AGGREGATE forward all2all,1.436117357,1.436117357,1.453516760
2,23375228862256,1,2,GROUP_BY forward all2all,1.466160090,1.466160090,1.466161936
2,23375228861776,1,2,GROUP_BY forward all2all,1.469216166,1.469216166,1.469218012
2,23375228863216,1,2,AGGREGATE forward all2all,1.507230232,1.507230232,1.536529771
2,23375228862736,1,2,AGGREGATE forward all2all,1.510286308,1.510286308,1.528100219
2,23375228869456,1,3,GROUP_BY forward all2all,1.561224475,1.561224475,1.561226321
2,23375228869936,1,3,GROUP_BY forward all2all,1.561444340,1.561444340,1.561446186
2,23375228870416,1,3,AGGREGATE forward all2all,1.602294617,1.602294617,1.623852245
2,23375228870896,1,3,AGGREGATE forward all2all,1.602514482,1.602514482,1.626406261
2,23375228847136,1,0,AGGREGATE backward all2all,1.764834052,1.764834052,1.786570982
2,23375228846656,1,0,AGGREGATE backward all2all,1.770100865,1.770100865,1.791402893
2,23375228853856,1,0,GROUP_BY backward all2all,1.832827146,1.832827146,1.832828992
2,23375228853376,1,0,GROUP_BY backward all2all,1.838834592,1.838834592,1.838836793
