model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev112,1,sim,idle,0.000000000,0.091207770,0.091207770,84.0000
mixtral-dev112,1,sim,attention,0.091207770,0.103515736,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.103515736,0.103515893,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.103515893,0.103660097,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.103660097,0.103660254,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.103660254,0.103662795,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.103662795,0.103662952,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.103662952,0.103701374,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.103701374,0.103702530,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.103702530,0.103702687,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.103702687,0.103719791,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.103719791,0.125269546,0.021549755,84.0000
mixtral-dev112,1,sim,experts,0.125269546,0.136111161,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.136111161,0.136895256,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.136895256,0.146546789,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.146546789,0.146771487,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.146771487,0.160229169,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.160229169,0.182699370,0.022470200,84.0000
mixtral-dev112,1,sim,idle,0.182699370,0.182699527,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.182699527,0.182843731,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.182843731,0.182843888,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.182843888,0.182846426,0.000002538,140.0000
mixtral-dev112,1,sim,idle,0.182846426,0.190416793,0.007570367,84.0000
mixtral-dev112,1,sim,attention,0.190416793,0.202724759,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.202724759,0.202724916,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.202724916,0.202869121,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.202869121,0.202869278,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.202869278,0.202871818,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.202871818,0.202871975,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.202871975,0.202910397,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.202910397,0.202911553,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.202911553,0.202911710,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.202911710,0.202928814,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.202928814,0.224452231,0.021523417,84.0000
mixtral-dev112,1,sim,experts,0.224452231,0.235293846,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.235293846,0.236077941,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.236077941,0.245729474,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.245729474,0.245954172,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.245954172,0.259411855,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.259411855,0.281389848,0.021977993,84.0000
mixtral-dev112,1,sim,idle,0.281389848,0.281390005,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.281390005,0.281534209,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.281534209,0.281534366,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.281534366,0.281536904,0.000002538,140.0000
mixtral-dev112,1,sim,attention,0.281536904,0.293844870,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.293844870,0.293845027,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.293845027,0.293989231,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.293989231,0.293989388,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.293989388,0.293991929,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.293991929,0.293992085,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.293992085,0.294030508,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.294030508,0.294031664,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.294031664,0.294031821,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.294031821,0.294048925,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.294048925,0.316281743,0.022232819,84.0000
mixtral-dev112,1,sim,experts,0.316281743,0.327123359,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.327123359,0.327907454,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.327907454,0.337558986,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.337558986,0.337783685,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.337783685,0.351241367,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.351241367,0.389265713,0.038024346,84.0000
mixtral-dev112,1,sim,idle,0.389265713,0.389265870,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.389265870,0.389410075,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.389410075,0.389410232,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.389410232,0.389412769,0.000002538,140.0000
mixtral-dev112,1,sim,attention,0.389412769,0.401720735,0.012307966,700.0000
mixtral-dev112,1,sim,idle,0.401720735,0.401720892,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.401720892,0.401865097,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.401865097,0.401865254,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.401865254,0.401867794,0.000002540,140.0000
mixtral-dev112,1,sim,idle,0.401867794,0.401867951,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.401867951,0.401906373,0.000038422,280.0000
mixtral-dev112,1,sim,idle,0.401906373,0.401907530,0.000001156,84.0000
mixtral-dev112,1,sim,idle,0.401907530,0.401907686,0.000000157,84.0000
mixtral-dev112,1,sim,gate,0.401907686,0.401924790,0.000017104,280.0000
mixtral-dev112,1,sim,idle,0.401924790,0.425003158,0.023078368,84.0000
mixtral-dev112,1,sim,experts,0.425003158,0.435844773,0.010841615,700.0000
mixtral-dev112,1,sim,idle,0.435844773,0.436628868,0.000784095,84.0000
mixtral-dev112,1,sim,experts,0.436628868,0.446280401,0.009651533,700.0000
mixtral-dev112,1,sim,idle,0.446280401,0.446505099,0.000224698,84.0000
mixtral-dev112,1,sim,experts,0.446505099,0.459962782,0.013457682,700.0000
mixtral-dev112,1,sim,idle,0.459962782,0.477701918,0.017739136,84.0000
mixtral-dev112,1,sim,idle,0.477701918,0.477702075,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.477702075,0.477846280,0.000144205,140.0000
mixtral-dev112,1,sim,idle,0.477846280,0.477846436,0.000000157,84.0000
mixtral-dev112,1,sim,addnorm,0.477846436,0.477848974,0.000002538,140.0000
mixtral-dev112,1,sim,idle,0.477848974,0.622575837,0.144726863,84.0000
