iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228853616,1,0,GROUP_BY forward all2all,0.103719791,0.103719791,0.125269546
1,23375228853136,1,0,GROUP_BY forward all2all,0.110921008,0.110921008,0.134004418
1,23375228846896,1,0,AGGREGATE forward all2all,0.160252030,0.160252030,0.182699370
1,23375228846416,1,0,AGGREGATE forward all2all,0.168986903,0.168986903,0.190269737
1,23375228856976,1,1,GROUP_BY forward all2all,0.202928814,0.202928814,0.219661087
1,23375228857456,1,1,GROUP_BY forward all2all,0.202928814,0.202928814,0.224452231
1,23375228856016,1,1,AGGREGATE forward all2all,0.254643571,0.254643571,0.281004552
1,23375228856496,1,1,AGGREGATE forward all2all,0.259434716,0.259434716,0.281389848
1,23375228862256,1,2,GROUP_BY forward all2all,0.294031821,0.294031821,0.316281743
1,23375228861776,1,2,GROUP_BY forward all2all,0.295648769,0.295648769,0.321005568
1,23375228863216,1,2,AGGREGATE forward all2all,0.351264228,0.351264228,0.389265713
1,23375228862736,1,2,AGGREGATE forward all2all,0.355988053,0.355988053,0.377232223
1,23375228869456,1,3,GROUP_BY forward all2all,0.401907686,0.401907686,0.423171126
1,23375228869936,1,3,GROUP_BY forward all2all,0.401907686,0.401907686,0.425003158
1,23375228870416,1,3,AGGREGATE forward all2all,0.458153611,0.458153611,0.482007172
1,23375228870896,1,3,AGGREGATE forward all2all,0.459985643,0.459985643,0.477701918
1,23375228847136,1,0,AGGREGATE backward all2all,0.622882070,0.622882070,0.644300930
1,23375228846656,1,0,AGGREGATE backward all2all,0.679303872,0.679303872,0.701010085
1,23375228853856,1,0,GROUP_BY backward all2all,0.684486540,0.684486540,0.706234306
1,23375228856736,1,1,AGGREGATE backward all2all,0.732540333,0.732540333,0.754587292
1,23375228853376,1,0,GROUP_BY backward all2all,0.741200740,0.741200740,0.763067324
1,23375228857696,1,1,GROUP_BY backward all2all,0.794772903,0.794772903,0.817315488
1,23375228856256,1,1,AGGREGATE backward all2all,0.826306894,0.826306894,0.842358612
1,23375228857216,1,1,GROUP_BY backward all2all,0.882544223,0.882544223,0.907001661
