model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev251,1,sim,idle,0.000000000,0.283157608,0.283157608,84.0000
mixtral-dev251,1,sim,attention,0.283157608,0.295465574,0.012307966,700.0000
mixtral-dev251,1,sim,idle,0.295465574,0.295465731,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.295465731,0.295609741,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.295609741,0.295609897,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.295609897,0.295612431,0.000002533,140.0000
mixtral-dev251,1,sim,idle,0.295612431,0.295612588,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.295612588,0.295649986,0.000037398,280.0000
mixtral-dev251,1,sim,idle,0.295649986,0.295651142,0.000001156,84.0000
mixtral-dev251,1,sim,idle,0.295651142,0.295651299,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.295651299,0.295668345,0.000017046,280.0000
mixtral-dev251,1,sim,idle,0.295668345,0.317516231,0.021847886,84.0000
mixtral-dev251,1,sim,experts,0.317516231,0.328355610,0.010839379,700.0000
mixtral-dev251,1,sim,idle,0.328355610,0.329139705,0.000784095,84.0000
mixtral-dev251,1,sim,experts,0.329139705,0.338791120,0.009651415,700.0000
mixtral-dev251,1,sim,idle,0.338791120,0.339015818,0.000224698,84.0000
mixtral-dev251,1,sim,experts,0.339015818,0.352496968,0.013481149,700.0000
mixtral-dev251,1,sim,idle,0.352496968,0.374259789,0.021762821,84.0000
mixtral-dev251,1,sim,idle,0.374259789,0.374259946,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.374259946,0.374403955,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.374403955,0.374404112,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.374404112,0.374406654,0.000002542,140.0000
mixtral-dev251,1,sim,idle,0.374406654,0.374406811,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.374406811,0.376000789,0.001593978,700.0000
mixtral-dev251,1,sim,idle,0.376000789,0.376113606,0.000112817,84.0000
mixtral-dev251,1,sim,experts,0.376113606,0.379121740,0.003008134,700.0000
mixtral-dev251,1,sim,idle,0.379121740,0.379234557,0.000112817,84.0000
mixtral-dev251,1,sim,addnorm,0.379234557,0.379236642,0.000002084,140.0000
mixtral-dev251,1,sim,idle,0.379236642,0.379236799,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.379236799,0.379529650,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.379529650,0.379529807,0.000000157,84.0000
mixtral-dev251,1,sim,idle,0.379529807,0.379529964,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.379529964,0.379533266,0.000003302,280.0000
mixtral-dev251,1,sim,idle,0.379533266,0.380863990,0.001330724,84.0000
mixtral-dev251,1,sim,attention,0.380863990,0.393171956,0.012307966,700.0000
mixtral-dev251,1,sim,idle,0.393171956,0.393172112,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.393172112,0.393316122,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.393316122,0.393316279,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.393316279,0.393318812,0.000002533,140.0000
mixtral-dev251,1,sim,idle,0.393318812,0.393318969,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.393318969,0.393356367,0.000037398,280.0000
mixtral-dev251,1,sim,idle,0.393356367,0.393357524,0.000001156,84.0000
mixtral-dev251,1,sim,idle,0.393357524,0.393357680,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.393357680,0.393374727,0.000017046,280.0000
mixtral-dev251,1,sim,idle,0.393374727,0.401880941,0.008506214,84.0000
mixtral-dev251,1,sim,gate,0.401880941,0.402059994,0.000179053,280.0000
mixtral-dev251,1,sim,idle,0.402059994,0.402060151,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.402060151,0.461548543,0.059488392,700.0000
mixtral-dev251,1,sim,idle,0.461548543,0.461773241,0.000224698,84.0000
mixtral-dev251,1,sim,experts,0.461773241,0.475254391,0.013481149,700.0000
mixtral-dev251,1,sim,idle,0.475254391,0.475254548,0.000000158,84.0000
mixtral-dev251,1,sim,idle,0.475254548,0.475254705,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.475254705,0.475347633,0.000092928,280.0000
mixtral-dev251,1,sim,idle,0.475347633,0.475348789,0.000001156,84.0000
mixtral-dev251,1,sim,addnorm,0.475348789,0.475350896,0.000002107,140.0000
mixtral-dev251,1,sim,idle,0.475350896,0.475351053,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.475351053,0.475643904,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.475643904,0.475644061,0.000000157,84.0000
mixtral-dev251,1,sim,attention,0.475644061,0.500259993,0.024615932,700.0000
mixtral-dev251,1,sim,idle,0.500259993,0.500260150,0.000000158,84.0000
mixtral-dev251,1,sim,addnorm,0.500260150,0.500404160,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.500404160,0.500404317,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.500404317,0.500406859,0.000002542,140.0000
mixtral-dev251,1,sim,idle,0.500406859,0.500407015,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.500407015,0.502000993,0.001593978,700.0000
mixtral-dev251,1,sim,idle,0.502000993,0.502113810,0.000112817,84.0000
mixtral-dev251,1,sim,experts,0.502113810,0.505121945,0.003008134,700.0000
mixtral-dev251,1,sim,idle,0.505121945,0.505234762,0.000112817,84.0000
mixtral-dev251,1,sim,addnorm,0.505234762,0.505236846,0.000002084,140.0000
mixtral-dev251,1,sim,idle,0.505236846,0.505237003,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.505237003,0.505529854,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.505529854,0.505530011,0.000000157,84.0000
mixtral-dev251,1,sim,idle,0.505530011,0.505530168,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.505530168,0.505533470,0.000003302,280.0000
mixtral-dev251,1,sim,idle,0.505533470,0.527642122,0.022108652,84.0000
mixtral-dev251,1,sim,gate,0.527642122,0.527821175,0.000179053,280.0000
mixtral-dev251,1,sim,idle,0.527821175,0.527821332,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.527821332,0.547039192,0.019217861,700.0000
mixtral-dev251,1,sim,idle,0.547039192,0.547263891,0.000224698,84.0000
mixtral-dev251,1,sim,experts,0.547263891,0.567043628,0.019779738,700.0000
mixtral-dev251,1,sim,attention,0.567043628,0.579351594,0.012307966,700.0000
mixtral-dev251,1,sim,idle,0.579351594,0.579351751,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.579351751,0.579495761,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.579495761,0.579495918,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.579495918,0.579498451,0.000002533,140.0000
mixtral-dev251,1,sim,idle,0.579498451,0.579498608,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.579498608,0.579536006,0.000037398,280.0000
mixtral-dev251,1,sim,idle,0.579536006,0.579537162,0.000001156,84.0000
mixtral-dev251,1,sim,idle,0.579537162,0.579537319,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.579537319,0.579554366,0.000017046,280.0000
mixtral-dev251,1,sim,idle,0.579554366,0.590962775,0.011408410,84.0000
mixtral-dev251,1,sim,idle,0.590962775,0.590962932,0.000000157,84.0000
mixtral-dev251,1,sim,idle,0.590962932,0.590963089,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.590963089,0.591056017,0.000092928,280.0000
mixtral-dev251,1,sim,idle,0.591056017,0.591057173,0.000001156,84.0000
mixtral-dev251,1,sim,addnorm,0.591057173,0.591059280,0.000002107,140.0000
mixtral-dev251,1,sim,idle,0.591059280,0.591059436,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.591059436,0.591352288,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.591352288,0.591352444,0.000000157,84.0000
mixtral-dev251,1,sim,attention,0.591352444,0.615968376,0.024615932,700.0000
mixtral-dev251,1,sim,experts,0.615968376,0.626807755,0.010839379,700.0000
mixtral-dev251,1,sim,idle,0.626807755,0.627591850,0.000784095,84.0000
mixtral-dev251,1,sim,experts,0.627591850,0.637243265,0.009651415,700.0000
mixtral-dev251,1,sim,idle,0.637243265,0.637467963,0.000224698,84.0000
mixtral-dev251,1,sim,experts,0.637467963,0.650949113,0.013481149,700.0000
mixtral-dev251,1,sim,idle,0.650949113,0.673005086,0.022055973,84.0000
mixtral-dev251,1,sim,idle,0.673005086,0.673005243,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.673005243,0.673149253,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.673149253,0.673149410,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.673149410,0.673151952,0.000002542,140.0000
mixtral-dev251,1,sim,idle,0.673151952,0.673152108,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.673152108,0.674746086,0.001593978,700.0000
mixtral-dev251,1,sim,idle,0.674746086,0.674858903,0.000112817,84.0000
mixtral-dev251,1,sim,experts,0.674858903,0.677867038,0.003008134,700.0000
mixtral-dev251,1,sim,idle,0.677867038,0.677979855,0.000112817,84.0000
mixtral-dev251,1,sim,addnorm,0.677979855,0.677981939,0.000002084,140.0000
mixtral-dev251,1,sim,idle,0.677981939,0.677982096,0.000000157,84.0000
mixtral-dev251,1,sim,addnorm,0.677982096,0.678274947,0.000292851,140.0000
mixtral-dev251,1,sim,idle,0.678274947,0.678275104,0.000000157,84.0000
mixtral-dev251,1,sim,idle,0.678275104,0.678275261,0.000000157,84.0000
mixtral-dev251,1,sim,gate,0.678275261,0.678278563,0.000003302,280.0000
mixtral-dev251,1,sim,idle,0.678278563,0.700452326,0.022173763,84.0000
mixtral-dev251,1,sim,gate,0.700452326,0.700631379,0.000179053,280.0000
mixtral-dev251,1,sim,idle,0.700631379,0.700631536,0.000000157,84.0000
mixtral-dev251,1,sim,experts,0.700631536,0.719849396,0.019217861,700.0000
mixtral-dev251,1,sim,attention,0.719849396,0.732157362,0.012307966,700.0000
mixtral-dev251,1,sim,experts,0.732157362,0.751937100,0.019779738,700.0000
mixtral-dev251,1,sim,addnorm,0.751937100,0.752081109,0.000144010,140.0000
mixtral-dev251,1,sim,idle,0.752081109,0.752081435,0.000000325,84.0000
mixtral-dev251,1,sim,addnorm,0.752081435,0.752083968,0.000002533,140.0000
mixtral-dev251,1,sim,idle,0.752083968,0.752084317,0.000000349,84.0000
mixtral-dev251,1,sim,gate,0.752084317,0.752121716,0.000037398,280.0000
mixtral-dev251,1,sim,idle,0.752121716,0.752125464,0.000003749,84.0000
mixtral-dev251,1,sim,idle,0.752125464,0.752126062,0.000000598,84.0000
mixtral-dev251,1,sim,gate,0.752126062,0.752143109,0.000017046,280.0000
mixtral-dev251,1,sim,idle,0.752143109,0.780345356,0.028202248,84.0000
mixtral-dev251,1,sim,experts,0.780345356,0.791184735,0.010839379,700.0000
