model,iteration,direction,phase,start_s,end_s,duration_s,power_w
mixtral-dev68,1,sim,idle,0.000000000,0.098408987,0.098408987,84.0000
mixtral-dev68,1,sim,attention,0.098408987,0.110716953,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.110716953,0.110717110,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.110717110,0.110861315,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.110861315,0.110861472,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.110861472,0.110864012,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.110864012,0.110864169,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.110864169,0.110902591,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.110902591,0.110903748,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.110903748,0.110903904,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.110903904,0.110921008,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.110921008,0.134004418,0.023083410,84.0000
mixtral-dev68,1,sim,experts,0.134004418,0.144844419,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.144844419,0.145628513,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.145628513,0.155279902,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.155279902,0.155504600,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.155504600,0.168981778,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.168981778,0.190269737,0.021287960,84.0000
mixtral-dev68,1,sim,idle,0.190269737,0.190269894,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.190269894,0.190414099,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.190414099,0.190414256,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.190414256,0.190416793,0.000002538,140.0000
mixtral-dev68,1,sim,attention,0.190416793,0.202724759,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.202724759,0.202724916,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.202724916,0.202869121,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.202869121,0.202869278,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.202869278,0.202871818,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.202871818,0.202871975,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.202871975,0.202910397,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.202910397,0.202911553,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.202911553,0.202911710,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.202911710,0.202928814,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.202928814,0.219661087,0.016732272,84.0000
mixtral-dev68,1,sim,experts,0.219661087,0.230501087,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.230501087,0.231285182,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.231285182,0.240936570,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.240936570,0.241161269,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.241161269,0.254638446,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.254638446,0.281004552,0.026366106,84.0000
mixtral-dev68,1,sim,idle,0.281004552,0.281004709,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.281004709,0.281148914,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.281148914,0.281149071,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.281149071,0.281151608,0.000002538,140.0000
mixtral-dev68,1,sim,idle,0.281151608,0.283153852,0.002002243,84.0000
mixtral-dev68,1,sim,attention,0.283153852,0.295461817,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.295461817,0.295461974,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.295461974,0.295606179,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.295606179,0.295606336,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.295606336,0.295608876,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.295608876,0.295609033,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.295609033,0.295647456,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.295647456,0.295648612,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.295648612,0.295648769,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.295648769,0.295665873,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.295665873,0.321005568,0.025339695,84.0000
mixtral-dev68,1,sim,experts,0.321005568,0.331845568,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.331845568,0.332629663,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.332629663,0.342281052,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.342281052,0.342505750,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.342505750,0.355982927,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.355982927,0.377232223,0.021249295,84.0000
mixtral-dev68,1,sim,idle,0.377232223,0.377232379,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.377232379,0.377376584,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.377376584,0.377376741,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.377376741,0.377379279,0.000002538,140.0000
mixtral-dev68,1,sim,idle,0.377379279,0.389412769,0.012033491,84.0000
mixtral-dev68,1,sim,attention,0.389412769,0.401720735,0.012307966,700.0000
mixtral-dev68,1,sim,idle,0.401720735,0.401720892,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.401720892,0.401865097,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.401865097,0.401865254,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.401865254,0.401867794,0.000002540,140.0000
mixtral-dev68,1,sim,idle,0.401867794,0.401867951,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.401867951,0.401906373,0.000038422,280.0000
mixtral-dev68,1,sim,idle,0.401906373,0.401907530,0.000001156,84.0000
mixtral-dev68,1,sim,idle,0.401907530,0.401907686,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.401907686,0.401924790,0.000017104,280.0000
mixtral-dev68,1,sim,idle,0.401924790,0.423171126,0.021246336,84.0000
mixtral-dev68,1,sim,experts,0.423171126,0.434011127,0.010840001,700.0000
mixtral-dev68,1,sim,idle,0.434011127,0.434795222,0.000784095,84.0000
mixtral-dev68,1,sim,experts,0.434795222,0.444446610,0.009651388,700.0000
mixtral-dev68,1,sim,idle,0.444446610,0.444671309,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.444671309,0.458148486,0.013477177,700.0000
mixtral-dev68,1,sim,idle,0.458148486,0.482007172,0.023858687,84.0000
mixtral-dev68,1,sim,idle,0.482007172,0.482007329,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.482007329,0.482151534,0.000144205,140.0000
mixtral-dev68,1,sim,idle,0.482151534,0.482151691,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.482151691,0.482154228,0.000002538,140.0000
mixtral-dev68,1,sim,idle,0.482154228,0.679008702,0.196854474,84.0000
mixtral-dev68,1,sim,addnorm,0.679008702,0.679010791,0.000002089,140.0000
mixtral-dev68,1,sim,idle,0.679010791,0.679010948,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.679010948,0.679303716,0.000292768,140.0000
mixtral-dev68,1,sim,idle,0.679303716,0.679303872,0.000000157,84.0000
mixtral-dev68,1,sim,idle,0.679303872,0.679304029,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.679304029,0.679307348,0.000003318,280.0000
mixtral-dev68,1,sim,idle,0.679307348,0.701010085,0.021702737,84.0000
mixtral-dev68,1,sim,gate,0.701010085,0.701189214,0.000179130,280.0000
mixtral-dev68,1,sim,idle,0.701189214,0.701189371,0.000000157,84.0000
mixtral-dev68,1,sim,experts,0.701189371,0.720407861,0.019218489,700.0000
mixtral-dev68,1,sim,idle,0.720407861,0.720637706,0.000229845,84.0000
mixtral-dev68,1,sim,experts,0.720637706,0.740416565,0.019778859,700.0000
mixtral-dev68,1,sim,idle,0.740416565,0.763067324,0.022650759,84.0000
mixtral-dev68,1,sim,idle,0.763067324,0.763067481,0.000000157,84.0000
mixtral-dev68,1,sim,idle,0.763067481,0.763067638,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.763067638,0.763160236,0.000092598,280.0000
mixtral-dev68,1,sim,idle,0.763160236,0.763161392,0.000001156,84.0000
mixtral-dev68,1,sim,addnorm,0.763161392,0.763163479,0.000002086,140.0000
mixtral-dev68,1,sim,idle,0.763163479,0.763163635,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.763163635,0.763456403,0.000292768,140.0000
mixtral-dev68,1,sim,idle,0.763456403,0.763456560,0.000000157,84.0000
mixtral-dev68,1,sim,attention,0.763456560,0.788072492,0.024615932,700.0000
mixtral-dev68,1,sim,idle,0.788072492,0.826011724,0.037939232,84.0000
mixtral-dev68,1,sim,addnorm,0.826011724,0.826013813,0.000002089,140.0000
mixtral-dev68,1,sim,idle,0.826013813,0.826013969,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.826013969,0.826306737,0.000292768,140.0000
mixtral-dev68,1,sim,idle,0.826306737,0.826306894,0.000000157,84.0000
mixtral-dev68,1,sim,idle,0.826306894,0.826307051,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.826307051,0.826310369,0.000003318,280.0000
mixtral-dev68,1,sim,idle,0.826310369,0.842358612,0.016048243,84.0000
mixtral-dev68,1,sim,gate,0.842358612,0.842537742,0.000179130,280.0000
mixtral-dev68,1,sim,idle,0.842537742,0.842537899,0.000000157,84.0000
mixtral-dev68,1,sim,experts,0.842537899,0.861756388,0.019218489,700.0000
mixtral-dev68,1,sim,idle,0.861756388,0.861981087,0.000224698,84.0000
mixtral-dev68,1,sim,experts,0.861981087,0.881759946,0.019778859,700.0000
mixtral-dev68,1,sim,idle,0.881759946,0.907001661,0.025241715,84.0000
mixtral-dev68,1,sim,idle,0.907001661,0.907001818,0.000000157,84.0000
mixtral-dev68,1,sim,idle,0.907001818,0.907001974,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.907001974,0.907094573,0.000092598,280.0000
mixtral-dev68,1,sim,idle,0.907094573,0.907095729,0.000001156,84.0000
mixtral-dev68,1,sim,addnorm,0.907095729,0.907097815,0.000002086,140.0000
mixtral-dev68,1,sim,idle,0.907097815,0.907097972,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.907097972,0.907390740,0.000292768,140.0000
mixtral-dev68,1,sim,idle,0.907390740,0.907390897,0.000000157,84.0000
mixtral-dev68,1,sim,attention,0.907390897,0.932006829,0.024615932,700.0000
mixtral-dev68,1,sim,idle,0.932006829,0.973012160,0.041005331,84.0000
mixtral-dev68,1,sim,addnorm,0.973012160,0.973014248,0.000002089,140.0000
mixtral-dev68,1,sim,idle,0.973014248,0.973014405,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,0.973014405,0.973307173,0.000292768,140.0000
mixtral-dev68,1,sim,idle,0.973307173,0.973307330,0.000000157,84.0000
mixtral-dev68,1,sim,idle,0.973307330,0.973307487,0.000000157,84.0000
mixtral-dev68,1,sim,gate,0.973307487,0.973310805,0.000003318,280.0000
mixtral-dev68,1,sim,idle,0.973310805,0.996001614,0.022690809,84.0000
mixtral-dev68,1,sim,gate,0.996001614,0.996180743,0.000179130,280.0000
mixtral-dev68,1,sim,idle,0.996180743,0.996180900,0.000000157,84.0000
mixtral-dev68,1,sim,experts,0.996180900,1.015399390,0.019218489,700.0000
mixtral-dev68,1,sim,idle,1.015399390,1.015624088,0.000224698,84.0000
mixtral-dev68,1,sim,experts,1.015624088,1.035402947,0.019778859,700.0000
mixtral-dev68,1,sim,idle,1.035402947,1.059003767,0.023600820,84.0000
mixtral-dev68,1,sim,idle,1.059003767,1.059003923,0.000000157,84.0000
mixtral-dev68,1,sim,idle,1.059003923,1.059004080,0.000000157,84.0000
mixtral-dev68,1,sim,gate,1.059004080,1.059096679,0.000092598,280.0000
mixtral-dev68,1,sim,idle,1.059096679,1.059097835,0.000001156,84.0000
mixtral-dev68,1,sim,addnorm,1.059097835,1.059099921,0.000002086,140.0000
mixtral-dev68,1,sim,idle,1.059099921,1.059100078,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,1.059100078,1.059392846,0.000292768,140.0000
mixtral-dev68,1,sim,idle,1.059392846,1.059393003,0.000000157,84.0000
mixtral-dev68,1,sim,attention,1.059393003,1.084008934,0.024615932,700.0000
mixtral-dev68,1,sim,idle,1.084008934,1.089405860,0.005396925,84.0000
mixtral-dev68,1,sim,addnorm,1.089405860,1.089407949,0.000002089,140.0000
mixtral-dev68,1,sim,idle,1.089407949,1.089408105,0.000000157,84.0000
mixtral-dev68,1,sim,addnorm,1.089408105,1.089700873,0.000292768,140.0000
mixtral-dev68,1,sim,idle,1.089700873,1.089701030,0.000000157,84.0000
mixtral-dev68,1,sim,idle,1.089701030,1.089701187,0.000000157,84.0000
mixtral-dev68,1,sim,gate,1.089701187,1.089704506,0.000003318,280.0000
mixtral-dev68,1,sim,idle,1.089704506,1.112007078,0.022302572,84.0000
mixtral-dev68,1,sim,gate,1.112007078,1.112186207,0.000179130,280.0000
mixtral-dev68,1,sim,idle,1.112186207,1.112186364,0.000000157,84.0000
mixtral-dev68,1,sim,experts,1.112186364,1.131404853,0.019218489,700.0000
mixtral-dev68,1,sim,idle,1.131404853,1.131629552,0.000224698,84.0000
mixtral-dev68,1,sim,experts,1.131629552,1.151408411,0.019778859,700.0000
mixtral-dev68,1,sim,idle,1.151408411,1.167641219,0.016232808,84.0000
mixtral-dev68,1,sim,idle,1.167641219,1.167641376,0.000000157,84.0000
mixtral-dev68,1,sim,idle,1.167641376,1.167641533,0.000000157,84.0000
mixtral-dev68,1,sim,gate,1.167641533,1.167734131,0.000092598,280.0000
