iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375228844016,3,0,GROUP_BY forward all2all,0.284230306,0.284230306,0.299042092
1,23375228849776,3,0,AGGREGATE forward all2all,0.340093539,0.340093539,0.358525924
1,23375228850016,3,0,AGGREGATE backward all2all,0.365144994,0.365144994,0.381350162
1,23375228844256,3,0,GROUP_BY backward all2all,0.427607971,0.427607971,0.442002696
1,23375228843536,3,0,GROUP_BY forward all2all,0.849305921,0.849305921,0.871078575
1,23375228849296,3,0,AGGREGATE forward all2all,0.912130022,0.912130022,0.934314621
1,23375228855536,3,1,GROUP_BY forward all2all,0.952363183,0.952363183,0.966995775
1,23375228849536,3,0,AGGREGATE backward all2all,0.952600544,0.952600544,0.987010019
1,23375228855056,3,1,GROUP_BY forward all2all,0.952658620,0.952658620,0.986765470
1,23375228859376,3,1,AGGREGATE forward all2all,1.008047222,1.008047222,1.026525530
1,23375228859616,3,1,AGGREGATE backward all2all,1.033144599,1.033144599,1.055192464
1,23375228843776,3,0,GROUP_BY backward all2all,1.051944194,1.051944194,1.078513668
1,23375228858896,3,1,AGGREGATE forward all2all,1.059917173,1.059917173,1.083008104
1,23375228855776,3,1,GROUP_BY backward all2all,1.101450272,1.101450272,1.115456396
1,23375228859136,3,1,AGGREGATE backward all2all,1.121806545,1.121806545,1.154059901
1,23375228865616,3,2,GROUP_BY forward all2all,1.121847574,1.121847574,1.153986783
1,23375228866096,3,2,GROUP_BY forward all2all,1.121937599,1.121937599,1.143172532
1,23375228867056,3,2,AGGREGATE forward all2all,1.187622025,1.187622025,1.210006931
1,23375228867296,3,2,AGGREGATE backward all2all,1.216626002,1.216626002,1.240003912
1,23375228855296,3,1,GROUP_BY backward all2all,1.219165507,1.219165507,1.244676777
1,23375228866576,3,2,AGGREGATE forward all2all,1.227138486,1.227138486,1.243714822
1,23375228866816,3,2,AGGREGATE backward all2all,1.286238492,1.286238492,1.319903785
1,23375228866336,3,2,GROUP_BY backward all2all,1.286261721,1.286261721,1.311175921
1,23375228842576,3,3,GROUP_BY forward all2all,1.286296568,1.286296568,1.327006194
1,23375228843056,3,3,GROUP_BY forward all2all,1.293268185,1.293268185,1.307410880
1,23375228848816,3,3,AGGREGATE forward all2all,1.367984641,1.367984641,1.385530486
1,23375228865856,3,2,GROUP_BY backward all2all,1.375428454,1.375428454,1.398336771
1,23375228849056,3,3,AGGREGATE backward all2all,1.392149552,1.392149552,1.414060186
1,23375228848336,3,3,AGGREGATE forward all2all,1.394932549,1.394932549,1.416261799
1,23375228848576,3,3,AGGREGATE backward all2all,1.429963346,1.429963346,1.447002662
1,23375228843296,3,3,GROUP_BY backward all2all,1.460317995,1.460317995,1.482530798
1,23375228842816,3,3,GROUP_BY backward all2all,1.493260470,1.493260470,1.515270794
2,23375228844016,3,0,GROUP_BY forward all2all,2.239100352,2.239100352,2.253912139
2,23375228849776,3,0,AGGREGATE forward all2all,2.294963586,2.294963586,2.313395970
2,23375228850016,3,0,AGGREGATE backward all2all,2.320015040,2.320015040,2.336220208
2,23375228844256,3,0,GROUP_BY backward all2all,2.382478017,2.382478017,2.396872742
2,23375228843536,3,0,GROUP_BY forward all2all,2.804175967,2.804175967,2.825948622
2,23375228849296,3,0,AGGREGATE forward all2all,2.867000068,2.867000068,2.889184667
