model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen-moe-14.3b,1,fwd,attention,0.000000000,0.024653903,0.024653903,700.0000
qwen-moe-14.3b,1,fwd,gate,0.024653903,0.024901996,0.000248093,280.0000
qwen-moe-14.3b,1,fwd,alltoall_1,0.024901996,0.374904533,0.350002537,84.0000
qwen-moe-14.3b,1,fwd,experts,0.374904533,0.400438250,0.025533718,700.0000
qwen-moe-14.3b,1,fwd,alltoall_2,0.400438250,0.750440787,0.350002537,84.0000
qwen-moe-14.3b,1,fwd,addnorm,0.750440787,0.750487887,0.000047100,140.0000
qwen-moe-14.3b,1,bwd,addnorm,0.750487887,0.750576778,0.000088891,140.0000
qwen-moe-14.3b,1,bwd,alltoall_2,0.750576778,1.100579315,0.350002537,84.0000
qwen-moe-14.3b,1,bwd,experts,1.100579315,1.114610667,0.014031352,700.0000
qwen-moe-14.3b,1,bwd,alltoall_1,1.114610667,1.464613204,0.350002537,84.0000
qwen-moe-14.3b,1,bwd,gate,1.464613204,1.464946822,0.000333618,280.0000
qwen-moe-14.3b,1,bwd,attention,1.464946822,1.514259203,0.049312381,700.0000
qwen-moe-14.3b,2,fwd,attention,1.514259203,1.538913106,0.024653903,700.0000
qwen-moe-14.3b,2,fwd,gate,1.538913106,1.539161199,0.000248093,280.0000
qwen-moe-14.3b,2,fwd,alltoall_1,1.539161199,1.889163736,0.350002537,84.0000
qwen-moe-14.3b,2,fwd,experts,1.889163736,1.914697454,0.025533718,700.0000
qwen-moe-14.3b,2,fwd,alltoall_2,1.914697454,2.264699991,0.350002537,84.0000
qwen-moe-14.3b,2,fwd,addnorm,2.264699991,2.264747090,0.000047100,140.0000
qwen-moe-14.3b,2,bwd,addnorm,2.264747090,2.264835981,0.000088891,140.0000
qwen-moe-14.3b,2,bwd,alltoall_2,2.264835981,2.614838518,0.350002537,84.0000
qwen-moe-14.3b,2,bwd,experts,2.614838518,2.628869870,0.014031352,700.0000
qwen-moe-14.3b,2,bwd,alltoall_1,2.628869870,2.978872407,0.350002537,84.0000
qwen-moe-14.3b,2,bwd,gate,2.978872407,2.979206026,0.000333618,280.0000
qwen-moe-14.3b,2,bwd,attention,2.979206026,3.028518407,0.049312381,700.0000
qwen-moe-14.3b,3,fwd,attention,3.028518407,3.053172310,0.024653903,700.0000
qwen-moe-14.3b,3,fwd,gate,3.053172310,3.053420402,0.000248093,280.0000
qwen-moe-14.3b,3,fwd,alltoall_1,3.053420402,3.403422939,0.350002537,84.0000
qwen-moe-14.3b,3,fwd,experts,3.403422939,3.428956657,0.025533718,700.0000
qwen-moe-14.3b,3,fwd,alltoall_2,3.428956657,3.778959194,0.350002537,84.0000
qwen-moe-14.3b,3,fwd,addnorm,3.778959194,3.779006293,0.000047100,140.0000
qwen-moe-14.3b,3,bwd,addnorm,3.779006293,3.779095185,0.000088891,140.0000
qwen-moe-14.3b,3,bwd,alltoall_2,3.779095185,4.129097722,0.350002537,84.0000
qwen-moe-14.3b,3,bwd,experts,4.129097722,4.143129074,0.014031352,700.0000
qwen-moe-14.3b,3,bwd,alltoall_1,4.143129074,4.493131611,0.350002537,84.0000
qwen-moe-14.3b,3,bwd,gate,4.493131611,4.493465229,0.000333618,280.0000
qwen-moe-14.3b,3,bwd,attention,4.493465229,4.542777610,0.049312381,700.0000
qwen-moe-14.3b,4,fwd,attention,4.542777610,4.567431513,0.024653903,700.0000
qwen-moe-14.3b,4,fwd,gate,4.567431513,4.567679606,0.000248093,280.0000
qwen-moe-14.3b,4,fwd,alltoall_1,4.567679606,4.917682143,0.350002537,84.0000
qwen-moe-14.3b,4,fwd,experts,4.917682143,4.943215860,0.025533718,700.0000
qwen-moe-14.3b,4,fwd,alltoall_2,4.943215860,5.293218397,0.350002537,84.0000
qwen-moe-14.3b,4,fwd,addnorm,5.293218397,5.293265497,0.000047100,140.0000
qwen-moe-14.3b,4,bwd,addnorm,5.293265497,5.293354388,0.000088891,140.0000
qwen-moe-14.3b,4,bwd,alltoall_2,5.293354388,5.643356925,0.350002537,84.0000
qwen-moe-14.3b,4,bwd,experts,5.643356925,5.657388277,0.014031352,700.0000
qwen-moe-14.3b,4,bwd,alltoall_1,5.657388277,6.007390814,0.350002537,84.0000
qwen-moe-14.3b,4,bwd,gate,6.007390814,6.007724432,0.000333618,280.0000
qwen-moe-14.3b,4,bwd,attention,6.007724432,6.057036814,0.049312381,700.0000
