model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen-moe-14.3b,1,fwd,attention,0.000000000,0.004109033,0.004109033,700.0000
qwen-moe-14.3b,1,fwd,gate,0.004109033,0.004200501,0.000091468,280.0000
qwen-moe-14.3b,1,fwd,alltoall_1,0.004200501,0.354203038,0.350002537,84.0000
qwen-moe-14.3b,1,fwd,experts,0.354203038,0.358431995,0.004228957,700.0000
qwen-moe-14.3b,1,fwd,alltoall_2,0.358431995,0.708434532,0.350002537,84.0000
qwen-moe-14.3b,1,fwd,addnorm,0.708434532,0.708442424,0.000007892,140.0000
qwen-moe-14.3b,1,bwd,addnorm,0.708442424,0.708457183,0.000014759,140.0000
qwen-moe-14.3b,1,bwd,alltoall_2,0.708457183,1.058459720,0.350002537,84.0000
qwen-moe-14.3b,1,bwd,experts,1.058459720,1.060798411,0.002338690,700.0000
qwen-moe-14.3b,1,bwd,alltoall_1,1.060798411,1.410800948,0.350002537,84.0000
qwen-moe-14.3b,1,bwd,gate,1.410800948,1.410951058,0.000150110,280.0000
qwen-moe-14.3b,1,bwd,attention,1.410951058,1.419169736,0.008218678,700.0000
qwen-moe-14.3b,2,fwd,attention,1.419169736,1.423278770,0.004109033,700.0000
qwen-moe-14.3b,2,fwd,gate,1.423278770,1.423370238,0.000091468,280.0000
qwen-moe-14.3b,2,fwd,alltoall_1,1.423370238,1.773372775,0.350002537,84.0000
qwen-moe-14.3b,2,fwd,experts,1.773372775,1.777601731,0.004228957,700.0000
qwen-moe-14.3b,2,fwd,alltoall_2,1.777601731,2.127604268,0.350002537,84.0000
qwen-moe-14.3b,2,fwd,addnorm,2.127604268,2.127612160,0.000007892,140.0000
qwen-moe-14.3b,2,bwd,addnorm,2.127612160,2.127626919,0.000014759,140.0000
qwen-moe-14.3b,2,bwd,alltoall_2,2.127626919,2.477629456,0.350002537,84.0000
qwen-moe-14.3b,2,bwd,experts,2.477629456,2.479968147,0.002338690,700.0000
qwen-moe-14.3b,2,bwd,alltoall_1,2.479968147,2.829970684,0.350002537,84.0000
qwen-moe-14.3b,2,bwd,gate,2.829970684,2.830120794,0.000150110,280.0000
qwen-moe-14.3b,2,bwd,attention,2.830120794,2.838339472,0.008218678,700.0000
qwen-moe-14.3b,3,fwd,attention,2.838339472,2.842448506,0.004109033,700.0000
qwen-moe-14.3b,3,fwd,gate,2.842448506,2.842539974,0.000091468,280.0000
qwen-moe-14.3b,3,fwd,alltoall_1,2.842539974,3.192542511,0.350002537,84.0000
qwen-moe-14.3b,3,fwd,experts,3.192542511,3.196771467,0.004228957,700.0000
qwen-moe-14.3b,3,fwd,alltoall_2,3.196771467,3.546774004,0.350002537,84.0000
qwen-moe-14.3b,3,fwd,addnorm,3.546774004,3.546781897,0.000007892,140.0000
qwen-moe-14.3b,3,bwd,addnorm,3.546781897,3.546796655,0.000014759,140.0000
qwen-moe-14.3b,3,bwd,alltoall_2,3.546796655,3.896799192,0.350002537,84.0000
qwen-moe-14.3b,3,bwd,experts,3.896799192,3.899137883,0.002338690,700.0000
qwen-moe-14.3b,3,bwd,alltoall_1,3.899137883,4.249140420,0.350002537,84.0000
qwen-moe-14.3b,3,bwd,gate,4.249140420,4.249290530,0.000150110,280.0000
qwen-moe-14.3b,3,bwd,attention,4.249290530,4.257509208,0.008218678,700.0000
qwen-moe-14.3b,4,fwd,attention,4.257509208,4.261618242,0.004109033,700.0000
qwen-moe-14.3b,4,fwd,gate,4.261618242,4.261709710,0.000091468,280.0000
qwen-moe-14.3b,4,fwd,alltoall_1,4.261709710,4.611712247,0.350002537,84.0000
qwen-moe-14.3b,4,fwd,experts,4.611712247,4.615941203,0.004228957,700.0000
qwen-moe-14.3b,4,fwd,alltoall_2,4.615941203,4.965943740,0.350002537,84.0000
qwen-moe-14.3b,4,fwd,addnorm,4.965943740,4.965951633,0.000007892,140.0000
qwen-moe-14.3b,4,bwd,addnorm,4.965951633,4.965966391,0.000014759,140.0000
qwen-moe-14.3b,4,bwd,alltoall_2,4.965966391,5.315968928,0.350002537,84.0000
qwen-moe-14.3b,4,bwd,experts,5.315968928,5.318307619,0.002338690,700.0000
qwen-moe-14.3b,4,bwd,alltoall_1,5.318307619,5.668310156,0.350002537,84.0000
qwen-moe-14.3b,4,bwd,gate,5.668310156,5.668460266,0.000150110,280.0000
qwen-moe-14.3b,4,bwd,attention,5.668460266,5.676678944,0.008218678,700.0000
qwen-moe-14.3b,5,fwd,attention,5.676678944,5.680787978,0.004109033,700.0000
qwen-moe-14.3b,5,fwd,gate,5.680787978,5.680879446,0.000091468,280.0000
qwen-moe-14.3b,5,fwd,alltoall_1,5.680879446,6.030881983,0.350002537,84.0000
qwen-moe-14.3b,5,fwd,experts,6.030881983,6.035110939,0.004228957,700.0000
qwen-moe-14.3b,5,fwd,alltoall_2,6.035110939,6.385113476,0.350002537,84.0000
qwen-moe-14.3b,5,fwd,addnorm,6.385113476,6.385121369,0.000007892,140.0000
qwen-moe-14.3b,5,bwd,addnorm,6.385121369,6.385136128,0.000014759,140.0000
qwen-moe-14.3b,5,bwd,alltoall_2,6.385136128,6.735138665,0.350002537,84.0000
qwen-moe-14.3b,5,bwd,experts,6.735138665,6.737477355,0.002338690,700.0000
qwen-moe-14.3b,5,bwd,alltoall_1,6.737477355,7.087479892,0.350002537,84.0000
qwen-moe-14.3b,5,bwd,gate,7.087479892,7.087630002,0.000150110,280.0000
qwen-moe-14.3b,5,bwd,attention,7.087630002,7.095848681,0.008218678,700.0000
qwen-moe-14.3b,6,fwd,attention,7.095848681,7.099957714,0.004109033,700.0000
qwen-moe-14.3b,6,fwd,gate,7.099957714,7.100049182,0.000091468,280.0000
qwen-moe-14.3b,6,fwd,alltoall_1,7.100049182,7.450051719,0.350002537,84.0000
qwen-moe-14.3b,6,fwd,experts,7.450051719,7.454280676,0.004228957,700.0000
qwen-moe-14.3b,6,fwd,alltoall_2,7.454280676,7.804283213,0.350002537,84.0000
qwen-moe-14.3b,6,fwd,addnorm,7.804283213,7.804291105,0.000007892,140.0000
qwen-moe-14.3b,6,bwd,addnorm,7.804291105,7.804305864,0.000014759,140.0000
qwen-moe-14.3b,6,bwd,alltoall_2,7.804305864,8.154308401,0.350002537,84.0000
qwen-moe-14.3b,6,bwd,experts,8.154308401,8.156647091,0.002338690,700.0000
qwen-moe-14.3b,6,bwd,alltoall_1,8.156647091,8.506649628,0.350002537,84.0000
qwen-moe-14.3b,6,bwd,gate,8.506649628,8.506799739,0.000150110,280.0000
