model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen_moe_14.3b-coldest,1,fwd,attention,0.000000000,0.004109033,0.004109033,700.0000
qwen_moe_14.3b-coldest,1,fwd,gate,0.004109033,0.004200501,0.000091468,280.0000
qwen_moe_14.3b-coldest,1,fwd,alltoall_1,0.004200501,0.354203038,0.350002537,84.0000
qwen_moe_14.3b-coldest,1,fwd,experts,0.354203038,0.355677004,0.001473966,700.0000
qwen_moe_14.3b-coldest,1,fwd,alltoall_2,0.355677004,0.705679541,0.350002537,84.0000
qwen_moe_14.3b-coldest,1,fwd,addnorm,0.705679541,0.705687434,0.000007892,140.0000
qwen_moe_14.3b-coldest,1,bwd,addnorm,0.705687434,0.705702192,0.000014759,140.0000
qwen_moe_14.3b-coldest,1,bwd,alltoall_2,0.705702192,1.055704729,0.350002537,84.0000
qwen_moe_14.3b-coldest,1,bwd,experts,1.055704729,1.056519860,0.000815130,700.0000
qwen_moe_14.3b-coldest,1,bwd,alltoall_1,1.056519860,1.406522397,0.350002537,84.0000
qwen_moe_14.3b-coldest,1,bwd,gate,1.406522397,1.406672507,0.000150110,280.0000
qwen_moe_14.3b-coldest,1,bwd,attention,1.406672507,1.414891185,0.008218678,700.0000
qwen_moe_14.3b-coldest,2,fwd,attention,1.414891185,1.419000219,0.004109033,700.0000
qwen_moe_14.3b-coldest,2,fwd,gate,1.419000219,1.419091687,0.000091468,280.0000
qwen_moe_14.3b-coldest,2,fwd,alltoall_1,1.419091687,1.769094224,0.350002537,84.0000
qwen_moe_14.3b-coldest,2,fwd,experts,1.769094224,1.770568189,0.001473966,700.0000
qwen_moe_14.3b-coldest,2,fwd,alltoall_2,1.770568189,2.120570726,0.350002537,84.0000
qwen_moe_14.3b-coldest,2,fwd,addnorm,2.120570726,2.120578619,0.000007892,140.0000
qwen_moe_14.3b-coldest,2,bwd,addnorm,2.120578619,2.120593378,0.000014759,140.0000
qwen_moe_14.3b-coldest,2,bwd,alltoall_2,2.120593378,2.470595915,0.350002537,84.0000
qwen_moe_14.3b-coldest,2,bwd,experts,2.470595915,2.471411045,0.000815130,700.0000
qwen_moe_14.3b-coldest,2,bwd,alltoall_1,2.471411045,2.821413582,0.350002537,84.0000
qwen_moe_14.3b-coldest,2,bwd,gate,2.821413582,2.821563692,0.000150110,280.0000
qwen_moe_14.3b-coldest,2,bwd,attention,2.821563692,2.829782370,0.008218678,700.0000
qwen_moe_14.3b-coldest,3,fwd,attention,2.829782370,2.833891404,0.004109033,700.0000
qwen_moe_14.3b-coldest,3,fwd,gate,2.833891404,2.833982872,0.000091468,280.0000
qwen_moe_14.3b-coldest,3,fwd,alltoall_1,2.833982872,3.183985409,0.350002537,84.0000
qwen_moe_14.3b-coldest,3,fwd,experts,3.183985409,3.185459374,0.001473966,700.0000
qwen_moe_14.3b-coldest,3,fwd,alltoall_2,3.185459374,3.535461911,0.350002537,84.0000
qwen_moe_14.3b-coldest,3,fwd,addnorm,3.535461911,3.535469804,0.000007892,140.0000
qwen_moe_14.3b-coldest,3,bwd,addnorm,3.535469804,3.535484563,0.000014759,140.0000
qwen_moe_14.3b-coldest,3,bwd,alltoall_2,3.535484563,3.885487100,0.350002537,84.0000
qwen_moe_14.3b-coldest,3,bwd,experts,3.885487100,3.886302230,0.000815130,700.0000
qwen_moe_14.3b-coldest,3,bwd,alltoall_1,3.886302230,4.236304767,0.350002537,84.0000
qwen_moe_14.3b-coldest,3,bwd,gate,4.236304767,4.236454877,0.000150110,280.0000
qwen_moe_14.3b-coldest,3,bwd,attention,4.236454877,4.244673555,0.008218678,700.0000
qwen_moe_14.3b-coldest,4,fwd,attention,4.244673555,4.248782589,0.004109033,700.0000
qwen_moe_14.3b-coldest,4,fwd,gate,4.248782589,4.248874057,0.000091468,280.0000
qwen_moe_14.3b-coldest,4,fwd,alltoall_1,4.248874057,4.598876594,0.350002537,84.0000
qwen_moe_14.3b-coldest,4,fwd,experts,4.598876594,4.600350560,0.001473966,700.0000
qwen_moe_14.3b-coldest,4,fwd,alltoall_2,4.600350560,4.950353097,0.350002537,84.0000
qwen_moe_14.3b-coldest,4,fwd,addnorm,4.950353097,4.950360989,0.000007892,140.0000
qwen_moe_14.3b-coldest,4,bwd,addnorm,4.950360989,4.950375748,0.000014759,140.0000
qwen_moe_14.3b-coldest,4,bwd,alltoall_2,4.950375748,5.300378285,0.350002537,84.0000
qwen_moe_14.3b-coldest,4,bwd,experts,5.300378285,5.301193415,0.000815130,700.0000
qwen_moe_14.3b-coldest,4,bwd,alltoall_1,5.301193415,5.651195952,0.350002537,84.0000
qwen_moe_14.3b-coldest,4,bwd,gate,5.651195952,5.651346062,0.000150110,280.0000
qwen_moe_14.3b-coldest,4,bwd,attention,5.651346062,5.659564741,0.008218678,700.0000
qwen_moe_14.3b-coldest,5,fwd,attention,5.659564741,5.663673774,0.004109033,700.0000
qwen_moe_14.3b-coldest,5,fwd,gate,5.663673774,5.663765242,0.000091468,280.0000
qwen_moe_14.3b-coldest,5,fwd,alltoall_1,5.663765242,6.013767779,0.350002537,84.0000
qwen_moe_14.3b-coldest,5,fwd,experts,6.013767779,6.015241745,0.001473966,700.0000
qwen_moe_14.3b-coldest,5,fwd,alltoall_2,6.015241745,6.365244282,0.350002537,84.0000
qwen_moe_14.3b-coldest,5,fwd,addnorm,6.365244282,6.365252174,0.000007892,140.0000
qwen_moe_14.3b-coldest,5,bwd,addnorm,6.365252174,6.365266933,0.000014759,140.0000
qwen_moe_14.3b-coldest,5,bwd,alltoall_2,6.365266933,6.715269470,0.350002537,84.0000
qwen_moe_14.3b-coldest,5,bwd,experts,6.715269470,6.716084600,0.000815130,700.0000
qwen_moe_14.3b-coldest,5,bwd,alltoall_1,6.716084600,7.066087137,0.350002537,84.0000
