model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen_moe_14.3b-hottest,1,fwd,attention,0.000000000,0.004109033,0.004109033,700.0000
qwen_moe_14.3b-hottest,1,fwd,gate,0.004109033,0.004200501,0.000091468,280.0000
qwen_moe_14.3b-hottest,1,fwd,alltoall_1,0.004200501,0.354203038,0.350002537,84.0000
qwen_moe_14.3b-hottest,1,fwd,experts,0.354203038,0.363862735,0.009659697,700.0000
qwen_moe_14.3b-hottest,1,fwd,alltoall_2,0.363862735,0.713865272,0.350002537,84.0000
qwen_moe_14.3b-hottest,1,fwd,addnorm,0.713865272,0.713873164,0.000007892,140.0000
qwen_moe_14.3b-hottest,1,bwd,addnorm,0.713873164,0.713887923,0.000014759,140.0000
qwen_moe_14.3b-hottest,1,bwd,alltoall_2,0.713887923,1.063890460,0.350002537,84.0000
qwen_moe_14.3b-hottest,1,bwd,experts,1.063890460,1.069232449,0.005341989,700.0000
qwen_moe_14.3b-hottest,1,bwd,alltoall_1,1.069232449,1.419234986,0.350002537,84.0000
qwen_moe_14.3b-hottest,1,bwd,gate,1.419234986,1.419385097,0.000150110,280.0000
qwen_moe_14.3b-hottest,1,bwd,attention,1.419385097,1.427603775,0.008218678,700.0000
qwen_moe_14.3b-hottest,2,fwd,attention,1.427603775,1.431712808,0.004109033,700.0000
qwen_moe_14.3b-hottest,2,fwd,gate,1.431712808,1.431804276,0.000091468,280.0000
qwen_moe_14.3b-hottest,2,fwd,alltoall_1,1.431804276,1.781806813,0.350002537,84.0000
qwen_moe_14.3b-hottest,2,fwd,experts,1.781806813,1.791466510,0.009659697,700.0000
qwen_moe_14.3b-hottest,2,fwd,alltoall_2,1.791466510,2.141469047,0.350002537,84.0000
qwen_moe_14.3b-hottest,2,fwd,addnorm,2.141469047,2.141476939,0.000007892,140.0000
qwen_moe_14.3b-hottest,2,bwd,addnorm,2.141476939,2.141491698,0.000014759,140.0000
qwen_moe_14.3b-hottest,2,bwd,alltoall_2,2.141491698,2.491494235,0.350002537,84.0000
qwen_moe_14.3b-hottest,2,bwd,experts,2.491494235,2.496836224,0.005341989,700.0000
qwen_moe_14.3b-hottest,2,bwd,alltoall_1,2.496836224,2.846838761,0.350002537,84.0000
qwen_moe_14.3b-hottest,2,bwd,gate,2.846838761,2.846988872,0.000150110,280.0000
qwen_moe_14.3b-hottest,2,bwd,attention,2.846988872,2.855207550,0.008218678,700.0000
qwen_moe_14.3b-hottest,3,fwd,attention,2.855207550,2.859316583,0.004109033,700.0000
