model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen_moe_14.3b-median,1,fwd,attention,0.000000000,0.004109033,0.004109033,700.0000
qwen_moe_14.3b-median,1,fwd,gate,0.004109033,0.004200501,0.000091468,280.0000
qwen_moe_14.3b-median,1,fwd,alltoall_1,0.004200501,0.354203038,0.350002537,84.0000
qwen_moe_14.3b-median,1,fwd,experts,0.354203038,0.358134130,0.003931092,700.0000
qwen_moe_14.3b-median,1,fwd,alltoall_2,0.358134130,0.708136667,0.350002537,84.0000
qwen_moe_14.3b-median,1,fwd,addnorm,0.708136667,0.708144560,0.000007892,140.0000
qwen_moe_14.3b-median,1,bwd,addnorm,0.708144560,0.708159318,0.000014759,140.0000
qwen_moe_14.3b-median,1,bwd,alltoall_2,0.708159318,1.058161855,0.350002537,84.0000
qwen_moe_14.3b-median,1,bwd,experts,1.058161855,1.060335821,0.002173966,700.0000
qwen_moe_14.3b-median,1,bwd,alltoall_1,1.060335821,1.410338358,0.350002537,84.0000
qwen_moe_14.3b-median,1,bwd,gate,1.410338358,1.410488469,0.000150110,280.0000
qwen_moe_14.3b-median,1,bwd,attention,1.410488469,1.418707147,0.008218678,700.0000
qwen_moe_14.3b-median,2,fwd,attention,1.418707147,1.422816180,0.004109033,700.0000
qwen_moe_14.3b-median,2,fwd,gate,1.422816180,1.422907648,0.000091468,280.0000
qwen_moe_14.3b-median,2,fwd,alltoall_1,1.422907648,1.772910185,0.350002537,84.0000
qwen_moe_14.3b-median,2,fwd,experts,1.772910185,1.776841277,0.003931092,700.0000
qwen_moe_14.3b-median,2,fwd,alltoall_2,1.776841277,2.126843814,0.350002537,84.0000
qwen_moe_14.3b-median,2,fwd,addnorm,2.126843814,2.126851706,0.000007892,140.0000
qwen_moe_14.3b-median,2,bwd,addnorm,2.126851706,2.126866465,0.000014759,140.0000
qwen_moe_14.3b-median,2,bwd,alltoall_2,2.126866465,2.476869002,0.350002537,84.0000
qwen_moe_14.3b-median,2,bwd,experts,2.476869002,2.479042968,0.002173966,700.0000
qwen_moe_14.3b-median,2,bwd,alltoall_1,2.479042968,2.829045505,0.350002537,84.0000
qwen_moe_14.3b-median,2,bwd,gate,2.829045505,2.829195615,0.000150110,280.0000
qwen_moe_14.3b-median,2,bwd,attention,2.829195615,2.837414293,0.008218678,700.0000
qwen_moe_14.3b-median,3,fwd,attention,2.837414293,2.841523327,0.004109033,700.0000
qwen_moe_14.3b-median,3,fwd,gate,2.841523327,2.841614795,0.000091468,280.0000
qwen_moe_14.3b-median,3,fwd,alltoall_1,2.841614795,3.191617332,0.350002537,84.0000
qwen_moe_14.3b-median,3,fwd,experts,3.191617332,3.195548424,0.003931092,700.0000
qwen_moe_14.3b-median,3,fwd,alltoall_2,3.195548424,3.545550961,0.350002537,84.0000
qwen_moe_14.3b-median,3,fwd,addnorm,3.545550961,3.545558853,0.000007892,140.0000
qwen_moe_14.3b-median,3,bwd,addnorm,3.545558853,3.545573612,0.000014759,140.0000
qwen_moe_14.3b-median,3,bwd,alltoall_2,3.545573612,3.895576149,0.350002537,84.0000
qwen_moe_14.3b-median,3,bwd,experts,3.895576149,3.897750115,0.002173966,700.0000
qwen_moe_14.3b-median,3,bwd,alltoall_1,3.897750115,4.247752652,0.350002537,84.0000
qwen_moe_14.3b-median,3,bwd,gate,4.247752652,4.247902762,0.000150110,280.0000
qwen_moe_14.3b-median,3,bwd,attention,4.247902762,4.256121440,0.008218678,700.0000
qwen_moe_14.3b-median,4,fwd,attention,4.256121440,4.260230474,0.004109033,700.0000
qwen_moe_14.3b-median,4,fwd,gate,4.260230474,4.260321942,0.000091468,280.0000
qwen_moe_14.3b-median,4,fwd,alltoall_1,4.260321942,4.610324479,0.350002537,84.0000
qwen_moe_14.3b-median,4,fwd,experts,4.610324479,4.614255570,0.003931092,700.0000
qwen_moe_14.3b-median,4,fwd,alltoall_2,4.614255570,4.964258107,0.350002537,84.0000
