
 STORAGE COMPLETE FOR  16530 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83      0.1000E-002  58.10       5.506     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:10  SEP 25, 2026 CP=   8798.157

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   54.8296     
   0.19992E-02   54.8296     
   0.29984E-02   54.8296     
   0.39977E-02   54.8296     
   0.49969E-02   54.8296     
   0.59961E-02   54.8296     
   0.69953E-02   54.8296     
   0.79945E-02   54.8296     
   0.89937E-02   54.8296     
   0.99930E-02   54.8296     
   0.10992E-01   54.8296     
   0.11991E-01   54.8296     
   0.12991E-01   54.8296     
   0.13990E-01   54.8296     
   0.14989E-01   54.8296     
   0.15988E-01   54.8296     
   0.16987E-01   54.8296     
   0.17987E-01   54.8296     
   0.18986E-01   54.8296     
   0.19985E-01   54.8296     
   0.20984E-01   54.8296     
   0.21984E-01   54.8296     
   0.22983E-01   54.8296     
   0.23982E-01   54.8296     
   0.24981E-01   54.8296     
   0.25980E-01   54.8296     
   0.26980E-01   54.8296     
   0.27979E-01   54.8296     
   0.28978E-01   54.8296     
   0.29977E-01   54.8296     
   0.30977E-01   54.8296     
   0.31976E-01   54.8296     
   0.32975E-01   54.8296     
   0.33974E-01   54.8296     
   0.34973E-01   54.8296     
   0.35973E-01   54.8296     
   0.36972E-01   54.8296     
   0.37971E-01   54.8296     
   0.38970E-01   54.8296     
   0.39970E-01   54.8296     
   0.40969E-01   54.8296     
   0.41968E-01   54.8296     
   0.42967E-01   54.8296     
   0.43966E-01   54.8296     
   0.44966E-01   54.8296     
   0.45965E-01   54.8296     
   0.46964E-01   54.8296     
   0.47963E-01   54.8296     
   0.48962E-01   54.8296     
   0.49962E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:10  SEP 25, 2026 CP=   8798.157

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.50961E-01   54.8296     
   0.51960E-01   54.8296     
   0.52959E-01   54.8296     
   0.53959E-01   54.8296     
   0.54958E-01   54.8296     
   0.55957E-01   54.8296     
   0.56956E-01   54.8296     
   0.57955E-01   54.8296     
   0.58955E-01   54.8296     
   0.59954E-01   54.8296     
   0.60953E-01   54.8296     
   0.61952E-01   54.8296     
   0.62952E-01   54.8296     
   0.63951E-01   54.8296     
   0.64950E-01   54.8296     
   0.65949E-01   54.8296     
   0.66948E-01   54.8296     
   0.67948E-01   54.8296     
   0.68947E-01   54.8296     
   0.69946E-01   54.8296     
   0.70945E-01   54.8296     
   0.71945E-01   54.8296     
   0.72944E-01   54.8296     
   0.73943E-01   54.8296     
   0.74942E-01   54.8296     
   0.75941E-01   54.8296     
   0.76941E-01   54.8296     
   0.77940E-01   54.8296     
   0.78939E-01   54.8296     
   0.79938E-01   54.8296     
   0.80937E-01   54.8296     
   0.81937E-01   54.8296     
   0.82936E-01   54.8296     
   0.83935E-01   54.8296     
   0.84934E-01   54.8296     
   0.85934E-01   54.8296     
   0.86933E-01   54.8296     
   0.87932E-01   54.8296     
   0.88931E-01   54.8296     
   0.89930E-01   54.8296     
   0.90930E-01   54.8296     
   0.91929E-01   54.8296     
   0.92928E-01   54.8296     
   0.93927E-01   54.8296     
   0.94927E-01   54.8296     
   0.95926E-01   54.8296     
   0.96925E-01   54.8296     
   0.97924E-01   54.8296     
   0.98923E-01   54.8296     
   0.99923E-01   54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:10  SEP 25, 2026 CP=   8798.157

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10092       54.8296     
   0.10192       54.8296     
   0.10292       54.8296     
   0.10392       54.8296     
   0.10492       54.8296     
   0.10592       54.8296     
   0.10692       54.8296     
   0.10792       54.8296     
   0.10892       54.8296     
   0.10991       54.8296     
   0.11091       54.8296     
   0.11191       54.8296     
   0.11291       54.8296     
   0.11391       54.8296     
   0.11491       54.8296     
   0.11591       54.8296     
   0.11691       54.8296     
   0.11791       54.8296     
   0.11891       54.8296     
   0.11991       54.8296     
   0.12091       54.8296     
   0.12191       54.8296     
   0.12290       54.8296     
   0.12390       54.8296     
   0.12490       54.8296     
   0.12590       54.8296     
   0.12690       54.8296     
   0.12790       54.8296     
   0.12890       54.8296     
   0.12990       54.8296     
   0.13090       54.8296     
   0.13190       54.8296     
   0.13290       54.8296     
   0.13390       54.8296     
   0.13490       54.8296     
   0.13589       54.8296     
   0.13689       54.8296     
   0.13789       54.8296     
   0.13889       54.8296     
   0.13989       54.8296     
   0.14089       54.8296     
   0.14189       54.8296     
   0.14289       54.8296     
   0.14389       54.8296     
   0.14489       54.8296     
   0.14589       54.8296     
   0.14689       54.8296     
   0.14789       54.8296     
   0.14888       54.8296     
   0.14988       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:10  SEP 25, 2026 CP=   8798.157

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.15088       54.8296     
   0.15188       54.8296     
   0.15288       54.8296     
   0.15388       54.8296     
   0.15488       54.8296     
   0.15588       54.8296     
   0.15688       54.8296     
   0.15788       54.8296     
   0.15888       54.8296     
   0.15988       54.8296     
   0.16087       54.8296     
   0.16187       54.8296     
   0.16287       54.8296     
   0.16387       54.8296     
   0.16487       54.8296     
   0.16587       54.8296     
   0.16687       54.8296     
   0.16787       54.8296     
   0.16887       54.8296     
   0.16987       54.8296     
   0.17087       54.8296     
   0.17187       54.8296     
   0.17287       54.8296     
   0.17386       54.8296     
   0.17486       54.8296     
   0.17586       54.8296     
   0.17686       54.8296     
   0.17786       54.8296     
   0.17886       54.8296     
   0.17986       54.8296     
   0.18086       54.8296     
   0.18186       54.8296     
   0.18286       54.8296     
   0.18386       54.8296     
   0.18486       54.8296     
   0.18586       54.8296     
   0.18685       54.8296     
   0.18785       54.8296     
   0.18885       54.8296     
   0.18985       54.8296     
   0.19085       54.8296     
   0.19185       54.8296     
   0.19285       54.8296     
   0.19385       54.8296     
   0.19485       54.8296     
   0.19585       54.8296     
   0.19685       54.8296     
   0.19785       54.8296     
   0.19885       54.8296     
   0.19984       54.8296     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     16:14:10  SEP 25, 2026 CP=   8798.158

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.20084       54.8296     
   0.20184       54.8296     
   0.20284       54.8296     
   0.20384       54.8296     
   0.20484       54.8296     
   0.20584       54.8296     
   0.20684       54.8296     
   0.20784       54.8296     
   0.20884       54.8296     
   0.20984       54.8296     
   0.21084       54.8296     
   0.21184       54.8296     
   0.21283       54.8296     
   0.21383       54.8296     
   0.21483       54.8296     
   0.21583       54.8296     
   0.21683       54.8296     
   0.21783       54.8296     
   0.21883       54.8296     
   0.21983       54.8296     
   0.22083       54.8296     
   0.22183       54.8296     
   0.22283       54.8296     
   0.22383       54.8296     
   0.22482       54.8296     
   0.22582       54.8296     
   0.22682       54.8296     
   0.22782       54.8296     
   0.22882       54.8296     
   0.22982       54.8296     
   0.23082       54.8296     
   0.23182       54.8296     
   0.23282       54.8296     
   0.23382       54.8296     
   0.23482       54.8296     
   0.23582       54.8296     
   0.23682       54.8296     
