iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375247681136,0,0,GROUP_BY forward all2all,0.004135869,0.004135869,0.050842331
1,23375247680656,0,0,GROUP_BY forward all2all,0.004135869,0.004135869,0.053674488
1,23375247684016,0,0,AGGREGATE forward all2all,0.055081182,0.055081182,0.104002366
1,23375247683536,0,0,AGGREGATE forward all2all,0.057913340,0.057913340,0.104003194
1,23375247692656,0,1,GROUP_BY forward all2all,0.108151297,0.108151297,0.153105605
1,23375247692176,0,1,GROUP_BY forward all2all,0.108151297,0.108151297,0.155773734
1,23375247691696,0,1,AGGREGATE forward all2all,0.157344456,0.157344456,0.200072275
1,23375247691216,0,1,AGGREGATE forward all2all,0.160012585,0.160012585,0.204706708
1,23375247678736,0,2,GROUP_BY forward all2all,0.208854811,0.208854811,0.256330243
1,23375247679216,0,2,GROUP_BY forward all2all,0.208854811,0.208854811,0.281852516
1,23375247677776,0,2,AGGREGATE forward all2all,0.260569094,0.260569094,0.304746162
1,23375247678256,0,2,AGGREGATE forward all2all,0.286091367,0.286091367,0.330003443
1,23375247683056,0,3,GROUP_BY forward all2all,0.334146378,0.334146378,0.379440755
1,23375247682576,0,3,GROUP_BY forward all2all,0.334146378,0.334146378,0.382029743
1,23375247685936,0,3,AGGREGATE forward all2all,0.383679606,0.383679606,0.426100056
1,23375247685456,0,3,AGGREGATE forward all2all,0.386268594,0.386268594,0.431005655
1,23375247684256,0,0,AGGREGATE backward all2all,0.819701163,0.819701163,0.863992676
1,23375247681376,0,0,GROUP_BY backward all2all,0.866332868,0.866332868,0.908852265
1,23375247683776,0,0,AGGREGATE backward all2all,1.019691502,1.019691502,1.064405467
1,23375247680896,0,0,GROUP_BY backward all2all,1.066745659,1.066745659,1.107674170
1,23375247691936,0,1,AGGREGATE backward all2all,1.113555159,1.113555159,1.158159732
1,23375247691456,0,1,AGGREGATE backward all2all,1.122691238,1.122691238,1.170153981
1,23375247692896,0,1,GROUP_BY backward all2all,1.160499924,1.160499924,1.204002884
1,23375247692416,0,1,GROUP_BY backward all2all,1.172494173,1.172494173,1.213831939
1,23375247678016,0,2,AGGREGATE backward all2all,1.285256235,1.285256235,1.330601242
1,23375247678496,0,2,AGGREGATE backward all2all,1.319366242,1.319366242,1.364525357
1,23375247678976,0,2,GROUP_BY backward all2all,1.332941434,1.332941434,1.376813087
1,23375247679456,0,2,GROUP_BY backward all2all,1.366865549,1.366865549,1.430428933
1,23375247686176,0,3,AGGREGATE backward all2all,1.373256791,1.373256791,1.431132321
1,23375247685696,0,3,AGGREGATE backward all2all,1.406555861,1.406555861,1.473732119
1,23375247683296,0,3,GROUP_BY backward all2all,1.441022969,1.441022969,1.484002454
1,23375247682816,0,3,GROUP_BY backward all2all,1.476072311,1.476072311,1.520023344
2,23375247681136,0,0,GROUP_BY forward all2all,1.532413057,1.532413057,1.579119519
2,23375247680656,0,0,GROUP_BY forward all2all,1.532413057,1.532413057,1.581951677
2,23375247684016,0,0,AGGREGATE forward all2all,1.583358371,1.583358371,1.632279555
2,23375247683536,0,0,AGGREGATE forward all2all,1.586190528,1.586190528,1.632280382
2,23375247692656,0,1,GROUP_BY forward all2all,1.636428486,1.636428486,1.681382793
2,23375247692176,0,1,GROUP_BY forward all2all,1.636428486,1.636428486,1.684050922
2,23375247691696,0,1,AGGREGATE forward all2all,1.685621645,1.685621645,1.728349463
2,23375247691216,0,1,AGGREGATE forward all2all,1.688289773,1.688289773,1.732983896
2,23375247678736,0,2,GROUP_BY forward all2all,1.737132000,1.737132000,1.784607431
2,23375247679216,0,2,GROUP_BY forward all2all,1.737132000,1.737132000,1.810129704
2,23375247677776,0,2,AGGREGATE forward all2all,1.788846283,1.788846283,1.833023350
2,23375247678256,0,2,AGGREGATE forward all2all,1.814368556,1.814368556,1.858280631
2,23375247683056,0,3,GROUP_BY forward all2all,1.862423567,1.862423567,1.907717943
2,23375247682576,0,3,GROUP_BY forward all2all,1.862423567,1.862423567,1.910306931
2,23375247685936,0,3,AGGREGATE forward all2all,1.911956794,1.911956794,1.954377245
2,23375247685456,0,3,AGGREGATE forward all2all,1.914545783,1.914545783,1.959282843
