model,iteration,direction,phase,start_s,end_s,duration_s,power_w
qwen-dev287,1,sim,idle,0.000000000,0.443653842,0.443653842,84.0000
qwen-dev287,1,sim,attention,0.443653842,0.447756498,0.004102655,700.0000
qwen-dev287,1,sim,addnorm,0.447756498,0.447763620,0.000007123,140.0000
qwen-dev287,1,sim,gate,0.447763620,0.447794846,0.000031226,280.0000
qwen-dev287,1,sim,idle,0.447794846,0.495035632,0.047240786,84.0000
qwen-dev287,1,sim,gate,0.495035632,0.496126778,0.001091146,280.0000
qwen-dev287,1,sim,experts,0.496126778,0.499264445,0.003137667,700.0000
qwen-dev287,1,sim,idle,0.499264445,0.543770789,0.044506344,84.0000
qwen-dev287,1,sim,addnorm,0.543770789,0.543777922,0.000007132,140.0000
qwen-dev287,1,sim,attention,0.543777922,0.547880577,0.004102655,700.0000
qwen-dev287,1,sim,addnorm,0.547880577,0.547887700,0.000007123,140.0000
qwen-dev287,1,sim,gate,0.547887700,0.547913729,0.000026029,280.0000
qwen-dev287,1,sim,gate,0.547913729,0.547918925,0.000005197,280.0000
qwen-dev287,1,sim,idle,0.547918925,0.595037969,0.047119043,84.0000
qwen-dev287,1,sim,gate,0.595037969,0.596129114,0.001091146,280.0000
qwen-dev287,1,sim,experts,0.596129114,0.599266782,0.003137667,700.0000
qwen-dev287,1,sim,idle,0.599266782,0.643733802,0.044467020,84.0000
qwen-dev287,1,sim,addnorm,0.643733802,0.643740934,0.000007132,140.0000
qwen-dev287,1,sim,idle,0.643740934,0.665101902,0.021360968,84.0000
qwen-dev287,1,sim,attention,0.665101902,0.669204558,0.004102655,700.0000
qwen-dev287,1,sim,addnorm,0.669204558,0.669211680,0.000007123,140.0000
qwen-dev287,1,sim,gate,0.669211680,0.669242906,0.000031226,280.0000
qwen-dev287,1,sim,idle,0.669242906,0.717044709,0.047801803,84.0000
qwen-dev287,1,sim,gate,0.717044709,0.718135855,0.001091146,280.0000
qwen-dev287,1,sim,experts,0.718135855,0.721273522,0.003137667,700.0000
qwen-dev287,1,sim,idle,0.721273522,0.765718152,0.044444630,84.0000
qwen-dev287,1,sim,addnorm,0.765718152,0.765725284,0.000007132,140.0000
qwen-dev287,1,sim,attention,0.765725284,0.769827940,0.004102655,700.0000
qwen-dev287,1,sim,addnorm,0.769827940,0.769835063,0.000007123,140.0000
qwen-dev287,1,sim,gate,0.769835063,0.769866288,0.000031226,280.0000
qwen-dev287,1,sim,idle,0.769866288,0.784056800,0.014190512,84.0000
qwen-dev287,1,sim,addnorm,0.784056800,0.784070883,0.000014083,140.0000
qwen-dev287,1,sim,gate,0.784070883,0.784074967,0.000004083,280.0000
qwen-dev287,1,sim,idle,0.784074967,0.842586267,0.058511301,84.0000
