iteration,round_id,layer,mb,info,ready_s,start_s,finish_s
1,23375247698416,2,0,GROUP_BY forward all2all,0.232474136,0.232474136,0.276730807
1,23375247695536,2,0,AGGREGATE forward all2all,0.280966609,0.280966609,0.324938037
1,23375247697936,2,0,GROUP_BY forward all2all,0.447794846,0.447794846,0.495035632
1,23375247695056,2,0,AGGREGATE forward all2all,0.499271434,0.499271434,0.543770789
1,23375247695776,2,0,AGGREGATE backward all2all,0.524307524,0.524307524,0.591312203
1,23375247700816,2,1,GROUP_BY forward all2all,0.547913729,0.547913729,0.595037969
1,23375247701296,2,1,GROUP_BY forward all2all,0.547913729,0.547913729,0.605010317
1,23375247698656,2,0,GROUP_BY backward all2all,0.593652453,0.593652453,0.656840832
1,23375247701776,2,1,AGGREGATE forward all2all,0.599273770,0.599273770,0.643733802
1,23375247702256,2,1,AGGREGATE forward all2all,0.609246118,0.609246118,0.658346737
1,23375247675376,2,2,GROUP_BY forward all2all,0.669242906,0.669242906,0.714065264
1,23375247674896,2,2,GROUP_BY forward all2all,0.669242906,0.669242906,0.717044709
1,23375247674416,2,2,AGGREGATE forward all2all,0.718301066,0.718301066,0.762001672
1,23375247673936,2,2,AGGREGATE forward all2all,0.721280511,0.721280511,0.765718152
1,23375247696496,2,3,GROUP_BY forward all2all,0.769866288,0.769866288,0.811838099
1,23375247696016,2,3,GROUP_BY forward all2all,0.769866288,0.769866288,0.842586267
1,23375247695296,2,0,AGGREGATE backward all2all,0.784070883,0.784070883,0.842696667
1,23375247687856,2,3,AGGREGATE forward all2all,0.816073900,0.816073900,0.860003393
1,23375247687376,2,3,AGGREGATE forward all2all,0.847996376,0.847996376,0.912357743
1,23375247698176,2,0,GROUP_BY backward all2all,0.849162152,0.849162152,0.911924875
1,23375247702496,2,1,AGGREGATE backward all2all,0.897003840,0.897003840,0.941936516
1,23375247702016,2,1,AGGREGATE backward all2all,0.920200028,0.920200028,0.968103708
1,23375247701536,2,1,GROUP_BY backward all2all,0.944276765,0.944276765,1.007002377
1,23375247701056,2,1,GROUP_BY backward all2all,0.970443958,0.970443958,1.014759027
1,23375247674656,2,2,AGGREGATE backward all2all,1.043003990,1.043003990,1.118038886
1,23375247674176,2,2,AGGREGATE backward all2all,1.059404288,1.059404288,1.113002693
1,23375247675136,2,2,GROUP_BY backward all2all,1.115342942,1.115342942,1.159809649
1,23375247675616,2,2,GROUP_BY backward all2all,1.120379136,1.120379136,1.189833384
1,23375247688096,2,3,AGGREGATE backward all2all,1.141289811,1.141289811,1.191706100
1,23375247687616,2,3,AGGREGATE backward all2all,1.168077669,1.168077669,1.212684586
1,23375247696736,2,3,GROUP_BY backward all2all,1.200427571,1.200427571,1.249004976
1,23375247696256,2,3,GROUP_BY backward all2all,1.215024836,1.215024836,1.259749343
2,23375247698416,2,0,GROUP_BY forward all2all,1.760751324,1.760751324,1.805007996
2,23375247695536,2,0,AGGREGATE forward all2all,1.809243797,1.809243797,1.853215225
2,23375247697936,2,0,GROUP_BY forward all2all,1.976072034,1.976072034,2.023312821
2,23375247695056,2,0,AGGREGATE forward all2all,2.027548622,2.027548622,2.072047978
2,23375247695776,2,0,AGGREGATE backward all2all,2.052584712,2.052584712,2.119589392
2,23375247700816,2,1,GROUP_BY forward all2all,2.076190917,2.076190917,2.123315157
2,23375247701296,2,1,GROUP_BY forward all2all,2.076190917,2.076190917,2.133287505
2,23375247698656,2,0,GROUP_BY backward all2all,2.121929641,2.121929641,2.185118021
2,23375247701776,2,1,AGGREGATE forward all2all,2.127550959,2.127550959,2.172010990
2,23375247702256,2,1,AGGREGATE forward all2all,2.137523307,2.137523307,2.186623925
2,23375247675376,2,2,GROUP_BY forward all2all,2.197520094,2.197520094,2.242342453
2,23375247674896,2,2,GROUP_BY forward all2all,2.197520094,2.197520094,2.245321898
2,23375247674416,2,2,AGGREGATE forward all2all,2.246578255,2.246578255,2.290278861
2,23375247673936,2,2,AGGREGATE forward all2all,2.249557699,2.249557699,2.293995340
2,23375247696496,2,3,GROUP_BY forward all2all,2.298143477,2.298143477,2.340115287
2,23375247696016,2,3,GROUP_BY forward all2all,2.298143477,2.298143477,2.370863456
2,23375247695296,2,0,AGGREGATE backward all2all,2.312348072,2.312348072,2.370973855
