
 STORAGE COMPLETE FOR    636 DATA POINTS 

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 NSOL  2466 TEMP      TEMP       54.83       2.478       67.20      0.3320E-002

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     02:42:09  JUL 28, 2026 CP=    606.997

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
   0.10000E-02   67.2008     
   0.15182E-02   67.2008     
   0.17760E-02   67.2008     
   0.19517E-02   67.2008     
   0.21274E-02   67.2008     
   0.25250E-02   67.2008     
   0.33202E-02   67.2008     
   0.41090E-02   67.2008     
   0.41221E-02   67.2008     
   0.41352E-02   67.2007     
   0.41744E-02   67.1995     
   0.42005E-02   67.1982     
   0.47951E-01   59.4356     
   0.62534E-01   57.7246     
   0.77118E-01   56.6436     
   0.91701E-01   55.9656     
   0.10628       55.5409     
   0.12087       55.2750     
   0.13545       55.1085     
   0.15003       55.0042     
   0.16462       54.9389     
   0.17920       54.8980     
   0.19379       54.8725     
   0.22295       54.8491     
   0.28129       54.8354     
   0.35420       54.8310     
   0.35473       54.9516     
   0.35526       55.1210     
   0.35685       55.7287     
   0.35843       56.3591     
   0.40218       55.5318     
   0.41677       55.2786     
   0.43135       55.1118     
   0.44593       55.0064     
   0.46052       54.9403     
   0.47510       54.8989     
   0.48968       54.8730     
   0.51885       54.8494     
   0.57718       54.8354     
   0.64281       54.8312     
   0.70843       54.8300     
   0.70844       54.8300     
   0.70846       54.8300     
   0.75221       54.8301     
   0.79596       54.8298     
   0.83971       54.8297     
   0.92721       54.8296     
    1.0585       54.8296     
    1.0588       54.8799     
    1.0590       54.9582     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     02:42:09  JUL 28, 2026 CP=    606.997

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.0599       55.2662     
    1.0608       55.6034     
    1.1045       55.2329     
    1.1191       55.0895     
    1.1337       54.9932     
    1.1483       54.9321     
    1.1629       54.8938     
    1.1920       54.8588     
    1.2504       54.8382     
    1.3671       54.8311     
    1.4108       54.8301     
    1.4108       54.8302     
    1.4108       54.8303     
    1.4109       54.8316     
    1.4110       54.8339     
    1.4120       55.1386     
    1.4130       55.5174     
    1.4161       56.7165     
    1.4192       57.8491     
    1.4197       58.0356     
    1.4202       58.2196     
    1.4217       58.7448     
    1.4233       59.2423     
    1.4233       59.2465     
    1.4233       59.2506     
    1.4233       59.2620     
    1.4234       59.2691     
    1.4671       56.5930     
    1.4817       55.9446     
    1.4963       55.5290     
    1.5109       55.2677     
    1.5255       55.1039     
    1.5400       55.0014     
    1.5546       54.9371     
    1.5692       54.8969     
    1.5838       54.8718     
    1.6130       54.8488     
    1.6713       54.8353     
    1.7734       54.8307     
    1.7739       54.9513     
    1.7744       55.1206     
    1.7760       55.7284     
    1.7776       56.3588     
    1.8214       55.5317     
    1.8359       55.2785     
    1.8505       55.1117     
    1.8651       55.0064     
    1.8797       54.9403     
    1.8943       54.8989     
    1.9089       54.8730     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     02:42:09  JUL 28, 2026 CP=    606.998

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    1.9380       54.8494     
    1.9964       54.8354     
    2.0620       54.8312     
    2.1276       54.8300     
    2.1276       54.8300     
    2.1276       54.8300     
    2.1714       54.8301     
    2.2151       54.8298     
    2.2589       54.8297     
    2.3464       54.8296     
    2.4776       54.8296     
    2.4779       54.8799     
    2.4782       54.9582     
    2.4791       55.2662     
    2.4800       55.6034     
    2.5237       55.2329     
    2.5383       55.0895     
    2.5529       54.9932     
    2.5675       54.9321     
    2.5821       54.8938     
    2.6112       54.8588     
    2.6696       54.8382     
    2.7862       54.8311     
    2.8300       54.8301     
    2.8300       54.8302     
    2.8300       54.8303     
    2.8301       54.8316     
    2.8301       54.8339     
    2.8311       55.1386     
    2.8322       55.5174     
    2.8353       56.7165     
    2.8383       57.8491     
    2.8389       58.0356     
    2.8394       58.2196     
    2.8409       58.7448     
    2.8424       59.2423     
    2.8425       59.2465     
    2.8425       59.2506     
    2.8425       59.2620     
    2.8425       59.2691     
    2.8863       56.5930     
    2.9009       55.9446     
    2.9155       55.5290     
    2.9300       55.2677     
    2.9446       55.1039     
    2.9592       55.0014     
    2.9738       54.9371     
    2.9884       54.8969     
    3.0030       54.8718     
    3.0321       54.8488     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     02:42:09  JUL 28, 2026 CP=    606.998

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    3.0905       54.8353     
    3.1925       54.8307     
    3.1931       54.9513     
    3.1936       55.1206     
    3.1952       55.7284     
    3.1968       56.3588     
    3.2405       55.5317     
    3.2551       55.2785     
    3.2697       55.1117     
    3.2843       55.0064     
    3.2989       54.9403     
    3.3134       54.8989     
    3.3280       54.8730     
    3.3572       54.8494     
    3.4155       54.8354     
    3.4811       54.8312     
    3.5468       54.8300     
    3.5468       54.8300     
    3.5468       54.8300     
    3.5905       54.8301     
    3.6343       54.8298     
    3.6780       54.8297     
    3.7655       54.8296     
    3.8968       54.8296     
    3.8971       54.8799     
    3.8974       54.9582     
    3.8983       55.2662     
    3.8991       55.6034     
    3.9429       55.2329     
    3.9575       55.0895     
    3.9721       54.9932     
    3.9866       54.9321     
    4.0012       54.8938     
    4.0304       54.8588     
    4.0887       54.8382     
    4.2054       54.8311     
    4.2491       54.8301     
    4.2492       54.8302     
    4.2492       54.8303     
    4.2492       54.8316     
    4.2493       54.8339     
    4.2503       55.1386     
    4.2513       55.5174     
    4.2544       56.7165     
    4.2575       57.8491     
    4.2580       58.0356     
    4.2585       58.2196     
    4.2601       58.7448     
    4.2616       59.2423     
    4.2616       59.2465     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
 00236611  VERSION=LINUX x64     02:42:09  JUL 28, 2026 CP=    606.998

                                                                               



          ***** MAPDL POST26 VARIABLE LISTING *****


    TIME       2466 TEMP    
                  TEMP    
    4.2616       59.2506     
    4.2617       59.2620     
    4.2617       59.2691     
    4.3055       56.5930     
    4.3200       55.9446     
    4.3346       55.5290     
    4.3492       55.2677     
    4.3638       55.1039     
    4.3784       55.0014     
    4.3930       54.9371     
    4.4075       54.8969     
    4.4221       54.8718     
    4.4513       54.8488     
    4.5096       54.8353     
    4.6117       54.8307     
    4.6122       54.9513     
    4.6128       55.1206     
    4.6144       55.7284     
    4.6159       56.3588     
    4.6597       55.5317     
    4.6743       55.2785     
    4.6889       55.1117     
    4.7034       55.0064     
    4.7180       54.9403     
    4.7326       54.8989     
    4.7472       54.8730     
    4.7764       54.8494     
    4.8347       54.8354     
    4.9003       54.8312     
    4.9659       54.8300     
    4.9660       54.8300     
    4.9660       54.8300     
    5.0097       54.8301     
    5.0535       54.8298     
    5.0972       54.8297     
    5.1847       54.8296     
    5.3160       54.8296     
    5.3163       54.8799     
    5.3166       54.9582     
    5.3174       55.2662     
    5.3183       55.6034     
    5.3621       55.2329     
    5.3766       55.0895     
    5.3912       54.9932     
    5.4058       54.9321     
    5.4204       54.8938     
    5.4496       54.8588     
    5.5079       54.8382     
    5.6246       54.8311     
    5.6683       54.8301     

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Research     
