param,value,model,mean_stall_ms,n_windows
Q,5000,Mixtral-8x7B,69.34151515151501,33
Q,5000,Qwen-MoE-14.3B,46.18100000000016,30
Q,5000,LLaMA-MoE-6.7B,56.25933333333322,30
Q,8000,Mixtral-8x7B,48.66355932203373,59
Q,8000,Qwen-MoE-14.3B,46.75766666666674,30
Q,8000,LLaMA-MoE-6.7B,47.415128205128134,39
Q,12000,Mixtral-8x7B,49.88898305084728,59
Q,12000,Qwen-MoE-14.3B,47.33066666666674,30
Q,12000,LLaMA-MoE-6.7B,50.76128205128197,39
Q,15000,Mixtral-8x7B,50.380508474576125,59
Q,15000,Qwen-MoE-14.3B,47.33066666666674,30
Q,15000,LLaMA-MoE-6.7B,50.78692307692302,39
eps_max_frac,0.05,Mixtral-8x7B,52.10898305084733,59
eps_max_frac,0.05,Qwen-MoE-14.3B,47.39733333333336,30
eps_max_frac,0.05,LLaMA-MoE-6.7B,50.78692307692302,39
eps_max_frac,0.1,Mixtral-8x7B,48.66355932203373,59
eps_max_frac,0.1,Qwen-MoE-14.3B,46.75766666666674,30
eps_max_frac,0.1,LLaMA-MoE-6.7B,47.415128205128134,39
eps_max_frac,0.15,Mixtral-8x7B,66.21342857142844,35
eps_max_frac,0.15,Qwen-MoE-14.3B,46.28100000000011,30
eps_max_frac,0.15,LLaMA-MoE-6.7B,53.68062499999988,32
eps_max_frac,0.2,Mixtral-8x7B,74.77566666666658,30
eps_max_frac,0.2,Qwen-MoE-14.3B,46.18100000000016,30
eps_max_frac,0.2,LLaMA-MoE-6.7B,56.25933333333322,30
R_ctrl,0.03,Mixtral-8x7B,64.89525423728828,59
R_ctrl,0.03,Qwen-MoE-14.3B,47.344827586206975,29
R_ctrl,0.03,LLaMA-MoE-6.7B,57.25512820512811,39
R_ctrl,0.0625,Mixtral-8x7B,48.66355932203373,59
R_ctrl,0.0625,Qwen-MoE-14.3B,46.75766666666674,30
R_ctrl,0.0625,LLaMA-MoE-6.7B,47.415128205128134,39
R_ctrl,0.1,Mixtral-8x7B,74.77566666666658,30
R_ctrl,0.1,Qwen-MoE-14.3B,46.48433333333341,30
R_ctrl,0.1,LLaMA-MoE-6.7B,56.25933333333322,30
R_ctrl,0.15,Mixtral-8x7B,74.77566666666658,30
R_ctrl,0.15,Qwen-MoE-14.3B,46.18100000000012,30
R_ctrl,0.15,LLaMA-MoE-6.7B,56.25933333333322,30
