iter,label,layer,direction,kind,start_s,end_s,duration_ms,nbytes
0,dispatch,0,fwd,a2a,1789849142.492797,1789849142.494672,1.8747,536870912
0,expert,0,fwd,gemm,1789849142.494676,1789849142.541497,46.8207,0
0,expert,0,bwd,gemm,1789849143.269161,1789849143.336605,67.4445,0
0,combine,0,fwd,a2a,1789849142.541501,1789849142.543154,1.6532,541040640
0,dispatch,1,fwd,a2a,1789849142.564825,1789849142.566493,1.6682,536870912
0,expert,1,fwd,gemm,1789849142.566493,1789849142.601653,35.1601,0
0,expert,1,bwd,gemm,1789849143.153165,1789849143.223167,70.0023,0
0,combine,1,fwd,a2a,1789849142.601657,1789849142.603331,1.6742,545890304
0,dispatch,2,fwd,a2a,1789849142.623641,1789849142.626876,3.2343,536870912
0,expert,2,fwd,gemm,1789849142.626879,1789849142.661497,34.6178,0
0,expert,2,bwd,gemm,1789849143.041047,1789849143.108530,67.4822,0
0,combine,2,fwd,a2a,1789849142.661500,1789849142.664300,2.7995,543555584
0,dispatch,3,fwd,a2a,1789849142.685610,1789849142.688911,3.3011,536870912
0,expert,3,fwd,gemm,1789849142.688915,1789849142.723708,34.7935,0
0,expert,3,bwd,gemm,1789849142.738020,1789849142.805664,67.6441,0
0,combine,3,fwd,a2a,1789849142.723711,1789849142.727244,3.5330,534487040
0,combine,3,bwd,a2a,1789849142.736043,1789849142.738014,1.9708,536870912
0,dispatch,3,bwd,a2a,1789849142.805669,1789849142.813246,7.5768,534487040
0,combine,2,bwd,a2a,1789849143.038985,1789849143.041042,2.0571,536870912
0,dispatch,2,bwd,a2a,1789849143.108532,1789849143.110462,1.9299,543555584
0,combine,1,bwd,a2a,1789849143.150036,1789849143.153162,3.1259,536870912
0,dispatch,1,bwd,a2a,1789849143.223169,1789849143.224884,1.7152,545890304
0,combine,0,bwd,a2a,1789849143.265692,1789849143.269156,3.4638,536870912
0,dispatch,0,bwd,a2a,1789849143.336606,1789849143.341872,5.2656,541040640
1,dispatch,0,fwd,a2a,1789849143.395482,1789849143.397552,2.0709,536870912
1,expert,0,fwd,gemm,1789849143.397555,1789849143.431979,34.4241,0
1,expert,0,bwd,gemm,1789849144.122843,1789849144.190405,67.5615,0
1,combine,0,fwd,a2a,1789849143.431982,1789849143.435104,3.1219,538714112
1,dispatch,1,fwd,a2a,1789849143.457021,1789849143.459035,2.0138,536870912
1,expert,1,fwd,gemm,1789849143.459037,1789849143.493401,34.3639,0
1,expert,1,bwd,gemm,1789849143.970433,1789849144.037162,66.7289,0
1,combine,1,fwd,a2a,1789849143.493404,1789849143.497992,4.5882,537174016
1,dispatch,2,fwd,a2a,1789849143.519178,1789849143.521043,1.8648,536870912
1,expert,2,fwd,gemm,1789849143.521046,1789849143.556322,35.2759,0
1,expert,2,bwd,gemm,1789849143.836448,1789849143.903977,67.5292,0
1,combine,2,fwd,a2a,1789849143.556325,1789849143.580409,24.0847,536453120
1,dispatch,3,fwd,a2a,1789849143.601395,1789849143.603398,2.0030,536870912
1,expert,3,fwd,gemm,1789849143.603401,1789849143.637098,33.6965,0
1,expert,3,bwd,gemm,1789849143.694756,1789849143.762861,68.1043,0
1,combine,3,fwd,a2a,1789849143.637101,1789849143.683996,46.8949,536141824
1,combine,3,bwd,a2a,1789849143.692578,1789849143.694754,2.1761,536870912
1,dispatch,3,bwd,a2a,1789849143.762863,1789849143.792535,29.6718,536141824
1,combine,2,bwd,a2a,1789849143.830247,1789849143.836445,6.1984,536870912
1,dispatch,2,bwd,a2a,1789849143.903980,1789849143.925005,21.0246,536453120
1,combine,1,bwd,a2a,1789849143.963230,1789849143.970430,7.2002,536870912
1,dispatch,1,bwd,a2a,1789849144.037165,1789849144.075304,38.1394,537174016
1,combine,0,bwd,a2a,1789849144.113157,1789849144.122840,9.6837,536870912
1,dispatch,0,bwd,a2a,1789849144.190408,1789849144.217989,27.5817,538714112
2,dispatch,0,fwd,a2a,1789849144.276877,1789849144.278638,1.7613,536870912
2,expert,0,fwd,gemm,1789849144.278641,1789849144.312885,34.2432,0
2,expert,0,bwd,gemm,1789849145.040840,1789849145.108529,67.6887,0
2,combine,0,fwd,a2a,1789849144.312887,1789849144.329939,17.0513,540246016
2,dispatch,1,fwd,a2a,1789849144.355902,1789849144.357769,1.8666,536870912
2,expert,1,fwd,gemm,1789849144.357772,1789849144.392049,34.2774,0
2,expert,1,bwd,gemm,1789849144.900917,1789849144.967787,66.8699,0
2,combine,1,fwd,a2a,1789849144.392052,1789849144.438106,46.0532,543899648
2,dispatch,2,fwd,a2a,1789849144.461010,1789849144.462870,1.8602,536870912
2,expert,2,fwd,gemm,1789849144.462873,1789849144.497040,34.1670,0
2,expert,2,bwd,gemm,1789849144.747539,1789849144.814408,66.8688,0
2,combine,2,fwd,a2a,1789849144.497043,1789849144.514280,17.2373,543211520
2,dispatch,3,fwd,a2a,1789849144.540308,1789849144.542331,2.0232,536870912
2,expert,3,fwd,gemm,1789849144.542334,1789849144.576319,33.9847,0
2,expert,3,bwd,gemm,1789849144.600219,1789849144.666839,66.6200,0
2,combine,3,fwd,a2a,1789849144.576321,1789849144.587112,10.7912,531800064
2,combine,3,bwd,a2a,1789849144.596303,1789849144.600216,3.9136,536870912
2,dispatch,3,bwd,a2a,1789849144.666842,1789849144.700716,33.8743,531800064
2,combine,2,bwd,a2a,1789849144.738427,1789849144.747536,9.1094,536870912
2,dispatch,2,bwd,a2a,1789849144.814411,1789849144.852880,38.4692,543211520
2,combine,1,bwd,a2a,1789849144.891257,1789849144.900915,9.6581,536870912
2,dispatch,1,bwd,a2a,1789849144.967790,1789849144.989503,21.7133,543899648
2,combine,0,bwd,a2a,1789849145.028553,1789849145.040837,12.2848,536870912
2,dispatch,0,bwd,a2a,1789849145.108532,1789849145.136490,27.9580,540246016
3,dispatch,0,fwd,a2a,1789849145.204540,1789849145.206679,2.1384,536870912
3,expert,0,fwd,gemm,1789849145.206682,1789849145.240925,34.2436,0
3,expert,0,bwd,gemm,1789849145.953528,1789849146.022851,69.3223,0
3,combine,0,fwd,a2a,1789849145.240928,1789849145.255388,14.4598,543801344
3,dispatch,1,fwd,a2a,1789849145.283023,1789849145.285122,2.0995,536870912
3,expert,1,fwd,gemm,1789849145.285125,1789849145.320114,34.9885,0
3,expert,1,bwd,gemm,1789849145.802323,1789849145.869917,67.5941,0
3,combine,1,fwd,a2a,1789849145.320117,1789849145.332957,12.8399,545890304
3,dispatch,2,fwd,a2a,1789849145.360199,1789849145.362133,1.9339,536870912
3,expert,2,fwd,gemm,1789849145.362136,1789849145.395822,33.6860,0
3,expert,2,bwd,gemm,1789849145.654437,1789849145.720435,65.9982,0
3,combine,2,fwd,a2a,1789849145.395825,1789849145.410628,14.8032,534503424
