iter,start_s,end_s,iter_ms,a2a_ms,expert_gemm_ms,a2a_share
0,1789849102.594981,1789849143.375336,40780.355,41.069,428.466,0.0010
1,1789849143.376424,1789849144.248687,872.263,178.188,456.238,0.2043
2,1789849144.249727,1789849145.167200,917.473,260.908,402.953,0.2844
3,1789849145.168392,1789849146.093584,925.192,245.643,406.035,0.2655
4,1789849146.094657,1789849147.412116,1317.458,567.000,401.815,0.4304
5,1789849147.413174,1789849148.732214,1319.040,659.803,403.251,0.5002
6,1789849148.733232,1789849150.283786,1550.554,816.431,403.628,0.5265
7,1789849150.284810,1789849151.963387,1678.578,875.664,407.052,0.5217
8,1789849151.964492,1789849153.451542,1487.050,715.496,408.210,0.4812
9,1789849153.452573,1789849155.108332,1655.759,868.263,402.323,0.5244
10,1789849155.109326,1789849156.600438,1491.112,724.541,400.470,0.4859
11,1789849156.601411,1789849158.029566,1428.155,686.020,402.679,0.4804
12,1789849158.030534,1789849160.013535,1983.001,1134.537,401.349,0.5721
13,1789849160.014542,1789849161.633384,1618.842,837.767,404.776,0.5175
14,1789849161.634400,1789849163.721970,2087.571,1337.347,407.639,0.6406
15,1789849163.722999,1789849165.502144,1779.145,941.680,404.556,0.5293
16,1789849165.503135,1789849167.105951,1602.816,829.262,399.630,0.5174
17,1789849167.106930,1789849169.069761,1962.831,1165.284,402.607,0.5937
18,1789849169.070770,1789849171.062830,1992.059,1160.728,401.034,0.5827
19,1789849171.064666,1789849172.912563,1847.897,1041.014,399.360,0.5634
