pattern,cycle,phase,start_s,end_s,n_gemm
baseline,0,idle,1789676134.0943,1789676194.1537,0
a_35on_350off,0,busy,1789676194.1538,1789676194.1963,4
a_35on_350off,0,idle,1789676194.1963,1789676194.5467,0
a_35on_350off,1,busy,1789676194.5467,1789676194.5891,4
a_35on_350off,1,idle,1789676194.5891,1789676194.9395,0
a_35on_350off,2,busy,1789676194.9395,1789676194.9819,4
a_35on_350off,2,idle,1789676194.9819,1789676195.3322,0
a_35on_350off,3,busy,1789676195.3323,1789676195.3746,4
a_35on_350off,3,idle,1789676195.3746,1789676195.7250,0
a_35on_350off,4,busy,1789676195.7250,1789676195.7674,4
a_35on_350off,4,idle,1789676195.7674,1789676196.1178,0
a_35on_350off,5,busy,1789676196.1178,1789676196.1602,4
a_35on_350off,5,idle,1789676196.1602,1789676196.5105,0
a_35on_350off,6,busy,1789676196.5105,1789676196.5529,4
a_35on_350off,6,idle,1789676196.5529,1789676196.9033,0
a_35on_350off,7,busy,1789676196.9033,1789676196.9457,4
a_35on_350off,7,idle,1789676196.9457,1789676197.2960,0
a_35on_350off,8,busy,1789676197.2961,1789676197.3384,4
a_35on_350off,8,idle,1789676197.3384,1789676197.6888,0
a_35on_350off,9,busy,1789676197.6888,1789676197.7312,4
a_35on_350off,9,idle,1789676197.7312,1789676198.0816,0
a_35on_350off,10,busy,1789676198.0816,1789676198.1240,4
a_35on_350off,10,idle,1789676198.1240,1789676198.4743,0
a_35on_350off,11,busy,1789676198.4744,1789676198.5169,4
a_35on_350off,11,idle,1789676198.5169,1789676198.8672,0
a_35on_350off,12,busy,1789676198.8672,1789676198.9096,4
a_35on_350off,12,idle,1789676198.9096,1789676199.2600,0
a_35on_350off,13,busy,1789676199.2600,1789676199.3024,4
a_35on_350off,13,idle,1789676199.3024,1789676199.6527,0
a_35on_350off,14,busy,1789676199.6528,1789676199.6952,4
a_35on_350off,14,idle,1789676199.6952,1789676200.0455,0
a_35on_350off,15,busy,1789676200.0455,1789676200.0879,4
