model,nodes,thermal_delay_ns,final_finish_ps,final_finish_ms,wall_s
llama-moe-6.7b,128,0,102289768117,102.2898,212
llama-moe-6.7b,128,1000000,116174791639,116.1748,207
llama-moe-6.7b,128,10000000,293450396108,293.4504,204
llama-moe-6.7b,128,50000000,1173450396108,1173.4504,198
llama-moe-6.7b,128,100000000,2273450396108,2273.4504,198
llama-moe-6.7b,128,300000000,6673450396108,6673.4504,199
mixtral8x7b,256,0,411041025755,411.0410,385
mixtral8x7b,256,1000000,434237318582,434.2373,381
mixtral8x7b,256,10000000,676912589161,676.9126,371
mixtral8x7b,256,50000000,2062320423042,2062.3204,359
mixtral8x7b,256,100000000,3637294108433,3637.2941,360
mixtral8x7b,256,300000000,12026574350384,12026.5744,353
