model,nodes,thermal_delay_ns,final_finish_ps,final_finish_ms,wall_s
llama-moe-6.7b,128,0,422477050159,422.4771,855
llama-moe-6.7b,128,1000000,435474446251,435.4744,686
llama-moe-6.7b,128,10000000,600641000326,600.6410,683
llama-moe-6.7b,128,100000000,2539186295682,2539.1863,655
llama-moe-6.7b,128,300000000,6939186295682,6939.1863,659
mixtral8x7b,256,0,1089503960311,1089.5040,855
mixtral8x7b,256,1000000,1153858349716,1153.8583,1298
mixtral8x7b,256,10000000,1397454167555,1397.4542,1281
mixtral8x7b,256,100000000,4199533064924,4199.5331,1331
mixtral8x7b,256,300000000,11843699522121,11843.6995,1218
